Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,CAL,RAW,RAW
mV,No Units,mV,No Units,No Units,mV,No Units,mV,No Units,mSecs,No Units,No Units
5.280529294,73217,-13.65745648,-189367,8186,0.590387653,0,16.9810375,235450,6001.953125,64,0
-14.1790401,-196599,-13.54206187,-187767,511,0.036854152,0,17.0494088,236398,6003.90625,128,0
5.280529294,73217,-14.5245027,-201389,8186,0.590387653,128,18.24879149,253028,6005.859375,192,0
-0.037503247,-520,-14.38162975,-199408,14463,1.043095117,128,18.32343737,254063,6007.8125,256,128
-0.221557644,-3072,-14.39598196,-199607,8136,0.586781572,128,18.21907737,252616,6009.765625,320,128
-0.277235541,-3844,-14.38307218,-199428,5631,0.406116892,128,18.11608769,251188,6011.71875,384,128
-0.073636183,-1021,-14.25072899,-197593,8032,0.579280922,128,18.11926104,251232,6013.671875,448,128
-0.004615784,-64,-14.18430497,-196672,7169,0.517039957,128,18.16794314,251907,6015.625,512,128
-0.040892964,-567,-14.22981372,-197303,4987,0.359670563,128,18.06351102,250459,6017.578125,576,128
-4.724543658,-65508,-14.16836609,-196451,6268,0.452058369,128,18.02672899,249949,6019.53125,640,128
-4.689708911,-65025,-14.14442171,-196119,3198,0.230644969,128,17.96304559,249066,6021.484375,704,128
18.37024431,254712,17.85277162,247537,0,0,153,-302.5000361,-4194304,6023.4375,768,128
302.4722692,4193919,425.3349978,5897468,1016,0.073275575,147,0.069741615,967,6025.390625,832,0
0,0,2.16E-04,3,0,0,146,5.848198634,81088,6027.34375,896,128
17.74213704,246003,17.87166749,247799,0,0,154,-302.5000361,-4194304,6029.296875,960,152
-2.363281532,-32768,17.87166749,247799,0,0,154,-302.5000361,-4194304,6031.25,1024,128
0,0,2.16E-04,3,240,0.017309191,139,48.60882385,673984,6033.203125,1088,0
-4.7086769,-65288,60.99758875,845760,16127,1.163105507,0,-289.0406256,-4007683,6035.15625,1152,128
-4.726563063,-65536,-302.5000361,-4194304,2048,0.147705096,7,-13.96217036,-193592,6037.109375,1216,0
4.135742681,57344,-13.94457268,-193348,8,5.77E-04,128,17.72756847,245801,6039.0625,1280,128
0.006923676,96,-13.87764381,-192420,240,0.017309191,128,17.73744914,245938,6041.015625,1344,128
-2.362993045,-32764,64.80099497,898496,15871,1.14464237,0,-301.6509481,-4182531,6042.96875,1408,0
-0.590820383,-8192,-14.01878584,-194377,15423,1.112331881,128,17.61419327,244229,6044.921875,1472,128
-2.33443288,-32368,-13.98222017,-193870,15135,1.091560852,128,17.63287278,244488,6046.875,1536,128
-2.358160896,-32697,-13.91666161,-192961,16380,1.181352279,128,17.64657589,244678,6048.828125,1600,128
-4.468079146,-61952,-13.90166031,-192753,15920,1.14817633,128,17.63352187,244497,6050.78125,1664,128
-4.138627546,-57384,-13.83047626,-191766,15375,1.108870042,128,17.64816256,244700,6052.734375,1728,128
-4.433244399,-61469,-13.77443776,-190989,16141,1.16411521,128,17.64873953,244708,6054.6875,1792,128
-1.172697684,-16260,-13.8082628,-191458,15551,1.121563449,128,17.57784397,243725,6056.640625,1856,128
-1.910429825,-26489,-13.89942454,-192722,12803,0.923373213,128,17.49281257,242546,6058.59375,1920,128
-2.102633965,-29154,-13.84944425,-192029,12344,0.890269386,128,17.50882357,242768,6060.546875,1984,128
-0.623202994,-8641,-13.74465153,-190576,14369,1.036315684,128,17.57229061,243648,6062.5,2048,128
-0.812955,-11272,-13.78374145,-191118,15884,1.145579951,128,17.57373304,243668,6064.453125,2112,128
-2.358737869,-32705,-13.78900633,-191191,13324,0.960948582,128,17.52454609,242986,6066.40625,2176,128
-2.215648558,-30721,-13.84821818,-192012,12919,0.931739322,128,17.44831353,241929,6068.359375,2240,128
-0.85370372,-11837,-13.85030971,-192041,16321,1.177097103,128,17.40496843,241328,6070.3125,2304,128
-2.363065167,-32765,-13.81973014,-191617,16359,1.179837725,128,17.40222781,241290,6072.265625,2368,128
-4.157739777,-57649,-13.75308976,-190693,16383,1.181568644,128,17.45473235,242018,6074.21875,2432,128
-1.174212238,-16281,-13.7275587,-190339,13218,0.953303689,128,17.45328992,241998,6076.171875,2496,128
-1.790996407,-24833,-13.69726762,-189919,14337,1.034007792,128,17.45696812,242049,6078.125,2560,128
-4.145551222,-57480,-13.67635234,-189629,12318,0.888394223,128,17.44968384,241948,6080.078125,2624,128
-0.950851554,-13184,-13.7965791,-191296,12542,0.904549468,128,17.39775627,241228,6082.03125,2688,128
0.073780426,1023,-13.84692,-191994,12164,0.877287492,128,17.31770126,240118,6083.984375,2752,128
-0.293102299,-4064,-13.81648467,-191572,14640,1.055860645,128,17.29375688,239786,6085.9375,2816,128
-0.060005195,-832,-13.70347008,-190005,15996,1.153657574,128,17.44276016,241852,6087.890625,2880,128
-0.655513484,-9089,-13.62601145,-188931,14463,1.043095117,128,17.45307356,241995,6089.84375,2944,128
-0.710830773,-9856,-13.72914538,-190361,16380,1.181352279,128,17.39422231,241179,6091.796875,3008,128
-4.20613339,-58320,-13.62399204,-188903,16145,1.164403697,128,17.42364793,241587,6093.75,3072,128
-0.895173656,-12412,-13.64707096,-189223,16255,1.172337076,128,17.36912398,240831,6095.703125,3136,128
-0.147488731,-2045,-13.74104544,-190526,14344,1.034512643,128,17.29822842,239848,6097.65625,3200,128
-0.646281915,-8961,-13.69034394,-189823,16383,1.181568644,128,17.3595318,240698,6099.609375,3264,128
-0.020771029,-288,-13.63228603,-189018,16380,1.181352279,128,17.37135975,240862,6101.5625,3328,128
-18.8330488,-261129,-13.69135364,-189837,12785,0.922075024,128,17.28438107,239656,6103.515625,3392,128
