Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW,RAW,CAL,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,mV,No Units,No Units,mSecs,No Units
-1.915622582,-26561,-24.91701304,-345486,1.070573458,14844,0,4.172380468,57852,64,1.953125,0
-1.048071509,-14532,-24.71435126,-342676,0.588512491,8160,0,4.13350691,57313,128,3.90625,0
-4.59623928,-63729,-18.07454563,-250612,1.125674382,15608,128,3.485494075,48328,192,5.859375,128
-3.558913894,-49346,-18.03502298,-250064,1.167721292,16191,128,3.512179078,48698,256,7.8125,128
-4.679828248,-64888,-17.97213292,-249192,1.181352279,16380,128,3.54412896,49141,320,9.765625,128
-3.859733207,-53517,-18.0441103,-250190,1.181208036,16378,128,3.507563294,48634,384,11.71875,128
-4.503923595,-62449,-18.06062616,-250419,1.163177629,16128,128,3.491624414,48413,448,13.671875,128
-9.157499571,-126973,-18.00516462,-249650,4.33E-04,6,128,3.561510272,49382,512,15.625,128
-4.467934903,-61950,-18.05680371,-250366,1.153873939,15999,128,3.4865759,48343,576,17.578125,128
-4.467646416,-61946,-18.09286452,-250866,1.181568644,16383,128,3.465732749,48054,640,19.53125,128
-4.595445942,-63718,-18.05723644,-250372,1.176880738,16318,128,3.501721442,48553,704,21.484375,128
302.427049,4193292,283.5231767,3931181,0.009231568,128,131,0.013630988,189,768,23.4375,0
0.004543663,63,283.5231767,3931181,0,0,131,0.013630988,189,832,25.390625,128
18.88887094,261903,0,0,0,0,25,215.921771,2993856,896,27.34375,152
-2.363281532,-32768,-302.5000361,-4194304,0,0,1,-18.0387733,-250116,960,29.296875,0
8.65E-04,12,0.013630988,189,0,0,155,-355.6738705,-4931584,1024,31.25,128
0.013847353,192,0.013630988,189,1.172409197,16256,155,-355.6738705,-4931584,1088,33.203125,0
-4.726563063,-65536,-302.5000361,-4194304,0,0,1,-18.0164156,-249806,1152,35.15625,0
-2.363281532,-32768,-18.05968858,-250406,0.441312246,6119,128,3.460035141,47975,1216,37.109375,0
-1.181640766,-16384,-18.10894765,-251089,1.164259453,16143,128,5.325028339,73834,1280,39.0625,0
299.4305395,4151744,-18.04346121,-250181,1.181352279,16380,128,5.722057905,79339,1344,41.015625,0
-2.363281532,-32768,-18.02240169,-249889,1.114784016,15457,128,5.706191147,79119,1408,42.96875,128
-2.077102909,-28800,-18.07620443,-250635,0.964626785,13375,128,5.691406213,78914,1472,44.921875,128
-3.545066541,-49154,-18.0317775,-250019,1.033863549,14335,128,5.717874851,79281,1536,46.875,128
-3.609471155,-50047,-18.00617433,-249664,1.135555045,15745,128,5.725952473,79393,1600,48.828125,128
-2.282793794,-31652,-18.08695055,-250784,0.994629382,13791,128,5.703811133,79086,1664,50.78125,128
-2.141219037,-29689,-18.04526425,-250206,1.029319886,14272,128,5.699123227,79021,1728,52.734375,128
-3.581632207,-49661,-18.11486162,-251171,0.295410191,4096,128,3.887860642,53907,1792,54.6875,128
-2.077030787,-28799,-18.08608509,-250772,0.555048055,7696,128,5.686862551,78851,1856,56.640625,128
-1.216403391,-16866,-18.06661225,-250502,0.942773931,13072,128,5.667173346,78578,1920,58.59375,128
-3.614303304,-50114,-18.09805728,-250938,0.96441042,13372,128,5.715134229,79243,1984,60.546875,128
-2.344746273,-32511,-18.02312291,-249899,1.17471709,16288,128,5.711888756,79198,2048,62.5,128
