Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,mV,No Units,mSecs,No Units,No Units
-18.90625225,-262144,-11.36701779,-157609,0.943567269,13083,0,-1.71050867,-23717,12001.95313,64,0
-18.90625225,-262144,-11.31920115,-156946,1.149618763,15940,0,-1.656778056,-22972,12003.90625,128,0
-1.164331575,-16144,-8.199940705,-113696,0.487542211,6760,128,-4.23887661,-58774,12005.85938,192,128
-1.164331575,-16144,-8.179818771,-113417,0.487542211,6760,128,-4.279120479,-59332,12007.8125,256,128
-1.153008479,-15987,-8.169000527,-113267,0.472829398,6556,128,-4.254022152,-58984,12009.76563,320,128
-0.251560241,-3488,-8.226986316,-114071,0.442826801,6140,128,-4.287775074,-59452,12011.71875,384,128
-0.230789212,-3200,-8.206864382,-113792,0.442177706,6131,128,-4.292174493,-59513,12013.67188,448,128
-9.419733813,-130609,-8.173472068,-113329,0.583680342,8093,128,-4.251642138,-58951,12015.625,512,128
-9.229909686,-127977,-8.099042547,-112297,0.509467186,7064,128,-4.217095878,-58472,12017.57813,576,128
-9.437475733,-130855,-8.057356245,-111719,0.553894109,7680,128,-4.172668954,-57856,12019.53125,640,128
-9.379634187,-130053,-8.083175788,-112077,0.517544808,7176,128,-4.205484296,-58311,12021.48438,704,128
-8.040984635,-111492,-8.025983337,-111284,0.590748261,8191,128,-4.140719073,-57413,12023.4375,768,128
-4.449327522,-61692,-4.169495603,-57812,0,0,156,-302.5000361,-4194304,12025.39063,832,128
-16.56121749,-229629,326.1009015,4521541,1.180558941,16369,135,4.709830846,65304,12027.34375,896,0
0.294328367,4081,326.1009015,4521541,0.073852548,1024,135,4.709830846,65304,12029.29688,960,128
-0.259421499,-3597,-4.032825116,-55917,0,0,156,-302.5000361,-4194304,12031.25,1024,128
-18.90625225,-262144,-4.032825116,-55917,0,0,156,-302.5000361,-4194304,12033.20313,1088,156
1.181640766,16384,22.45117455,311296,1.107788218,15360,1,524.6173435,7274064,12035.15625,1152,0
0.009159447,127,0.018391015,255,0.016155245,224,1,384.8040849,5335488,12037.10938,1216,128
595.5470181,8257537,0.018391015,255,0.572213003,7934,1,384.8040849,5335488,12039.0625,1280,0
