Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,RAW,CAL,RAW,CAL,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,No Units,mV,No Units,mSecs,No Units
4.688554965,65009,-0.035700206,-495,0.034762625,482,0,-123864,-8.933273427,64,1.953125,0
4.725120631,65516,-0.008654595,-120,0.027694705,384,0,-123516,-8.9081751,128,3.90625,0
-73.26179961,-1015809,1.291986858,17914,0.921065321,12771,128,9679,0.698065245,192,5.859375,128
-73.70022699,-1021888,1.334827105,18508,1.016554358,14095,128,10009,0.721865382,256,7.8125,128
0.29533807,4095,1.456207807,20191,1.171255251,16240,128,11108,0.801127052,320,9.765625,128
-73.26201597,-1015812,1.462338145,20276,1.163105507,16127,128,10899,0.786053632,384,11.71875,128
-75.59111185,-1048106,1.506188095,20884,1.181568644,16383,128,11772,0.849015814,448,13.671875,128
-73.33341638,-1016802,1.48383039,20574,1.126179233,15615,128,11469,0.82716296,512,15.625,128
-75.56745596,-1047778,1.368003055,18968,1.153873939,15999,128,10871,0.784034226,576,17.578125,128
-75.44960921,-1046144,1.386105583,19219,1.181424401,16381,128,11113,0.801487661,640,19.53125,128
0.119721904,1660,1.426277331,19776,1.181352279,16380,128,10902,0.786269997,704,21.484375,128
-18.89889585,-262042,-127.6121542,-1769402,0.004327298,60,149,40,0.002884865,768,23.4375,0
0.002307892,32,-127.6121542,-1769402,0,0,149,40,0.002884865,832,25.390625,128
0,0,0,0,0.013847353,192,10,4496832,324.3188482,896,27.34375,128
1.051821834,14584,0.652340132,9045,0,0,0,-4194304,-302.5000361,960,29.296875,128
4.135742681,57344,0.652340132,9045,0,0,0,-4194304,-302.5000361,1024,31.25,0
0,0,0,0,0,0,14,4834240,348.6532627,1088,33.203125,0
0.013847353,192,0,0,1.841697912,25536,14,4834240,348.6532627,1152,35.15625,0
4.135742681,57344,1.533954922,21269,1.181063793,16376,128,12151,0.876349911,1216,37.109375,128
-37.81250451,-524288,1.420868209,19701,1.144714492,15872,128,9906,0.714436855,1280,39.0625,128
-37.81250451,-524288,1.479503093,20514,0.239948659,3327,128,10182,0.734342424,1344,41.015625,0
591.4088954,8200160,1.334682862,18506,1.163177629,16128,128,9379,0.676428756,1408,42.96875,0
-37.68326255,-522496,1.296530521,17977,0.888033615,12313,128,9824,0.708522881,1472,44.921875,128
1.218494918,16895,1.287803803,17856,1.034512643,14344,128,10211,0.736433951,1536,46.875,128
2.326355258,32256,1.308719076,18146,1.033791427,14334,128,10488,0.756411643,1600,48.828125,128
-35.46552246,-491746,1.290111696,17888,1.110023988,15391,128,10237,0.738309114,1664,50.78125,128
-37.70367297,-522779,1.295809304,17967,1.024487737,14205,128,9629,0.694459163,1728,52.734375,128
-37.81034086,-524258,1.331365267,18460,1.164259453,16143,128,10286,0.741843074,1792,54.6875,128
1.181640766,16384,1.401395369,19431,1.070861944,14848,128,10482,0.755978913,1856,56.640625,128
-37.61171789,-521504,1.39302926,19315,1.108004583,15363,128,9190,0.662797768,1920,58.59375,128
2.291664754,31775,1.346078079,18664,0.959506149,13304,128,9808,0.707368935,1984,60.546875,128
0.149796623,2077,1.236813812,17149,0.886230574,12288,128,8875,0.640079455,2048,62.5,128
-36.63093586,-507905,1.207243944,16739,0.62565513,8675,128,8451,0.609499885,2112,64.453125,128
0.12931408,1793,1.301434791,18045,0.914790739,12684,128,10251,0.739318817,2176,66.40625,128
0.036854152,511,1.201329971,16657,0.886230574,12288,128,9326,0.67260631,2240,68.359375,128
-36.5943702,-507398,1.199815416,16636,0.886446939,12291,128,8876,0.640151577,2304,70.3125,128
0.036926274,512,1.231765298,17079,0.962391014,13344,128,9793,0.706287111,2368,72.265625,128
-37.81012449,-524255,1.321340361,18321,1.038479333,14399,128,11054,0.797232484,2432,74.21875,128
1.994235157,27651,1.289462601,17879,1.181496523,16382,128,9534,0.687607609,2496,76.171875,128
1.220730689,16926,1.294438993,17948,0.955467338,13248,128,9161,0.660706241,2560,78.125,128
1.840760331,25523,1.32263855,18339,1.177024982,16320,128,9426,0.679818473,2624,80.078125,128
2.329961339,32306,1.490393459,20665,1.18048682,16368,128,12229,0.881975398,2688,82.03125,128
-37.51709432,-520192,1.576578805,21860,0.004543663,63,128,14192,1.023550156,2752,83.984375,128
-37.30952827,-517314,1.396202611,19359,1.033863549,14335,128,13254,0.955900068,2816,85.9375,128
0.028127435,390,1.408391167,19528,1.031627778,14304,128,14521,1.047278171,2880,87.890625,128
0.260863931,3617,1.375359461,19070,1.144137519,15864,128,16345,1.178828022,2944,89.84375,128
-37.81142268,-524273,1.346222323,18666,0.018391015,255,128,17254,1.244386583,3008,91.796875,128
2.068159827,28676,1.297684467,17993,0.018318894,254,128,18777,1.354227824,3072,93.75,128
-37.80240748,-524148,1.307997859,18136,0.138545649,1921,128,21405,1.543763464,3136,95.703125,128
1.290111696,17888,1.307781495,18133,0.332047979,4604,128,23034,1.661249597,3200,97.65625,128
0.036709909,509,1.289895331,17885,0.553894109,7680,128,23696,1.708994115,3264,99.609375,128
0.004543663,63,1.434066467,19884,1.052398807,14592,128,26410,1.904732216,3328,101.5625,128
1.735534875,24064,1.495514094,20736,1.135627167,15746,128,28436,2.050850636,3392,103.515625,128
1.330427686,18447,1.324441591,18364,1.093075406,15156,128,26248,1.893048512,3456,105.46875,128
-37.7981523,-524089,1.402116585,19441,0.959434028,13303,128,23994,1.730486361,3520,107.421875,128
0.287909542,3992,1.309440292,18156,0.298295057,4136,128,19468,1.404063869,3584,109.375,128
0.028199557,391,1.200680876,16648,0.037935977,526,128,14939,1.077425012,3648,111.328125,128
1.215754296,16857,1.304896629,18093,1.033647184,14332,128,13890,1.001769424,3712,113.28125,128
-37.79404137,-524032,1.298189318,18000,0.904765833,12545,128,9776,0.705061043,3776,115.234375,128
1.182217739,16392,1.284918938,17816,0.590531896,8188,128,7836,0.565145083,3840,117.1875,128
1.251093894,17347,1.25224784,17363,0.534565512,7412,128,6388,0.460712965,3904,119.140625,128
1.19995966,16638,1.290255939,17890,0.553894109,7680,128,6003,0.432946138,3968,121.09375,128
-36.55708332,-506881,1.144137519,15864,0.133641378,1853,128,5053,0.36443059,4032,123.046875,128
-37.51716644,-520193,1.060404308,14703,0.06685675,927,128,5406,0.389889525,4096,125,128
-36.70002838,-508863,1.202051187,16667,0.512279929,7103,128,7926,0.57163603,4160,126.953125,128
-35.45044904,-491537,1.338649552,18561,1.093868744,15167,128,9091,0.655657727,4224,128.90625,128
-36.54814023,-506757,1.202844525,16678,0.579353044,8033,128,6857,0.494538009,4288,130.859375,128
1.182506225,16396,1.217629459,16883,0.572357246,7936,128,8030,0.579136679,4352,132.8125,128
0.073780426,1023,1.303454197,18073,1.114567651,15454,128,10121,0.729943005,4416,134.765625,128
0.014063718,195,1.260109098,17472,1.163610359,16134,128,8770,0.632506684,4480,136.71875,128
0.009159447,127,1.228880433,17039,0.582742761,8080,128,8111,0.584978531,4544,138.671875,128
-35.45138662,-491550,1.290400182,17892,1.051316983,14577,128,9493,0.684650622,4608,140.625,128
-37.81077359,-524264,1.271937045,17636,0.960011001,13311,128,9389,0.677149973,4672,142.578125,128
0.037431125,519,1.31333486,18210,1.126107112,15614,128,9774,0.7049168,4736,144.53125,128
0.223865536,3104,1.373772785,19048,1.042590266,14456,128,10760,0.776028726,4800,146.484375,128
2.289428984,31744,1.316580333,18255,1.163177629,16128,128,11355,0.818941095,4864,148.4375,128
0.008510352,118,1.22520223,16988,1.035666589,14360,128,9250,0.667125066,4928,150.390625,128
0.018318894,254,1.302083886,18054,0.953015203,13214,128,9653,0.696190083,4992,152.34375,128
2.353977842,32639,1.30136267,18044,1.029608372,14276,128,10205,0.736001222,5056,154.296875,128
-37.77622733,-523785,1.327542821,18407,1.034007792,14337,128,10899,0.786053632,5120,156.25,128
-37.81192753,-524280,1.426854304,19784,1.045403009,14495,128,12475,0.899717319,5184,158.203125,128
-36.51092547,-506241,1.418488195,19668,1.171038886,16237,128,12109,0.873320803,5248,160.15625,128
-37.79454622,-524039,1.373267934,19041,1.034440522,14343,128,10876,0.784394835,5312,162.109375,128
1.919877758,26620,1.29472748,17952,1.111250056,15408,128,10015,0.722298112,5376,164.0625,128
2.306666053,31983,1.366200014,18943,1.005952478,13948,128,10512,0.758142562,5440,166.015625,128
1.957020397,27135,1.39526503,19346,1.036676292,14374,128,10923,0.787784551,5504,167.96875,128
-36.40880125,-504825,1.298333561,18002,1.038479333,14399,128,9679,0.698065245,5568,169.921875,128
-37.81199966,-524281,1.30316571,18069,0.92279624,12795,128,10029,0.723307815,5632,171.875,128
0.156792421,2174,1.37398915,19051,1.172409197,16256,128,11448,0.825648406,5696,173.828125,128
1.253329665,17378,1.378100083,19108,1.113269462,15436,128,11386,0.821176865,5760,175.78125,128
-35.96626293,-498689,1.245179921,17265,1.125313774,15603,128,11094,0.80011735,5824,177.734375,128
2.291664754,31775,1.365983649,18940,1.163177629,16128,128,10941,0.78908274,5888,179.6875,128
2.358377261,32700,1.389711665,19269,1.03393567,14336,128,10587,0.763551684,5952,181.640625,128
0.184559248,2559,1.348602336,18699,1.172409197,16256,128,11029,0.795429444,6016,183.59375,128
5.05E-04,7,1.235299258,17128,1.03393567,14336,128,9622,0.693954312,6080,185.546875,128
1.213734891,16829,1.213734891,16829,0.738092749,10234,128,10246,0.738958208,6144,187.5,128
0.036565666,507,1.284414087,17809,1.015472533,14080,128,9959,0.718259301,6208,189.453125,128
