Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW,CAL,CAL,RAW,RAW
mV,No Units,No Units,mV,No Units,mV,No Units,No Units,mV,mSecs,No Units,No Units
-605.0000721,-8388608,-8388608,-605.0000721,16383,1.181568644,0,8388607,605,8001.953125,64,0
-605.0000721,-8388608,-8388608,-605.0000721,16383,1.181568644,0,8388607,605,8003.90625,128,0
-7.385182665,-102399,-244607,-17.64145525,16639,1.200031781,128,-10821,-0.780428145,8005.859375,192,128
-7.237621813,-100353,-243879,-17.5889507,16832,1.213951256,128,-9463,-0.682486973,8007.8125,256,128
-7.246709138,-100479,-244479,-17.63222368,16129,1.163249751,128,-8143,-0.587286423,8009.765625,320,128
-7.366935893,-102146,-241412,-17.41102665,26126,1.884249673,128,-4498,-0.324403086,8011.71875,384,128
-9.437043004,-130849,-239144,-17.24745479,31999,2.307819999,128,-2843,-0.205041791,8013.671875,448,128
-9.156634111,-126961,-239652,-17.28409258,25283,1.82345114,128,-4405,-0.317695775,8015.625,512,128
-8.894688355,-123329,-237969,-17.16271188,18416,1.328191916,128,-8256,-0.595436167,8017.578125,576,128
-7.163697143,-99328,-237392,-17.1210977,17276,1.245973259,128,-11451,-0.825864771,8019.53125,640,128
-9.452621275,-131065,-238570,-17.20605698,6146,0.44325953,128,-12102,-0.872815951,8021.484375,704,128
-9.155191678,-126941,-240726,-17.36155121,53,0.003822446,128,-14731,-1.062423713,8023.4375,768,128
-2.324047366,-32224,-241181,-17.39436655,15902,1.146878141,128,-14840,-1.070284971,8025.390625,832,0
4.717331495,65408,-241181,-17.39436655,0,0,128,-14840,-1.070284971,8027.34375,896,152
-0.286250745,-3969,-4208900,-303.5527234,255,0.018391015,147,255,0.018391015,8029.296875,960,128
0.009159447,127,-4208900,-303.5527234,96,0.006923676,147,255,0.018391015,8031.25,1024,128
-9.453126127,-131072,-4194304,-302.5000361,0,0,159,-241897,-17.44600564,8033.203125,1088,159
4.726490942,65535,-18041,-1.301146305,0,0,152,-4194304,-302.5000361,8035.15625,1152,152
0,0,4660928,336.153719,15424,1.112404002,0,-5067012,-365.4411585,8037.109375,1216,0
-9.452260667,-131060,4660928,336.153719,4035,0.291010772,0,-5067012,-365.4411585,8039.0625,1280,158
-9.453126127,-131072,-243299,-17.54712016,207,0.014929177,128,-19609,-1.414233019,8041.015625,1344,0
4.431152872,61440,4308992,310.7715214,15456,1.114711894,1,-3212216,-231.6702499,8042.96875,1408,0
-9.445048504,-130960,4942272,356.4447065,16253,1.172192832,0,-4962052,-357.8712723,8044.921875,1472,128
-0.072121629,-1000,-242212,-17.46872395,16383,1.181568644,128,-19281,-1.390577124,8046.875,1536,0
-9.166947504,-127104,-242053,-17.45725661,12815,0.924238673,128,-18647,-1.344852012,8048.828125,1600,128
-8.162148972,-113172,-241580,-17.42314308,13248,0.955467338,128,-18268,-1.317517914,8050.78125,1664,128
-8.93565344,-123897,-240292,-17.33025042,16382,1.181496523,128,-17521,-1.263643058,8052.734375,1728,128
-7.903304446,-109583,-239948,-17.30544058,16383,1.181568644,128,-17410,-1.255637557,8054.6875,1792,128
-7.163408657,-99324,-240439,-17.3408523,16142,1.164187332,128,-17908,-1.291554128,8056.640625,1856,128
-7.737929551,-107290,-239582,-17.27904407,16366,1.180342577,128,-17709,-1.277201924,8058.59375,1920,128
-7.237405448,-100350,-239809,-17.29541568,16368,1.18048682,128,-18002,-1.298333561,8060.546875,1984,128
-7.154465575,-99200,-239881,-17.30060843,14076,1.015184047,128,-18084,-1.304247535,8062.5,2048,128
-7.090421568,-98312,-240496,-17.34496323,16380,1.181352279,128,-18489,-1.333456794,8064.453125,2112,128
-7.810267545,-108293,-239821,-17.29628113,13350,0.962823744,128,-18399,-1.326965848,8066.40625,2176,128
-7.237549691,-100352,-239782,-17.29346839,15408,1.111250056,128,-16063,-1.158489723,8068.359375,2240,128
-4.578930089,-63489,-240098,-17.31625883,12803,0.923373213,128,-19132,-1.379831002,8070.3125,2304,128
-7.117539301,-98688,-238804,-17.22293344,16130,1.163321872,128,-18768,-1.353578729,8072.265625,2368,128
-7.089916717,-98305,-237370,-17.11951102,14818,1.068698295,128,-17074,-1.23140469,8074.21875,2432,128
-7.126770869,-98816,-238424,-17.19552722,16353,1.179404995,128,-17501,-1.262200625,8076.171875,2496,128
-4.709253873,-65296,-239132,-17.24658933,13304,0.959506149,128,-18543,-1.337351362,8078.125,2560,128
-7.154537696,-99201,-238497,-17.2007921,14312,1.032204751,128,-18552,-1.338000457,8080.078125,2624,128
-4.578930089,-63489,-239674,-17.28567926,14671,1.058096416,128,-19253,-1.388557719,8082.03125,2688,128
-4.181395672,-57977,-238509,-17.20165756,12413,0.895245778,128,-18186,-1.311603941,8083.984375,2752,128
-4.134877221,-57332,-237182,-17.10595216,15232,1.09855665,128,-17289,-1.24691084,8085.9375,2816,128
-4.136247532,-57351,-237748,-17.146773,16114,1.162167926,128,-18133,-1.307781495,8087.890625,2880,128
-4.693459236,-65077,-238820,-17.22408738,16382,1.181496523,128,-11552,-0.833149056,8089.84375,2944,128
-4.496062338,-62340,-237104,-17.10032667,204,0.014712812,128,-13250,-0.955611581,8091.796875,3008,128
-4.621626094,-64081,-235468,-16.98233568,1548,0.111644281,128,-16638,-1.19995966,8093.75,3072,128
-4.117856517,-57096,-236595,-17.06361676,15,0.001081824,128,-14767,-1.065020092,8095.703125,3136,128
-4.135742681,-57344,-237067,-17.09765817,5347,0.385634349,128,-9433,-0.680323324,8097.65625,3200,128
-4.135886924,-57346,-237347,-17.11785223,1542,0.111211552,128,-14437,-1.041219955,8099.609375,3264,128
-4.135670559,-57343,-237286,-17.11345281,4109,0.296347773,128,-9921,-0.715518679,8101.5625,3328,128
-3.250666052,-45072,-237944,-17.16090884,16267,1.173202535,128,-3970,-0.286322866,8103.515625,3392,128
-4.449616009,-61696,-237654,-17.13999357,15232,1.09855665,128,-9946,-0.71732172,8105.46875,3456,128
-4.10783161,-56957,-236447,-17.05294276,8176,0.589666437,128,-4481,-0.323177019,8107.421875,3520,128
