Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,RAW,CAL,RAW,RAW,CAL,CAL,RAW,RAW,CAL
mV,No Units,No Units,No Units,mV,No Units,No Units,mV,mV,No Units,No Units,mSecs
-9.433436922,-130799,128,-245148,-17.68047305,128,-130596,-9.418796232,0.009231568,128,1920,58.59375
-9.431417517,-130771,128,-245054,-17.67369362,128,-114208,-8.236866979,0.004543663,63,2560,78.125
-9.413026501,-130516,128,-244799,-17.6553026,128,-113680,-8.198786759,0.001153946,16,3200,97.65625
-9.406896163,-130431,128,-244436,-17.62912245,128,-105597,-7.615827634,0.020698907,287,3840,117.1875
-9.438413315,-130868,128,-244446,-17.62984367,128,-65308,-4.710119332,0.03231049,448,4480,136.71875
-9.458823736,-131151,128,-244887,-17.66164931,128,-64528,-4.653864462,1.177674076,16329,5120,156.25
-9.423412016,-130660,128,-243756,-17.58007974,128,-64544,-4.655018408,1.161086102,16099,5760,175.78125
-9.354680104,-129707,128,-243898,-17.59032102,128,-64753,-4.670091828,0.145613568,2019,6400,195.3125
-9.329942385,-129364,128,-244002,-17.59782166,128,-65284,-4.708388413,0.017164948,238,7040,214.84375
-9.333909075,-129419,128,-243515,-17.56269843,128,-65272,-4.707522953,0.14878692,2063,7680,234.375
-9.405742217,-130415,128,-243616,-17.56998272,128,-65410,-4.717475738,0.147128123,2040,8320,253.90625
-9.453991586,-131084,128,-243831,-17.58548887,128,-63733,-4.596527767,1.181063793,16376,8960,273.4375
-9.469497737,-131299,128,-243752,-17.57979126,128,-63709,-4.594796848,1.174644968,16287,9600,292.96875
-9.464088614,-131224,128,-243782,-17.58195491,128,-63496,-4.579434941,1.180342577,16366,10240,312.5
-9.549769109,-132412,128,-244010,-17.59839864,128,-65025,-4.689708911,1.117019786,15488,10880,332.03125
-9.545730298,-132356,128,-243067,-17.53038794,128,-65536,-4.726563063,1.144426005,15868,11520,351.5625
-7.694007479,-106681,128,-241217,-17.39696293,128,-47169,-3.401905108,0.022501948,312,12160,371.09375
-9.392039107,-130225,128,-244559,-17.63799341,128,-61569,-4.440456562,1.048576361,14539,12800,390.625
-9.434807233,-130818,128,-243629,-17.5709203,128,-65533,-4.726346699,1.165990372,16167,13440,410.15625
-9.455794627,-131109,128,-243461,-17.55880386,128,-63632,-4.589243482,1.173563143,16272,14080,429.6875
-9.410141636,-130476,128,-242687,-17.50298172,128,-62338,-4.495918095,0.00223577,31,14720,449.21875
-9.38461058,-130122,128,-242612,-17.4975726,128,-64452,-4.648383218,0.002163649,30,15360,468.75
-9.364849253,-129848,128,-242463,-17.48682648,128,-64097,-4.62278004,0.002019406,28,16000,488.28125
-9.303978599,-129004,128,-241899,-17.44614988,128,-61441,-4.431224994,0.009087325,126,16640,507.8125
-9.227962402,-127950,128,-240874,-17.37222521,128,-58354,-4.208585526,0.17713072,2456,17280,527.34375
-9.076795468,-125854,128,-239836,-17.29736296,128,-58321,-4.206205512,0.451769883,6264,17920,546.875
-9.055014736,-125552,128,-240206,-17.32404796,128,-57360,-4.136896627,0.55836565,7742,18560,566.40625
-9.077949414,-125870,128,-240226,-17.32549039,128,-57346,-4.135886924,0.518049659,7183,19200,585.9375
-9.224644807,-127904,128,-241807,-17.43951469,128,-58977,-4.2535173,0.295987164,4104,19840,605.46875
-9.346746724,-129597,128,-242646,-17.50002474,128,-61890,-4.463607605,0.146623271,2033,20480,625
-9.407473136,-130439,128,-242616,-17.49786109,128,-64001,-4.615856363,0.144099014,1998,21120,644.53125
-9.407545258,-130440,128,-242823,-17.51279026,128,-64657,-4.663168152,0.004543663,63,21760,664.0625
-9.433076314,-130794,128,-243239,-17.54279286,128,-65277,-4.707883562,0.006851555,95,22400,683.59375
-9.404083419,-130392,128,-242509,-17.49014407,128,-65348,-4.713004197,0.036926274,512,23040,703.125
-9.422546556,-130648,128,-243093,-17.5322631,128,-65476,-4.722235766,0.018318894,254,23680,722.65625
-9.384971188,-130127,128,-242753,-17.50774175,128,-64976,-4.686174951,0.008654595,120,24320,742.1875
-9.374152943,-129977,128,-242467,-17.48711496,128,-65489,-4.723173347,0.047239667,655,24960,761.71875
-9.374802038,-129986,128,-242620,-17.49814957,128,-63552,-4.583473752,0.008654595,120,25600,781.25
-9.386990593,-130155,128,-242858,-17.51531452,128,-64545,-4.655090529,0.018391015,255,26240,800.78125
-9.37177293,-129944,128,-242679,-17.50240475,128,-64500,-4.651845056,0.03231049,448,26880,820.3125
-9.388937877,-130182,128,-242732,-17.5062272,128,-64257,-4.6343195,0.002524257,35,27520,839.84375
-9.311407126,-129107,128,-242421,-17.48379737,128,-63999,-4.61571212,0.03454626,479,28160,859.375
-9.321792641,-129251,128,-243200,-17.53998012,128,-63743,-4.597248983,2.16E-04,3,28800,878.90625
-9.30534891,-129023,128,-242201,-17.46793061,128,-59392,-4.283447776,0.148931163,2065,29440,898.4375
-9.382446931,-130092,128,-242417,-17.48350888,128,-61577,-4.441033535,0.001947284,27,30080,917.96875
-9.443173342,-130934,128,-243124,-17.53449887,128,-63474,-4.577848265,0.017886164,248,30720,937.5
-9.443461829,-130938,128,-242978,-17.52396912,128,-65088,-4.694252574,0.009159447,127,31360,957.03125
-9.442740612,-130928,128,-242939,-17.52115637,128,-64637,-4.661725719,0.001226068,17,32000,976.5625
-9.561236448,-132571,128,-242150,-17.46425241,128,-65055,-4.69187256,1.181568644,16383,32640,996.09375
-9.049749857,-125479,128,-240822,-17.36847489,128,-61454,-4.432162575,1.121851936,15555,33280,1015.625
-8.333365719,-115546,128,-241354,-17.40684359,128,-46001,-3.317667045,0.553605622,7676,33920,1035.15625
-9.487672387,-131551,128,-243795,-17.58289249,128,-49053,-3.537782256,0.143810528,1994,34560,1054.6875
-9.343789738,-129556,128,-242022,-17.45502084,128,-61561,-4.439879589,0.017381313,241,35200,1074.21875
-9.337298791,-129466,128,-241554,-17.42126792,128,-61444,-4.431441358,0.065197952,904,35840,1093.75
-9.298425233,-128927,128,-241209,-17.39638596,128,-59385,-4.282942925,0.147705096,2048,36480,1113.28125
-9.304194963,-129007,128,-241203,-17.39595323,128,-57600,-4.154205817,0.056471235,783,37120,1132.8125
-9.251618296,-128278,128,-240845,-17.37013368,128,-57568,-4.151897925,0.176481626,2447,37760,1152.34375
-9.170048734,-127147,128,-240002,-17.30933515,128,-48897,-3.526531282,0.295121705,4092,38400,1171.875
-9.104201687,-126234,128,-239260,-17.2558209,128,-47201,-3.404213,0.45919841,6367,39040,1191.40625
-9.043403154,-125391,128,-239230,-17.25365725,128,-49144,-3.544345325,0.558437772,7743,39680,1210.9375
-8.998327136,-124766,128,-238436,-17.19639268,128,-49040,-3.536844675,0.572357246,7936,40320,1230.46875
-9.04809106,-125456,128,-239152,-17.24803176,128,-48674,-3.510448159,0.441961341,6128,40960,1250
-9.217937495,-127811,128,-240372,-17.33602015,128,-47741,-3.443158679,0.290794407,4032,41600,1269.53125
-9.290852462,-128822,128,-240896,-17.37381189,128,-49152,-3.544922298,0.162634273,2255,42240,1289.0625
-9.348910373,-129627,128,-241166,-17.39328473,128,-48129,-3.471141871,0.00973642,135,42880,1308.59375
-9.392688202,-130234,128,-241654,-17.42848008,128,-57456,-4.143820303,0.021924975,304,43520,1328.125
-9.41519015,-130546,128,-241897,-17.44600564,128,-49152,-3.544922298,0.036565666,507,44160,1347.65625
-9.365426226,-129856,128,-241143,-17.39162593,128,-61682,-4.448606306,0.073708305,1022,44800,1367.1875
-9.382807539,-130097,128,-241691,-17.43114858,128,-58367,-4.209523107,0.003461838,48,45440,1386.71875
-9.380066917,-130059,128,-241355,-17.40691571,128,-58306,-4.205123687,0.046085721,639,46080,1406.25
-9.365858956,-129862,128,-241351,-17.40662723,128,-49127,-3.543119257,0.018318894,254,46720,1425.78125
-9.38150935,-130079,128,-241986,-17.45242446,128,-61441,-4.431224994,0.009159447,127,47360,1445.3125
-9.331889669,-129391,128,-241004,-17.38160102,128,-57585,-4.153123993,0.03411353,473,48000,1464.84375
-9.370691105,-129929,128,-241223,-17.39739566,128,-61553,-4.439302616,0.073780426,1023,48640,1484.375
-9.381653593,-130081,128,-241428,-17.41218059,128,-57424,-4.141512411,0.034618382,480,49280,1503.90625
-9.32705752,-129324,128,-241166,-17.39328473,128,-48640,-3.507996024,5.05E-04,7,49920,1523.4375
-9.319628992,-129221,128,-241465,-17.41484909,128,-48160,-3.473377642,0,0,50560,1542.96875
-9.332178155,-129395,128,-240734,-17.36212818,128,-48157,-3.473161277,0.03721476,516,51200,1562.5
-9.414252569,-130533,128,-240816,-17.36804216,128,-47152,-3.40067904,0.001081824,15,51840,1582.03125
-9.426008394,-130696,128,-240832,-17.3691961,128,-48144,-3.472223696,0.036854152,511,52480,1601.5625
-9.393265175,-130242,128,-239977,-17.30753211,128,-57360,-4.136896627,0.036349301,504,53120,1621.09375
-9.425287178,-130686,128,-241123,-17.3901835,128,-49089,-3.540378635,0.07349194,1019,53760,1640.625
-9.527699891,-132106,128,-239773,-17.2928193,128,-49090,-3.540450757,1.148104208,15919,54400,1660.15625
