Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,RAW,CAL,RAW,RAW,CAL,CAL,RAW,CAL,RAW
mV,No Units,No Units,No Units,mV,No Units,No Units,mV,mV,No Units,mSecs,No Units
6.294054543,87270,128,-67411,-4.861791117,128,-25600,-1.846313697,0.004543663,63,58.59375,1920
8.10538925,112385,128,-66834,-4.820176938,128,-2033,-0.146623271,1.158706088,16066,78.125,2560
8.073367247,111941,128,-66132,-4.769547554,128,-900,-0.064909466,1.130795018,15679,97.65625,3200
8.053533799,111666,128,-65484,-4.722812739,128,-29,-0.002091527,1.116947665,15487,117.1875,3840
8.021151188,111217,128,-65696,-4.738102524,128,-1,-7.21E-05,1.029824737,14279,136.71875,4480
8.029733661,111336,128,-65450,-4.720360603,128,32702,2.358521504,1.035955076,14364,156.25,5120
8.039325838,111469,128,-64994,-4.687473141,128,528,0.03808022,1.048215753,14534,175.78125,5760
8.08634914,112121,128,-64336,-4.640017109,128,-16337,-1.178251049,1.116947665,15487,195.3125,6400
8.147291916,112966,128,-63504,-4.580011914,128,67582,4.874123916,1.063361295,14744,214.84375,7040
8.237588196,114218,128,-62766,-4.526786152,128,-62463,-4.504933298,1.148825425,15929,234.375,7680
8.272062334,114696,128,-62308,-4.493754446,128,101630,7.329721132,1.181063793,16376,253.90625,8320
8.251363427,114409,128,-62407,-4.500894487,128,102012,7.357271595,8.65E-04,12,273.4375,8960
8.170731446,113291,128,-63422,-4.57409794,128,-32641,-2.354122085,1.163105507,16127,292.96875,9600
8.091253411,112189,128,-63982,-4.614486052,128,99090,7.146532195,1.033647184,14332,312.5,10240
8.015814187,111143,128,-64817,-4.674707612,128,98559,7.108235611,1.043022995,14462,332.03125,10880
8.00975597,111059,128,-64631,-4.661292989,128,99328,7.163697143,1.03480113,14348,351.5625,11520
7.99511528,110856,128,-65058,-4.692088925,128,98809,7.126266018,1.03393567,14336,371.09375,12160
7.99028313,110789,128,-65238,-4.705070818,128,98380,7.095325839,1.036099319,14366,390.625,12800
7.991725563,110809,128,-65127,-4.697065317,128,98304,7.089844595,1.069419511,14828,410.15625,13440
7.990860103,110797,128,-65153,-4.69894048,128,98557,7.108091367,1.051244861,14576,429.6875,14080
8.021944525,111228,128,-64841,-4.676438531,128,99324,7.163408657,1.066101917,14782,449.21875,14720
7.972469088,110542,128,-65323,-4.711201157,128,98876,7.131098167,1.03393567,14336,468.75,15360
7.98537886,110721,128,-65151,-4.698796236,128,98535,7.106504691,1.179332874,16352,488.28125,16000
7.979104278,110634,128,-65288,-4.7086769,128,98616,7.112346543,1.180342577,16366,507.8125,16640
7.96814179,110482,128,-65196,-4.70204171,128,-32653,-2.354987544,1.034152035,14339,527.34375,17280
7.985306738,110720,128,-65115,-4.696199858,128,-32449,-2.340274732,1.036171441,14367,546.875,17920
7.977301237,110609,128,-65174,-4.700455034,128,-32633,-2.353545112,1.05030728,14563,566.40625,18560
7.982926724,110687,128,-65141,-4.69807502,128,98439,7.099581015,1.050090915,14560,585.9375,19200
7.989561914,110779,128,-65014,-4.688915573,128,98304,7.089844595,1.03393567,14336,605.46875,19840
7.991509198,110806,128,-64992,-4.687328897,128,-32256,-2.326355258,1.051749712,14583,625,20480
8.026993039,111298,128,-64615,-4.660139043,128,-32700,-2.358377261,1.181424401,16381,644.53125,21120
8.07437695,111955,128,-64715,-4.667351206,128,-31775,-2.291664754,1.172337076,16255,664.0625,21760
8.140151875,112867,128,-63994,-4.615351512,128,98332,7.091864001,1.179332874,16352,683.59375,22400
8.117289319,112550,128,-63434,-4.5749634,128,-31208,-2.250771791,1.181568644,16383,703.125,23040
7.989345549,110776,128,-65039,-4.690718614,128,98304,7.089844595,1.066101917,14782,722.65625,23680
7.955592627,110308,128,-64820,-4.674923977,128,98425,7.098571312,1.181063793,16376,742.1875,24320
7.942250126,110123,128,-65317,-4.710768427,128,98304,7.089844595,1.165197035,16156,761.71875,24960
7.99071586,110795,128,-64726,-4.668144544,128,-32641,-2.354122085,1.177529833,16327,781.25,25600
7.94953441,110224,128,-65459,-4.721009698,128,98304,7.089844595,1.172409197,16256,800.78125,26240
7.95039987,110236,128,-65634,-4.733630983,128,-1,-7.21E-05,1.145363587,15881,820.3125,26880
8.08591641,112115,128,-63942,-4.611601187,128,-32755,-2.362343951,6.49E-04,9,839.84375,27520
8.147652524,112971,128,-58097,-4.190050267,128,123111,8.87896584,1.181352279,16380,859.375,28160
7.984369157,110707,128,-68454,-4.937013976,128,-31777,-2.291808998,1.170173427,16225,878.90625,28800
7.995836496,110866,128,-67207,-4.847078305,128,-2129,-0.153546948,1.173491022,16271,898.4375,29440
8.02526212,111274,128,-66226,-4.776326987,128,-1032,-0.074429521,1.167577048,16189,917.96875,30080
8.019997241,111201,128,-66321,-4.783178542,128,-769,-0.055461533,1.163249751,16129,937.5,30720
8.0385325,111458,128,-66198,-4.774307582,128,-1,-7.21E-05,1.174644968,16287,957.03125,31360
8.050144082,111619,128,-66140,-4.770124527,128,-859,-0.061952479,1.172769806,16261,976.5625,32000
8.042354946,111511,128,-66584,-4.80214653,128,65532,4.726274577,1.107499731,15356,996.09375,32640
8.052379853,111650,128,-66461,-4.79327557,128,-897,-0.064693101,1.112331881,15423,1015.625,33280
8.054110772,111674,128,-66491,-4.795439219,128,-128,-0.009231568,1.181568644,16383,1035.15625,33920
8.106326831,112398,128,-65484,-4.722812739,128,-253,-0.018246772,1.16368248,16135,1054.6875,34560
8.168423554,113259,128,-65037,-4.690574371,128,-32640,-2.354049963,1.118390097,15507,1074.21875,35200
8.239246993,114241,128,-64109,-4.623645499,128,99315,7.162759562,1.152792114,15984,1093.75,35840
8.307834662,115192,128,-63540,-4.582608292,128,99327,7.163625021,0.004038811,56,1113.28125,36480
8.342164557,115668,128,-63646,-4.590253185,128,100292,7.233222393,0,0,1132.8125,37120
8.246459156,114341,128,-64481,-4.650474745,128,99327,7.163625021,0.053081519,736,1152.34375,37760
8.127025739,112685,128,-66002,-4.760171742,128,98313,7.09049369,1.070861944,14848,1171.875,38400
8.052596218,111653,128,-66751,-4.814190842,128,-541,-0.039017801,1.148104208,15919,1191.40625,39040
