Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,CAL,RAW,RAW,RAW,CAL,CAL,RAW,RAW,CAL
mV,No Units,No Units,mV,No Units,No Units,No Units,mV,mV,No Units,No Units,mSecs
-23.54208631,-326422,0,-7.114510192,-98646,0,-98626,-7.11306776,7.21E-04,10,640,19.53125
-34.08302296,-472577,128,-23.2859824,-322871,128,-265090,-19.11872257,0.046085721,639,1920,58.59375
-34.34843056,-476257,128,-23.12118448,-320586,128,-65049,-4.69143983,0.073780426,1023,2560,78.125
-34.25207606,-474921,128,-22.99093282,-318780,128,-50689,-3.655773241,1.171327373,16241,3200,97.65625
-34.18795993,-474032,128,-22.92140757,-317816,128,-65409,-4.717403617,0.032598976,452,3840,117.1875
-34.09037937,-472679,128,-22.85577689,-316906,128,-61825,-4.458919699,0.143161433,1985,4480,136.71875
-34.05251551,-472154,128,-22.8174803,-316375,128,-57283,-4.131343261,0.016083123,223,5120,156.25
-34.02633536,-471791,128,-22.79505048,-316064,128,-53952,-3.891106116,0.092243563,1279,5760,175.78125
-33.99892914,-471411,128,-22.75704238,-315537,128,-53473,-3.856559856,0.147416609,2044,6400,195.3125
-33.95983922,-470869,128,-22.71845731,-315002,128,-49153,-3.544994419,0.146623271,2033,7040,214.84375
-33.92089354,-470329,128,-22.6650873,-314262,128,-52225,-3.766552063,0.297501719,4125,7680,234.375
-33.86665808,-469577,128,-22.57991166,-313081,128,-52319,-3.773331496,0.434100084,6019,8320,253.90625
-33.80261407,-468689,128,-22.50937671,-312103,128,-49604,-3.577521274,0.572357246,7936,8960,273.4375
-33.55905933,-465312,128,-22.47374862,-311609,128,-49401,-3.562880583,0.516967835,7168,9600,292.96875
-33.03884602,-458099,128,-22.49819785,-311948,128,-49804,-3.5919456,0.010097028,140,10240,312.5
-32.32426492,-448191,128,-22.64597507,-313997,128,-50057,-3.610192372,0.535070364,7419,10880,332.03125
-31.84162698,-441499,128,-22.70720633,-314846,128,-53248,-3.840332489,0.918541064,12736,11520,351.5625
-31.16094305,-432061,128,-22.75415751,-315497,128,-61436,-4.430864385,0.581588814,8064,12160,371.09375
-30.69510945,-425602,128,-22.74413261,-315358,128,-63517,-4.580949495,0.960083122,13312,12800,390.625
