Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,CAL,RAW,RAW,RAW,CAL,RAW,CAL,RAW,CAL
mV,No Units,No Units,mV,No Units,No Units,No Units,mV,No Units,mV,No Units,mSecs
-14.48577338,-200852,128,-13.8072531,-191444,128,-30986,-2.234760789,14719,1.061558254,1920,58.59375
-14.50373167,-201101,128,-13.84201572,-191926,128,-24817,-1.789842461,15902,1.146878141,2560,78.125
-14.53301305,-201507,128,-13.82997141,-191759,128,-9288,-0.669865688,16380,1.181352279,3200,97.65625
-13.92856168,-193126,128,-13.51667506,-187415,128,-1913,-0.137968676,28675,2.068087705,3840,117.1875
-13.85131941,-192055,128,-13.63762303,-189092,128,-896,-0.064620979,16368,1.18048682,4480,136.71875
-14.43103307,-200093,128,-13.81085918,-191494,128,-65528,-4.72598609,15871,1.14464237,5120,156.25
-14.44444769,-200279,128,-13.81785498,-191591,128,-65536,-4.726563063,16374,1.18091955,5760,175.78125
-14.41192084,-199828,128,-13.75770554,-190757,128,-63681,-4.592777442,14814,1.068409809,6400,195.3125
-14.43810099,-200191,128,-13.7645571,-190852,128,-63741,-4.59710474,14837,1.070068606,7040,214.84375
-14.39086132,-199536,128,-13.73253509,-190408,128,-61172,-4.411824275,14337,1.034007792,7680,234.375
-14.41300266,-199843,128,-13.7415503,-190533,128,-59392,-4.283447776,15512,1.118750706,8320,253.90625
-14.36633997,-199196,128,-13.69957551,-189951,128,-58617,-4.227553514,15875,1.144930857,8960,273.4375
-14.34073679,-198841,128,-13.6848627,-189747,128,-59377,-4.282365952,16136,1.163754602,9600,292.96875
-14.34290044,-198871,128,-13.67426082,-189600,128,-58400,-4.211903121,16191,1.167721292,10240,312.5
-14.29104499,-198152,128,-13.65067704,-189273,128,-58882,-4.246665746,14352,1.035089616,10880,332.03125
-14.21098998,-197042,128,-13.53917701,-187727,128,-57376,-4.138050573,16382,1.181496523,11520,351.5625
-14.12184764,-195806,128,-13.51003987,-187323,128,-64516,-4.652999002,307,0.02214134,12160,371.09375
-14.13958956,-196052,128,-13.56629474,-188103,128,-65536,-4.726563063,28,0.002019406,12800,390.625
-14.21459606,-197092,128,-13.65305706,-189306,128,-57475,-4.145190614,59,0.004255176,13440,410.15625
-14.29941109,-198268,128,-13.67216929,-189571,128,-57457,-4.143892425,15616,1.126251355,14080,429.6875
-14.34275619,-198869,128,-13.71032163,-190100,128,-58991,-4.254527003,16376,1.181063793,14720,449.21875
-14.35357444,-199019,128,-13.71169194,-190119,128,-59151,-4.266066464,16355,1.179549239,15360,468.75
-14.38170187,-199409,128,-13.73960301,-190506,128,-61471,-4.433388642,15873,1.144786614,16000,488.28125
-14.34030406,-198835,128,-13.69416639,-189876,128,-59389,-4.283231411,16368,1.18048682,16640,507.8125
-14.3324428,-198726,128,-13.6992149,-189946,128,-59345,-4.28005806,16267,1.173202535,17280,527.34375
-14.37182121,-199272,128,-13.70433554,-190017,128,-61154,-4.410526086,16321,1.177097103,17920,546.875
-14.36331086,-199154,128,-13.72359201,-190284,128,-62225,-4.487768351,15964,1.151349682,18560,566.40625
-14.31686453,-198510,128,-13.65738435,-189366,128,-59264,-4.274216208,16376,1.181063793,19200,585.9375
-14.34362165,-198881,128,-13.67570325,-189620,128,-58123,-4.191925429,14392,1.037974481,19840,605.46875
-14.34181861,-198856,128,-13.67166444,-189564,128,-58944,-4.251137287,16159,1.165413399,20480,625
-14.32602398,-198637,128,-13.68031903,-189684,128,-58882,-4.246665746,14577,1.051316983,21120,644.53125
-14.3441265,-198888,128,-13.68623301,-189766,128,-59016,-4.256330044,16383,1.181568644,21760,664.0625
-14.34650652,-198921,128,-13.68717059,-189779,128,-59391,-4.283375655,16287,1.174644968,22400,683.59375
-14.32400457,-198609,128,-13.67238565,-189574,128,-58432,-4.214211013,16128,1.163177629,23040,703.125
-14.37109999,-199262,128,-13.69957551,-189951,128,-57405,-4.1401421,14402,1.038695698,23680,722.65625
-14.35891144,-199093,128,-13.68904575,-189805,128,-59272,-4.274793181,16372,1.180775306,24320,742.1875
-14.35782961,-199078,128,-13.69935914,-189948,128,-61565,-4.440168076,16256,1.172409197,24960,761.71875
-14.37275879,-199285,128,-13.69784459,-189927,128,-58909,-4.24861303,16382,1.181496523,25600,781.25
-14.32926945,-198682,128,-13.6675535,-189507,128,-58372,-4.209883715,16382,1.181496523,26240,800.78125
-14.35083382,-198981,128,-13.67584749,-189622,128,-57569,-4.151970047,16280,1.174140116,26880,820.3125
-14.38148551,-199406,128,-13.69142576,-189838,128,-58353,-4.208513404,14351,1.035017495,27520,839.84375
-14.31650392,-198505,128,-13.65024431,-189267,128,-59333,-4.2791926,16323,1.177241347,28160,859.375
-14.37066726,-199256,128,-13.70880708,-190079,128,-58384,-4.210749174,15998,1.153801817,28800,878.90625
-14.32472579,-198619,128,-13.63502665,-189056,128,-58526,-4.220990446,16380,1.181352279,29440,898.4375
-14.32941369,-198684,128,-13.70209976,-189986,128,-57372,-4.137762086,16382,1.181496523,30080,917.96875
-14.27481762,-197927,128,-13.67325111,-189586,128,-57370,-4.137617843,15881,1.145363587,30720,937.5
-14.16584184,-196416,128,-13.60048039,-188577,128,-57825,-4.170433184,16280,1.174140116,31360,957.03125
-14.28866497,-198119,128,-13.62565084,-188926,128,-57849,-4.172164103,15361,1.10786034,32000,976.5625
-14.33301977,-198734,128,-13.67527052,-189614,128,-59016,-4.256330044,16371,1.180703185,32640,996.09375
-14.38364916,-199436,128,-13.70649918,-190047,128,-57345,-4.135814802,16308,1.176159522,33280,1015.625
-14.36540238,-199183,128,-13.69741186,-189921,128,-59362,-4.281284127,15927,1.148681182,33920,1035.15625
-14.3987947,-199646,128,-13.72402474,-190290,128,-59265,-4.274288329,16254,1.172264954,34560,1054.6875
