Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,CAL,RAW
mV,No Units,No Units,mV,No Units,No Units,mV,No Units,mV,No Units,mSecs,No Units
7.974560615,110571,128,-7.010510804,-97204,128,-0.572429368,-7937,1.111250056,15408,58.59375,1920
7.971026656,110522,128,-6.961251731,-96521,128,-9.445192748,-130962,1.16368248,16135,78.125,2560
7.962083574,110398,128,-6.966588732,-96595,128,-9.444038802,-130946,1.181568644,16383,97.65625,3200
7.937417977,110056,128,-6.936441891,-96177,128,2.509183587,34791,1.171832224,16248,117.1875,3840
7.920325151,109819,128,-6.936730377,-96181,128,-4.761469932,-66020,1.108004583,15363,136.71875,4480
7.903809298,109590,128,-6.944952243,-96295,128,0.058923371,817,1.123654976,15580,156.25,5120
7.88311039,109303,128,-6.921440592,-95969,128,2.88E-04,4,1.181063793,16376,175.78125,5760
7.887437688,109363,128,-6.924181214,-96007,128,0.147921461,2051,1.174428603,16284,195.3125,6400
7.895443189,109474,128,-6.876436696,-95345,128,-0.12931408,-1793,1.180558941,16369,214.84375,7040
7.932657949,109990,128,-6.870811209,-95267,128,0.286178623,3968,1.145002978,15876,234.375,7680
7.913617839,109726,128,-6.875787601,-95336,128,0.286106501,3967,1.108220948,15366,253.90625,8320
7.874527916,109184,128,-6.916392078,-95899,128,-2.297506606,-31856,1.16368248,16135,273.4375,8960
7.787332867,107975,128,-6.958438988,-96482,128,2.363281532,32768,1.050090915,14560,292.96875,9600
7.716581549,106994,128,-7.034671549,-97539,128,2.372224614,32892,1.069707998,14832,312.5,10240
7.646767813,106026,128,-7.092585217,-98342,128,-2.36407487,-32779,0.525838795,7291,332.03125,10880
7.621741607,105679,128,-7.155763764,-99218,128,-2.363425775,-32770,0.589594315,8175,351.5625,11520
7.583733509,105152,128,-7.162903805,-99317,128,-2.381311939,-33018,0.583824585,8095,371.09375,12160
7.543345397,104592,128,-7.219879892,-100107,128,-2.509904803,-34801,0.462660249,6415,390.625,12800
7.528199855,104382,128,-7.247069746,-100484,128,-2.395375657,-33213,0.524973336,7279,410.15625,13440
7.510746421,104140,128,-7.282625709,-100977,128,-2.536517684,-35170,0.570121475,7905,429.6875,14080
7.482474742,103748,128,-7.313421644,-101404,128,-2.652994115,-36785,0.531175796,7365,449.21875,14720
7.479661999,103709,128,-7.342919391,-101813,128,-2.640372829,-36610,0.531320039,7367,468.75,15360
7.460117037,103438,128,-7.385543273,-102404,128,2.289428984,31744,0.516967835,7168,488.28125,16000
7.429753832,103017,128,-7.448072725,-103271,128,-2.806613184,-38915,0.516895713,7167,507.8125,16640
7.406097937,102689,128,-7.540749018,-104556,128,-2.917247762,-40449,0.480546413,6663,527.34375,17280
7.360661311,102059,128,-7.564404913,-104884,128,1.832394222,25407,0.292958056,4062,546.875,17920
7.347174567,101872,128,-7.606019092,-105461,128,-2.815628387,-39040,0.291299259,4039,566.40625,18560
7.391817855,102491,128,-7.637319879,-105895,128,-2.953597063,-40953,0.287260447,3983,585.9375,19200
7.39780395,102574,128,-7.619505837,-105648,128,-2.88082634,-39944,0.544446176,7549,605.46875,19840
