Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG LA-RA,ECG LA-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp
RAW,CAL,CAL,RAW,CAL,RAW,RAW,CAL
No Units,mV,mV,No Units,mV,No Units,No Units,mSecs
116563,8.406713415,12.71850499,176348,14.02217555,194424,64,1.953125
116736,8.419190457,12.70732614,176193,14.01763189,194361,128,3.90625
191163,13.78698692,-3.341539304,-46332,14.02217555,194424,192,5.859375
191483,13.81006584,-3.343270224,-46356,-605.0000721,-8388608,256,7.8125
186329,13.43835097,-3.673803648,-50939,-605.0000721,-8388608,320,9.765625
188904,13.62406416,-3.364041253,-46644,-605.0000721,-8388608,384,11.71875
189093,13.63769515,-3.294371759,-45678,-605.0000721,-8388608,448,13.671875
190498,13.73902604,-3.146306055,-43625,-605.0000721,-8388608,512,15.625
190700,13.75359461,-3.021752002,-41898,-605.0000721,-8388608,576,17.578125
189246,13.64872976,-3.089546333,-42838,-605.0000721,-8388608,640,19.53125
188727,13.61129863,-3.151931542,-43703,-605.0000721,-8388608,704,21.484375
188465,13.59240277,-3.071083197,-42582,-605.0000721,-8388608,768,23.4375
185503,13.3787785,-3.290188705,-45620,-605.0000721,-8388608,832,25.390625
185503,13.3787785,-3.290188705,-45620,-605.0000721,-8388608,896,27.34375
185675,13.39118342,-3.16332676,-43861,-605.0000721,-8388608,960,29.296875
189595,13.67390021,-2.81663809,-39054,-605.0000721,-8388608,1024,31.25
186835,13.47484451,-3.132170216,-43429,-605.0000721,-8388608,1088,33.203125
186835,13.47484451,-3.132170216,-43429,-605.0000721,-8388608,1152,35.15625
187917,13.55288011,-2.869791731,-39791,-605.0000721,-8388608,1216,37.109375
187242,13.50419802,-2.882413016,-39966,-605.0000721,-8388608,1280,39.0625
187242,13.50419802,-2.882413016,-39966,-605.0000721,-8388608,1344,41.015625
185187,13.35598807,-2.963982578,-41097,-605.0000721,-8388608,1408,42.96875
185224,13.35865657,-2.886307584,-40020,-605.0000721,-8388608,1472,44.921875
186696,13.46481961,-2.742641299,-38028,-605.0000721,-8388608,1536,46.875
188855,13.6205302,-2.559596605,-35490,-605.0000721,-8388608,1600,48.828125
185412,13.37221543,-2.678236685,-37135,-605.0000721,-8388608,1664,50.78125
184631,13.31588844,-2.621693328,-36351,-605.0000721,-8388608,1728,52.734375
184251,13.28848222,-2.654148061,-36801,-605.0000721,-8388608,1792,54.6875
