Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,CAL,RAW,RAW,RAW,CAL,CAL,RAW,CAL,RAW
mV,No Units,No Units,mV,No Units,No Units,No Units,mV,mV,No Units,mSecs,No Units
0.474271831,6576,128,-0.724750248,-10049,128,129032,9.305998004,0.532834593,7388,58.59375,1920
0.463453587,6426,128,-0.734198181,-10180,128,-1,-7.21E-05,0.521223011,7227,78.125,2560
0.42905157,5949,128,-0.760234089,-10541,128,-996,-0.071833142,0.443331652,6147,97.65625,3200
0.431215218,5979,128,-0.760594697,-10546,128,127987,9.230630902,0.556490488,7716,117.1875,3840
0.483287034,6701,128,-0.763191076,-10582,128,-3208,-0.231366185,0.519203606,7199,136.71875,4480
0.515741767,7151,128,-0.749632209,-10394,128,-3624,-0.261368783,0.58627672,8129,156.25,5120
0.522449079,7244,128,-0.753382534,-10446,128,131010,9.448654586,0.590531896,8188,175.78125,5760
0.426383069,5912,128,-0.817715027,-11338,128,128454,9.264311703,0.470809993,6528,195.3125,6400
0.394216823,5466,128,-0.82492719,-11438,128,-3076,-0.22184613,0.56103415,7779,214.84375,7040
0.376186416,5216,128,-0.853054625,-11828,128,127903,9.224572685,0.579280922,8032,234.375,7680
0.374383375,5191,128,-0.850025517,-11786,128,-3712,-0.267715486,0.517039957,7169,253.90625,8320
0.655946214,9095,128,-0.754824967,-10466,128,126984,9.158292908,0.008077622,112,273.4375,8960
1.35718481,18818,128,-0.455592329,-6317,128,-1985,-0.143161433,1.218494918,16895,292.96875,9600
0.623635724,8647,128,-1.033863549,-14335,128,-8192,-0.590820383,1.069058903,14823,312.5,10240
0.420469096,5830,128,-0.88868271,-12322,128,126950,9.155840773,0.574665138,7968,332.03125,10880
0.393928336,5462,128,-0.888033615,-12313,128,126751,9.141488569,0.516967835,7168,351.5625,11520
0.394721674,5473,128,-0.89048575,-12347,128,126912,9.153100151,0.517833295,7180,371.09375,12160
0.422200015,5854,128,-0.879451141,-12194,128,-6226,-0.449029261,0.534493391,7411,390.625,12800
0.413184811,5729,128,-0.901808846,-12504,128,127078,9.165072342,0.589666437,8176,410.15625,13440
0.435831003,6043,128,-0.893514859,-12389,128,-4495,-0.324186721,0.534204904,7407,429.6875,14080
0.4658336,6459,128,-0.870219573,-12066,128,129248,9.321576276,0.516967835,7168,449.21875,14720
0.518698754,7192,128,-0.838630299,-11628,128,-1537,-0.110850943,0.572862097,7943,468.75,15360
0.583031247,8084,128,-0.810070134,-11232,128,130048,9.379273579,0.58360822,8092,488.28125,16000
0.659912903,9150,128,-0.763118954,-10581,128,130540,9.41475742,1.16764917,16190,507.8125,16640
0.670226296,9293,128,-0.775740239,-10756,128,-3897,-0.281057987,1.108870042,15375,527.34375,17280
0.524179998,7268,128,-0.865820153,-12005,128,127232,9.176179072,0.585916112,8124,546.875,17920
0.413329055,5731,128,-0.954385514,-13233,128,126784,9.143868583,0.452346856,6272,566.40625,18560
0.344020169,4770,128,-0.997225761,-13827,128,123391,8.899159896,0.489417373,6786,585.9375,19200
0.329163114,4564,128,-0.999028802,-13852,128,123279,8.891082274,0.474271831,6576,605.46875,19840
0.313079991,4341,128,-1.015833141,-14085,128,123007,8.871465191,0.520429673,7216,625,20480
0.322888532,4477,128,-1.015184047,-14076,128,-6081,-0.438571625,0.528723661,7331,644.53125,21120
0.314306058,4358,128,-1.023550156,-14192,128,123135,8.880696759,0.517400565,7174,664.0625,21760
0.31791214,4408,128,-1.024487737,-14205,128,-8121,-0.585699747,0.521223011,7227,683.59375,22400
0.316469707,4388,128,-1.026218656,-14229,128,-8192,-0.590820383,0.526127282,7295,703.125,23040
0.300170219,4162,128,-1.039200549,-14409,128,-8096,-0.583896707,0.520501795,7217,722.65625,23680
0.297934448,4131,128,-1.033070211,-14324,128,-8192,-0.590820383,0.531320039,7367,742.1875,24320
0.353251738,4898,128,-1.028238061,-14257,128,-6145,-0.443187409,0.549206203,7615,761.71875,24960
0.376691267,5223,128,-1.020953777,-14156,128,123130,8.880336151,0.518987241,7196,781.25,25600
0.409218122,5674,128,-0.999533653,-13859,128,-5889,-0.424724272,0.556418366,7715,800.78125,26240
0.307166017,4259,128,-1.050451523,-14565,128,-8173,-0.589450072,0.516030254,7155,820.3125,26880
0.274494919,3806,128,-1.070645579,-14845,128,123267,8.890216814,0.516967835,7168,839.84375,27520
0.266777905,3699,128,-1.073241958,-14881,128,-6258,-0.451337153,0.276874933,3839,859.375,28160
0.244059592,3384,128,-1.084132324,-15032,128,124447,8.975320336,0.272764,3782,878.90625,28800
0.387942241,5379,128,-1.048576361,-14539,128,124002,8.943226211,0.276947054,3840,898.4375,29440
1.283332262,17794,128,-0.585339139,-8116,128,-32,-0.002307892,0.036854152,511,917.96875,30080
0.594498586,8243,128,-1.228736189,-17037,128,-961,-0.069308885,1.034152035,14339,937.5,30720
0.294328367,4081,128,-1.079155931,-14963,128,-8185,-0.590315532,0.590748261,8191,957.03125,31360
0.28783742,3991,128,-1.058889754,-14682,128,-7424,-0.535430972,0.291876232,4047,976.5625,32000
0.275288257,3817,128,-1.052398807,-14592,128,123780,8.92721521,0.290505921,4028,996.09375,32640
0.301035679,4174,128,-1.026074413,-14227,128,124927,9.009938718,0.295265948,4094,1015.625,33280
0.301612652,4182,128,-1.028382305,-14259,128,125049,9.018737557,0.523603025,7260,1035.15625,33920
0.306949652,4256,128,-1.014751317,-14070,128,-6080,-0.438499503,0.53535885,7423,1054.6875,34560
0.346328061,4802,128,-0.979051111,-13575,128,-4484,-0.323393383,0.575602719,7981,1074.21875,35200
0.390610741,5416,128,-0.932244174,-12926,128,-4607,-0.332264344,0.518049659,7183,1093.75,35840
0.455303842,6313,128,-0.89178394,-12365,128,-97,-0.006995798,0.521511498,7231,1113.28125,36480
0.5198527,7208,128,-0.858824355,-11908,128,-4096,-0.295410191,0.582093666,8071,1132.8125,37120
0.555480785,7702,128,-0.825720528,-11449,128,126977,9.157788057,0.535430972,7424,1152.34375,37760
0.40957873,5679,128,-0.93873512,-13016,128,130936,9.443317585,0.477733669,6624,1171.875,38400
0.304930246,4228,128,-1.004582167,-13929,128,126588,9.129732743,0.481195507,6672,1191.40625,39040
0.215715792,2991,128,-1.051605469,-14581,128,-6272,-0.452346856,0.217446711,3015,1210.9375,39680
0.18463137,2560,128,-1.07288135,-14876,128,123643,8.917334547,0.203959966,2828,1230.46875,40320
0.187660478,2602,128,-1.068842538,-14820,128,122886,8.862738474,0.261801512,3630,1250,40960
0.183405302,2543,128,-1.054201848,-14617,128,-6272,-0.452346856,0.257834823,3575,1269.53125,41600
0.177274964,2458,128,-1.062495835,-14732,128,-6400,-0.461578424,0.254661471,3531,1289.0625,42240
0.172154328,2387,128,-1.055932767,-14641,128,124909,9.008640529,0.240020781,3328,1308.59375,42880
0.161768813,2243,128,-1.04944182,-14551,128,-7996,-0.576684544,0.222062495,3079,1328.125,43520
0.1647258,2284,128,-1.035666589,-14360,128,-6272,-0.452346856,0.238938956,3313,1347.65625,44160
0.147777217,2049,128,-1.045907861,-14502,128,124926,9.009866596,0.229491023,3182,1367.1875,44800
0.140709298,1951,128,-1.043888455,-14474,128,-7936,-0.572357246,0.147488731,2045,1386.71875,45440
0.141286271,1959,128,-1.046845442,-14515,128,-6159,-0.444197112,0.147632974,2047,1406.25,46080
0.160903354,2231,128,-1.040210252,-14423,128,-6167,-0.444774085,0.238938956,3313,1425.78125,46720
0.220043089,3051,128,-1.015256168,-14077,128,-6145,-0.443187409,0.294184124,4079,1445.3125,47360
0.226389793,3139,128,-1.010640384,-14013,128,-6137,-0.442610436,0.29447261,4083,1464.84375,48000
0.153258461,2125,128,-1.02549744,-14219,128,123101,8.878244624,0.226173428,3136,1484.375,48640
0.091161739,1264,128,-1.069707998,-14832,128,123872,8.9338504,0.073708305,1022,1503.90625,49280
0.078973184,1095,128,-1.064659484,-14762,128,-7179,-0.517761173,0.07839621,1087,1523.4375,49920
0.070534953,978,128,-1.061990984,-14725,128,-6269,-0.452130491,0.07839621,1087,1542.96875,50560
0.055461533,769,128,-1.09192146,-15140,128,-6916,-0.498793185,0.073347696,1017,1562.5,51200
1.144858735,15874,128,-0.564495988,-7827,128,-1921,-0.138545649,0.183693788,2547,1582.03125,51840
0.356569333,4944,128,-1.207748795,-16746,128,130806,9.433941774,0.365800901,5072,1601.5625,52480
0.105513943,1463,128,-1.068770417,-14819,128,-7712,-0.556202001,0.130035297,1803,1621.09375,53120
0.085103522,1180,128,-1.054201848,-14617,128,-7568,-0.545816487,0.09830178,1363,1640.625,53760
0.07616044,1056,128,-1.05650974,-14649,128,-6153,-0.443764382,0.076088318,1055,1660.15625,54400
0.083949576,1164,128,-1.045042401,-14490,128,-8065,-0.581660936,0.090801131,1259,1679.6875,55040
0.09830178,1363,128,-1.028238061,-14257,128,-8179,-0.589882802,0.093397509,1295,1699.21875,55680
0.109913362,1524,128,-1.02419925,-14201,128,123103,8.878388867,0.129241959,1792,1718.75,56320
0.117918863,1635,128,-1.01265979,-14041,128,124929,9.010082961,0.129241959,1792,1738.28125,56960
0.177058599,2455,128,-0.962102528,-13340,128,125055,9.019170287,0.260503323,3612,1757.8125,57600
0.236919551,3285,128,-0.911040415,-12632,128,-4120,-0.297141111,0.291299259,4039,1777.34375,58240
0.31437818,4359,128,-0.876422033,-12152,128,-226,-0.016299488,0.295193827,4093,1796.875,58880
0.335726182,4655,128,-0.856588585,-11877,128,-1807,-0.130323783,0.551514095,7647,1816.40625,59520
0.210234548,2915,128,-0.938013904,-13006,128,-81,-0.005841852,0.288558637,4001,1835.9375,60160
0.099744213,1383,128,-0.992033004,-13755,128,-4336,-0.312719382,0.140709298,1951,1855.46875,60800
0.021997097,305,128,-1.035738711,-14361,128,-6159,-0.444197112,0.00353396,49,1875,61440
-0.009952785,-138,128,-1.058024294,-14670,128,124611,8.987148283,1.176736495,16316,1894.53125,62080
-0.01240492,-172,128,-1.050235158,-14562,128,123854,8.93255221,1.1680819,16196,1914.0625,62720
-0.009952785,-138,128,-1.042662387,-14457,128,-7998,-0.576828787,1.153873939,15999,1933.59375,63360
-0.02170861,-301,128,-1.051605469,-14581,128,123064,8.875576124,1.172409197,16256,1953.125,64000
-0.0230068,-319,128,-1.047278171,-14521,128,123903,8.93608617,1.144714492,15872,1972.65625,64640
-0.023800137,-330,128,-1.047061807,-14518,128,124864,9.005395055,1.181496523,16382,1992.1875,65280
-0.033392314,-463,128,-1.054850942,-14626,128,116607,8.409886767,1.14110841,15822,2011.71875,384
-0.039594774,-549,128,-1.049153334,-14547,128,-7170,-0.517112078,1.14464237,15871,2031.25,1024
-0.041902666,-581,128,-1.045691496,-14499,128,-6369,-0.459342654,1.140026586,15807,2050.78125,1664
-0.042479639,-589,128,-1.050235158,-14562,128,124903,9.008207799,1.142262357,15838,2070.3125,2304
-0.042912369,-595,128,-1.054850942,-14626,128,-6402,-0.461722667,1.176808617,16317,2089.84375,2944
-0.035700206,-495,128,-1.034152035,-14339,128,116733,8.418974092,1.18005409,16362,2109.375,3584
-0.034185652,-474,128,-1.037974481,-14392,128,-14584,-1.051821834,1.164259453,16143,2128.90625,4224
0.032238368,447,128,-0.996648788,-13819,128,122894,8.863315447,8.65E-04,12,2148.4375,4864
0.047167545,654,128,-0.998307586,-13842,128,-8143,-0.587286423,7.21E-05,1,2167.96875,5504
0.028560165,396,128,-0.990879058,-13739,128,125567,9.05609656,0.033175949,460,2187.5,6144
-0.051494843,-714,128,-1.042662387,-14457,128,-6266,-0.451914126,1.126179233,15615,2207.03125,6784
-0.065414317,-907,128,-1.039633279,-14415,128,-8192,-0.590820383,1.146373289,15895,2226.5625,7424
-0.082579265,-1145,128,-1.049513942,-14552,128,-7217,-0.520501795,1.181568644,16383,2246.09375,8064
-0.115250363,-1598,128,-1.070501336,-14843,128,116704,8.416882565,1.143560546,15856,2265.625,8704
0.953736419,13224,128,-0.529300634,-7339,128,-2545,-0.183549545,0.111283673,1543,2285.15625,9344
0.355848116,4934,128,-1.142695086,-15844,128,-509,-0.036709909,0.8723111,12095,2304.6875,9984
0.007212163,100,128,-1.080958972,-14988,128,124720,8.995009541,0.009087325,126,2324.21875,10624
-0.052143938,-723,128,-1.035522346,-14358,128,-6144,-0.443115287,1.151133317,15961,2343.75,11264
-0.0513506,-712,128,-1.018718006,-14125,128,123131,8.880408273,1.16764917,16190,2363.28125,11904
-0.042263274,-586,128,-1.005663992,-13944,128,-7744,-0.558509893,1.173491022,16271,2382.8125,12544
-0.037575369,-521,128,-1.006601573,-13957,128,-8165,-0.588873099,1.181568644,16383,2402.34375,13184
-0.02610803,-362,128,-0.987849949,-13697,128,122977,8.869301542,1.152215141,15976,2421.875,13824
0.001442433,20,128,-0.96441042,-13372,128,123900,8.935869805,1.181063793,16376,2441.40625,14464
0.038585071,535,128,-0.928638092,-12876,128,126859,9.149277705,0.009087325,126,2460.9375,15104
0.114168538,1583,128,-0.871012911,-12077,128,126841,9.147979516,0.114817633,1592,2480.46875,15744
0.176986477,2454,128,-0.832355718,-11541,128,131065,9.452621275,0.286178623,3968,2500,16384
0.252209336,3497,128,-0.792400335,-10987,128,131071,9.453054005,0.260503323,3612,2519.53125,17024
0.205763007,2853,128,-0.819013216,-11356,128,-128,-0.009231568,0.221485522,3071,2539.0625,17664
0.0283438,393,128,-0.929719917,-12891,128,126972,9.157427449,0.012693407,176,2558.59375,18304
-0.047888762,-664,128,-0.97147834,-13470,128,-7181,-0.517905416,1.116947665,15487,2578.125,18944
-0.081064711,-1124,128,-0.982512949,-13623,128,125239,9.032440666,1.181496523,16382,2597.65625,19584
-0.064260371,-891,128,-0.96397769,-13366,128,123896,8.935581319,1.172409197,16256,2617.1875,20224
-0.063971885,-887,128,-0.964554663,-13374,128,122882,8.862449987,1.144714492,15872,2636.71875,20864
-0.053442127,-741,128,-0.940610282,-13042,128,-8157,-0.588296126,1.161951561,16111,2656.25,21504
-0.041758423,-579,128,-0.931234471,-12912,128,-4130,-0.297862327,1.176808617,16317,2675.78125,22144
-0.042551761,-590,128,-0.932172052,-12925,128,123135,8.880696759,1.144714492,15872,2695.3125,22784
-0.04204691,-583,128,-0.925536862,-12833,128,-6689,-0.482421575,1.181568644,16383,2714.84375,23424
-0.055966384,-776,128,-0.942052715,-13062,128,-4867,-0.351015967,1.117091908,15489,2734.375,24064
-0.059644587,-827,128,-0.936859958,-12990,128,-4624,-0.333490411,1.144786614,15873,2753.90625,24704
-0.064260371,-891,128,-0.941259377,-13051,128,126015,9.08840705,1.18048682,16368,2773.4375,25344
-0.040460234,-561,128,-0.920848956,-12768,128,122895,8.863387568,1.181496523,16382,2792.96875,25984
-0.061303384,-850,128,-0.935561768,-12972,128,-6148,-0.443403774,1.179837725,16359,2812.5,26624
-0.047528153,-659,128,-0.924238673,-12815,128,-6625,-0.477805791,1.16368248,16135,2832.03125,27264
-0.009592177,-133,128,-0.919550767,-12750,128,-4194,-0.302478111,1.181135914,16377,2851.5625,27904
0.037719612,523,128,-0.883994804,-12257,128,123840,8.931542508,0.004038811,56,2871.09375,28544
0.029137138,404,128,-0.866829856,-12019,128,129420,9.333981196,0.014135839,196,2890.625,29184
-0.060582168,-840,128,-0.921930781,-12783,128,126652,9.134348528,1.144714492,15872,2910.15625,29824
-0.070534953,-978,128,-0.924527159,-12819,128,123904,8.936158292,1.109519137,15384,2929.6875,30464
-0.091017496,-1262,128,-0.930729619,-12905,128,-4109,-0.296347773,1.181280158,16379,2949.21875,31104
-0.124914661,-1732,128,-0.94450485,-13096,128,-4209,-0.303559936,1.181568644,16383,2968.75,31744
0.167754909,2326,128,-0.825936893,-11452,128,-3322,-0.239588051,0.16782703,2327,2988.28125,32384
0.514659943,7136,128,-0.934263579,-12954,128,124537,8.981811283,0.955467338,13248,3007.8125,33024
0.028488043,395,128,-0.996143937,-13812,128,-2048,-0.147705096,7.21E-05,1,3027.34375,33664
-0.052071816,-722,128,-0.915151348,-12689,128,126972,9.157427449,1.144714492,15872,3046.875,34304
-0.029930476,-415,128,-0.888610588,-12321,128,126975,9.157643814,1.144714492,15872,3066.40625,34944
-0.021059516,-292,128,-0.874546871,-12126,128,127217,9.175097248,1.181352279,16380,3085.9375,35584
-0.01817465,-252,128,-0.870003208,-12063,128,127457,9.192406439,1.163177629,16128,3105.46875,36224
0.001875162,26,128,-0.852910382,-11826,128,130303,9.397664594,0.001875162,26,3125,36864
0.043705707,606,128,-0.823556879,-11419,128,127823,9.218802955,0.036926274,512,3144.53125,37504
0.069885858,969,128,-0.806608296,-11184,128,-993,-0.071616777,0.070174345,973,3164.0625,38144
0.142295974,1973,128,-0.756195278,-10485,128,130957,9.44483214,0.137896554,1912,3183.59375,38784
0.230572847,3197,128,-0.699724042,-9702,128,-118,-0.008510352,0.286106501,3967,3203.125,39424
0.297934448,4131,128,-0.664961417,-9220,128,131037,9.45060187,0.294833218,4088,3222.65625,40064
0.294184124,4079,128,-0.674192986,-9348,128,-2042,-0.147272366,0.294184124,4079,3242.1875,40704
0.186001681,2579,128,-0.751291007,-10417,128,-241,-0.017381313,0.258700282,3587,3261.71875,41344
0.049259072,683,128,-0.833653907,-11559,128,-4,-2.88E-04,0.078540454,1089,3281.25,41984
0.013630988,189,128,-0.856732828,-11879,128,-832,-0.060005195,0.013630988,189,3300.78125,42624
