Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,RAW,CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL
mV,No Units,No Units,No Units,mV,No Units,mV,No Units,mV,No Units,No Units,mSecs
4.70824417,65282,128,31578,2.277456793,128,1.153729696,15997,1.153801817,15998,1920,58.59375
4.98454213,69113,128,31658,2.283226524,128,2.355131788,32655,0.281418595,3902,2560,78.125
5.043249135,69927,128,32250,2.325922528,128,2.348280233,32560,0.290866529,4033,3200,97.65625
5.078660855,70418,128,32466,2.3415008,128,0.574016043,7959,0.516390862,7160,3840,117.1875
5.153234619,71452,128,30988,2.234905033,128,3.546869582,49179,0.53312308,7392,4480,136.71875
5.201772475,72125,128,10759,0.775956604,128,1.472435173,20416,0.589594315,8175,5120,156.25
5.27194682,73098,128,10441,0.753021926,128,0.724101153,10040,0.588368248,8158,5760,175.78125
5.306276716,73574,128,10556,0.761315913,128,1.034007792,14337,0.581805179,8067,6400,195.3125
5.264590414,72996,128,9674,0.697704637,128,0.720927801,9996,0.558582015,7745,7040,214.84375
5.105490101,70790,128,7904,0.570049354,128,0.620750859,8607,0.588512491,8160,7680,234.375
5.040292149,69886,128,7461,0.538099472,128,0.244708686,3393,0.499009549,6919,8320,253.90625
4.966223236,68859,128,6903,0.497855603,128,0.267643364,3711,0.235981969,3272,8960,273.4375
4.939466112,68488,128,6581,0.474632439,128,0.007428528,103,0.227255252,3151,9600,292.96875
4.93586003,68438,128,6619,0.477373061,128,0.016083123,223,0.279110703,3870,10240,312.5
4.950717086,68644,128,6709,0.483864007,128,6.49E-04,9,0.286178623,3968,10880,332.03125
4.969035979,68898,128,6746,0.486532508,128,0.055317289,767,0.239876537,3326,11520,351.5625
4.977329967,69013,128,6836,0.493023454,128,0.016155245,224,0.248603254,3447,12160,371.09375
5.003293753,69373,128,7061,0.509250821,128,0.055605776,771,0.29533807,4095,12800,390.625
4.972714182,68949,128,6706,0.483647643,128,0.034618382,480,0.253868133,3520,13440,410.15625
4.989518522,69182,128,7038,0.507592023,128,0.072698602,1008,0.295121705,4092,14080,429.6875
4.978195426,69025,128,6583,0.474776682,128,0.027766827,385,0.246944457,3424,14720,449.21875
4.959660168,68768,128,6676,0.481483994,128,0.008077622,112,0.257906945,3576,15360,468.75
4.943649166,68546,128,6534,0.471242722,128,0.147777217,2049,0.260070593,3606,16000,488.28125
4.946389788,68584,128,6449,0.465112384,128,0.013558866,188,0.231510428,3210,16640,507.8125
4.950861329,68646,128,6319,0.455736572,128,0.007212163,100,0.239876537,3326,17280,527.34375
4.960381384,68778,128,6573,0.474055466,128,0.008798839,122,0.286827718,3977,17920,546.875
4.954683775,68699,128,6502,0.46893483,128,0.001081824,15,0.26302758,3647,18560,566.40625
4.948120707,68608,128,6390,0.460857208,128,0.016515853,229,0.293030178,4063,19200,585.9375
4.939970963,68495,128,6371,0.459486897,128,0.033392314,463,0.294400489,4082,19840,605.46875
4.947327369,68597,128,6401,0.461650546,128,0,0,0.29533807,4095,20480,625
4.945524328,68572,128,6538,0.471531209,128,0.018679502,259,0.293318664,4067,21120,644.53125
4.944586747,68559,128,6447,0.464968141,128,5.05E-04,7,0.258483918,3584,21760,664.0625
5.021973255,69632,128,6848,0.493888914,128,0.00223577,31,0.29533807,4095,22400,683.59375
5.04699946,69979,128,7262,0.523747268,128,0.008510352,118,0.590604018,8189,23040,703.125
5.053851015,70074,128,7646,0.551441974,128,0.10847093,1504,0.576900909,7999,23680,722.65625
4.995793104,69269,128,7283,0.525261822,128,0.135660784,1881,0.29447261,4083,24320,742.1875
4.933840625,68410,128,6184,0.446000152,128,0.00223577,31,0.224081901,3107,24960,761.71875
4.934778206,68423,128,6246,0.450471693,128,0.004110933,57,0.291227137,4038,25600,781.25
4.931821219,68382,128,6382,0.460280235,128,0.017164948,238,0.288342272,3998,26240,800.78125
5.039354567,69873,128,4972,0.358588738,128,0.01637161,227,0.283798609,3935,26880,820.3125
5.403785158,74926,128,11241,0.810719229,128,0.284087096,3939,0.146406906,2030,27520,839.84375
5.177467487,71788,128,8033,0.579353044,128,1.144786614,15873,0.958857055,13295,28160,859.375
4.95446741,68696,128,7018,0.506149591,128,0.14568569,2020,0.518915119,7195,28800,878.90625
5.025002363,69674,128,6683,0.481988845,128,0.016732218,232,0.29533807,4095,29440,898.4375
5.028536323,69723,128,6724,0.484945832,128,0.004543663,63,0.295193827,4093,30080,917.96875
5.022261741,69636,128,6549,0.472324547,128,0.036277179,503,0.582021544,8070,30720,937.5
5.045989757,69965,128,6805,0.490787684,128,8.65E-04,12,0,0,31360,957.03125
5.057096488,70119,128,6930,0.499802887,128,0.014496447,201,0.010385515,144,32000,976.5625
5.078516612,70416,128,7134,0.5145157,128,0.01817465,252,0.004327298,60,32640,996.09375
5.13022782,71133,128,7503,0.541128581,128,0.235332875,3263,0.008654595,120,33280,1015.625
5.201483989,72121,128,8449,0.609355642,128,0.278317365,3859,0.009159447,127,33920,1035.15625
5.239564209,72649,128,8857,0.638781266,128,0.612745358,8496,0,0,34560,1054.6875
5.304834283,73554,128,9493,0.684650622,128,0.88738452,12304,0.004760027,66,35200,1074.21875
5.344861787,74109,128,9974,0.719341125,128,0.888177858,12315,8.65E-04,12,35840,1093.75
5.330653826,73912,128,9577,0.690708839,128,0.726986018,10080,1.146445411,15896,36480,1113.28125
5.19621911,72048,128,7747,0.558726258,128,0.893442737,12388,0.516967835,7168,37120,1132.8125
5.088253032,70551,128,6668,0.480907021,128,0.276947054,3840,0.55793292,7736,37760,1152.34375
5.031132702,69759,128,6489,0.467997249,128,7.21E-05,1,0.588873099,8165,38400,1171.875
4.9894464,69181,128,6052,0.436480097,128,0.001370311,19,0.276874933,3839,39040,1191.40625
5.00004828,69328,128,6123,0.441600733,128,0.016083123,223,0.286394988,3971,39680,1210.9375
5.003654361,69378,128,6331,0.456602032,128,0,0,0.001298189,18,40320,1230.46875
5.027670864,69711,128,6305,0.454726869,128,0.017309191,240,2.16E-04,3,40960,1250
5.053129799,70064,128,6574,0.474127588,128,0.018391015,255,0.001153946,16,41600,1269.53125
5.032719378,69781,128,6423,0.463237222,128,0.017237069,239,0.002019406,28,42240,1289.0625
5.042239433,69913,128,6466,0.466338452,128,0.032887463,456,0.589666437,8176,42880,1308.59375
5.029834512,69741,128,6568,0.473694858,128,0.26346031,3653,0,0,43520,1328.125
5.006394983,69416,128,6180,0.445711666,128,0.021997097,305,0.581516693,8063,44160,1347.65625
5.025651458,69683,128,6251,0.450832301,128,0.00223577,31,0.004038811,56,44800,1367.1875
5.019232633,69594,128,6331,0.456602032,128,0.013775231,191,0.001875162,26,45440,1386.71875
5.006394983,69416,128,6238,0.44989472,128,0.553894109,7680,0.022790435,316,46080,1406.25
5.029906634,69742,128,6175,0.445351058,128,0,0,0.003317595,46,46720,1425.78125
5.003510118,69376,128,6194,0.446721369,128,0.14878692,2063,0.003245473,45,47360,1445.3125
4.993629455,69239,128,5906,0.42595034,128,5.05E-04,7,0.29490534,4089,48000,1464.84375
4.999759793,69324,128,5965,0.430205516,128,0.011539461,160,5.05E-04,7,48640,1484.375
5.001130104,69343,128,6242,0.450183207,128,0.143089311,1984,0.005120636,71,49280,1503.90625
5.010866524,69478,128,6173,0.445206814,128,0.004615784,64,7.21E-05,1,49920,1523.4375
5.067265638,70260,128,6448,0.465040262,128,0.582670639,8079,0.001226068,17,50560,1542.96875
5.134050266,71186,128,7116,0.51321751,128,0.216941859,3008,0.001730919,24,51200,1562.5
5.10765375,70820,128,7115,0.513145389,128,0.056471235,783,0.035483841,492,51840,1582.03125
5.096042168,70659,128,7296,0.526199404,128,0.290794407,4032,0.581660936,8065,52480,1601.5625
5.001923442,69354,128,5999,0.432657651,128,0.002307892,32,0.295121705,4092,53120,1621.09375
4.997956753,69299,128,6150,0.443548017,128,0.138329284,1918,0.001730919,24,53760,1640.625
4.999327063,69318,128,6037,0.435398273,128,0.129458324,1795,2.88E-04,4,54400,1660.15625
5.081112991,70452,128,4737,0.341640156,128,0.138473527,1920,0.293318664,4067,55040,1679.6875
5.407246996,74974,128,10300,0.742852776,128,1.112259759,15422,0.014857056,206,55680,1699.21875
5.396572995,74826,128,8166,0.588945221,128,0.886302696,12289,1.111250056,15408,56320,1718.75
5.045340663,69956,128,6425,0.463381465,128,0.443115287,6144,0.577261517,8004,56960,1738.28125
5.074622044,70362,128,6446,0.464896019,128,0.184054397,2552,0.572573611,7939,57600,1757.8125
5.070078381,70299,128,6299,0.45429414,128,0.148209947,2055,0.572357246,7936,58240,1777.34375
5.073972949,70353,128,6469,0.466554817,128,0.222062495,3079,0.590604018,8189,58880,1796.875
5.097412479,70678,128,6741,0.4861719,128,0.179943464,2495,0.010601879,147,59520,1816.40625
5.145373362,71343,128,7133,0.514443578,128,0.160398502,2224,0,0,60160,1835.9375
5.134915726,71198,128,7077,0.510404767,128,0.162129421,2248,0.001947284,27,60800,1855.46875
5.163403769,71593,128,7434,0.536152188,128,0.518049659,7183,0.035267476,489,61440,1875
