Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,CAL,RAW,RAW,CAL,RAW,RAW,CAL,CAL,RAW
mV,No Units,No Units,mV,No Units,No Units,mV,No Units,No Units,mV,mSecs,No Units
-17.11763586,-237344,128,-16.18200197,-224371,128,-15.34517471,-212768,2531,0.182539842,8058.59375,1920
-15.6405849,-216864,128,-15.59233553,-216195,128,-14.76704774,-204752,60,0.004327298,8078.125,2560
-16.95132338,-235038,128,-16.01215553,-222016,128,-14.25332537,-197629,16259,1.172625562,8097.65625,3200
-17.01702619,-235949,128,-15.9813596,-221589,128,-8.870455488,-122993,15375,1.108870042,8117.1875,3840
-17.01558376,-235929,128,-15.95496308,-221223,128,-8.85812269,-122822,14316,1.032493238,8136.71875,4480
-16.99524546,-235647,128,-15.91392588,-220654,128,-9.416488339,-130564,15873,1.144786614,8156.25,5120
-16.96120405,-235175,128,-15.88976513,-220319,128,-9.452260667,-131060,15872,1.144714492,8175.78125,5760
-16.93156206,-234764,128,-15.86661409,-219998,128,-8.566823431,-118783,15855,1.143488424,8195.3125,6400
-16.9156953,-234544,128,-15.84000121,-219629,128,-7.079531202,-98161,16272,1.173563143,8214.84375,7040
-16.95197248,-235047,128,-15.79781005,-219044,128,-6.942716472,-96264,16142,1.164187332,8234.375,7680
-16.91793107,-234575,128,-15.77574084,-218738,128,-6.498807847,-90109,16159,1.165413399,8253.90625,8320
-16.81508563,-233149,128,-15.69200762,-217577,128,-5.97289693,-82817,16182,1.167072197,8273.4375,8960
-16.72421238,-231889,128,-15.65666803,-217087,128,-5.910583843,-81953,13199,0.951933378,8292.96875,9600
-16.65966352,-230994,128,-15.62594421,-216661,128,-4.874196038,-67583,16319,1.17695286,8312.5,10240
-16.73156878,-231991,128,-15.66726991,-217234,128,-4.726635185,-65537,15423,1.112331881,8332.03125,10880
-16.91973411,-234600,128,-15.76456198,-218583,128,-5.132824198,-71169,12406,0.894740927,8351.5625,11520
-17.08229626,-236854,128,-15.84476123,-219695,128,-5.30382458,-73540,12518,0.902818549,8371.09375,12160
-17.11035158,-237243,128,-15.84288607,-219669,128,-5.171697756,-71708,12415,0.895390021,8390.625,12800
-17.1284541,-237494,128,-15.85889707,-219891,128,-5.206748868,-72194,12429,0.896399724,8410.15625,13440
-17.10595216,-237182,128,-15.8466364,-219721,128,-5.241295128,-72673,12351,0.890774237,8429.6875,14080
-17.1027788,-237138,128,-15.84252546,-219664,128,-5.236679344,-72609,12350,0.890702115,8449.21875,14720
-17.10047091,-237106,128,-15.83545754,-219566,128,-5.289688741,-73344,12640,0.911617388,8468.75,15360
-17.09729756,-237062,128,-15.83466421,-219555,128,-5.308224,-73601,12288,0.886230574,8488.28125,16000
-17.0974418,-237064,128,-15.84093879,-219642,128,-5.917435398,-82048,12392,0.893731224,8507.8125,16640
-17.10523094,-237172,128,-15.82319687,-219396,128,-5.309305824,-73616,12292,0.886519061,8527.34375,17280
-17.09325875,-237006,128,-15.82074473,-219362,128,-5.945057982,-82431,12784,0.922002902,8546.875,17920
-17.15052332,-237800,128,-15.84281395,-219668,128,-5.935970656,-82305,12303,0.887312399,8566.40625,18560
-17.15787973,-237902,128,-15.82305262,-219394,128,-5.911665667,-81968,8128,0.586204599,8585.9375,19200
-17.21586552,-238706,128,-15.84504972,-219699,128,-5.908275951,-81921,7175,0.517472686,8605.46875,19840
-17.23533836,-238976,128,-15.82146595,-219372,128,-5.908852924,-81929,8128,0.586204599,8625,20480
-17.28257803,-239631,128,-15.82341323,-219399,128,-6.083892117,-84356,7368,0.531392161,8644.53125,21120
-17.28207317,-239624,128,-15.82766841,-219458,128,-6.076247224,-84250,7199,0.519203606,8664.0625,21760
