Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW,RAW,CAL,CAL,RAW
No Units,mV,No Units,mV,No Units,No Units,mV,No Units,No Units,mV,mSecs,No Units
121584,8.768836113,128,1.788544272,24799,128,1.766979905,24500,6167,0.444774085,58.59375,1920
122859,8.86079119,128,1.806863166,25053,128,1.04367209,14471,8190,0.59067614,78.125,2560
124880,9.006549002,128,1.8836727,26118,128,1.108437313,15369,16272,1.173563143,97.65625,3200
125027,9.017150881,128,1.892543661,26241,128,1.884321795,26127,14585,1.051893956,117.1875,3840
121946,8.794944143,128,1.799939489,24957,128,0.036421423,505,14385,1.03746963,136.71875,4480
120386,8.682434402,128,1.716206278,23796,128,7.21E-05,1,6256,0.45119291,156.25,5120
119416,8.612476422,128,0.964194055,13369,128,0.030002598,416,6876,0.495908319,175.78125,5760
118915,8.576343486,128,-0.033103828,-459,128,0.073708305,1022,6247,0.450543815,195.3125,6400
118649,8.557159133,128,-0.072482237,-1005,128,18.89218854,261949,4094,0.295265948,214.84375,7040
118423,8.540859645,128,-0.098590267,-1367,128,18.83124576,261104,3984,0.287332569,234.375,7680
118720,8.562279768,128,-0.101042402,-1401,128,18.76309082,260159,4048,0.291948353,253.90625,8320
118553,8.550235456,128,-0.096570861,-1339,128,18.89153944,261940,4060,0.292813813,273.4375,8960
118604,8.553913659,128,-0.094551455,-1311,128,18.76590356,260198,3968,0.286178623,292.96875,9600
118379,8.537686293,128,-0.111355795,-1544,128,-0.110850943,-1537,3711,0.267643364,312.5,10240
118712,8.561702795,128,-0.085752617,-1189,128,18.81444142,260871,3776,0.27233127,332.03125,10880
118616,8.554779119,128,-0.112726106,-1563,128,18.7677066,260223,4086,0.294688975,351.5625,11520
118608,8.554202146,128,-0.077242264,-1071,128,18.79547343,260608,4090,0.294977462,371.09375,12160
118557,8.550523943,128,-0.119000687,-1650,128,-0.003606081,-50,4095,0.29533807,390.625,12800
118543,8.54951424,128,-0.088276874,-1224,128,18.88310121,261823,3976,0.286755596,410.15625,13440
118630,8.555788822,128,-0.101042402,-1401,128,-0.074934372,-1039,4031,0.290722286,429.6875,14080
118341,8.534945671,128,-0.129891053,-1801,128,18.86867689,261623,4080,0.294256245,449.21875,14720
118432,8.541508739,128,-0.110057606,-1526,128,18.8704078,261647,3896,0.280985866,468.75,15360
118601,8.553697294,128,-0.086978684,-1206,128,18.83239971,261120,4092,0.295121705,488.28125,16000
118406,8.539633577,128,-0.107244862,-1487,128,18.7700145,260255,4080,0.294256245,507.8125,16640
118353,8.535811131,128,-0.123832837,-1717,128,18.83643852,261176,3844,0.277235541,527.34375,17280
118114,8.518574061,128,-0.13681473,-1897,128,18.90279042,262096,3710,0.267571243,546.875,17920
118352,8.535739009,128,-0.114384903,-1586,128,18.76309082,260159,3574,0.257762701,566.40625,18560
118260,8.529103819,128,-0.12664558,-1756,128,18.762009,260144,3520,0.253868133,585.9375,19200
118647,8.557014889,128,-0.099455726,-1379,128,18.80751774,260775,3588,0.258772404,605.46875,19840
119068,8.587378095,128,-0.102556956,-1422,128,18.87754785,261746,8140,0.587070058,625,20480
119327,8.606057597,128,-0.071544656,-992,128,-0.00706792,-98,7999,0.576900909,644.53125,21120
118569,8.551389402,128,-0.097147834,-1347,128,18.87156175,261663,7424,0.535430972,664.0625,21760
117774,8.494052707,128,-0.128160134,-1777,128,-0.111788525,-1550,3905,0.28163496,683.59375,22400
117773,8.493980586,128,-0.135155932,-1874,128,-5.77E-04,-8,4081,0.294328367,703.125,23040
117548,8.477753219,128,-0.159533043,-2212,128,18.89882373,262041,4088,0.294833218,722.65625,23680
117806,8.4963606,128,-0.134434716,-1864,128,18.76886055,260239,3824,0.275793108,742.1875,24320
119153,8.593508434,128,-0.032815341,-455,128,18.83232758,261119,16636,1.199815416,761.71875,24960
130348,9.400910068,128,-0.018535259,-257,128,0.01817465,252,16158,1.165341278,781.25,25600
118871,8.573170134,128,-0.238938956,-3313,128,-0.294328367,-4081,7703,0.555552906,800.78125,26240
117968,8.508044303,128,-0.137103216,-1901,128,-2.16E-04,-3,1983,0.14301719,820.3125,26880
118147,8.520954075,128,-0.135228054,-1875,128,-0.141358392,-1960,4095,0.29533807,839.84375,27520
118508,8.546989983,128,-0.118351593,-1641,128,-0.114168538,-1583,4063,0.293030178,859.375,28160
118398,8.539056604,128,-0.120082512,-1665,128,-0.016155245,-224,3973,0.286539231,878.90625,28800
118711,8.561630674,128,-0.109336389,-1516,128,-0.147488731,-2045,4095,0.29533807,898.4375,29440
