Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,RAW
No Units,mV,No Units,mV,No Units,mV,No Units,mV,No Units,mSecs,No Units,No Units
17344,1.250877529,49381,3.561438151,788,0.056831843,128,7.045129185,97684,58.59375,1920,128
1871,0.134939567,48739,3.515136065,31228,2.252214223,128,6.890861021,95545,78.125,2560,128
1008,0.072698602,47824,3.449144775,24704,1.781692717,128,6.716903653,93133,97.65625,3200,128
15647,1.128487125,47259,3.408396054,24583,1.772966,128,6.648027497,92178,117.1875,3840,128
14112,1.017780425,46871,3.380412862,24576,1.772461149,128,6.597542357,91478,136.71875,4480,128
13949,1.0060246,46662,3.365339442,24666,1.778952095,128,6.551456636,90839,156.25,5120,128
15903,1.146950262,46533,3.356035752,24576,1.772461149,128,6.555856056,90900,175.78125,5760,128
15872,1.144714492,46648,3.364329739,24607,1.774696919,128,6.543811744,90733,195.3125,6400,128
15600,1.125097409,46726,3.369955226,24590,1.773470852,128,6.543306892,90726,214.84375,7040,128
15872,1.144714492,46718,3.369378253,24640,1.777076933,128,6.536238973,90628,234.375,7680,128
16159,1.165413399,46880,3.381061957,24604,1.774480554,128,6.551312393,90837,253.90625,8320,128
15872,1.144714492,46837,3.377960727,24583,1.772966,128,6.542225068,90711,273.4375,8960,128
15969,1.15171029,46587,3.35993032,16382,1.181496523,128,6.528377715,90519,292.96875,9600,128
16369,1.180558941,46579,3.359353347,24703,1.781620596,128,6.50558728,90203,312.5,10240,128
16248,1.171832224,46562,3.358127279,24577,1.77253327,128,6.506524862,90216,332.03125,10880,128
16369,1.180558941,46671,3.365988537,16634,1.199671173,128,6.492677509,90024,351.5625,11520,128
15544,1.121058598,46543,3.356756968,16423,1.184453509,128,6.479190764,89837,371.09375,12160,128
16125,1.162961264,46671,3.365988537,16399,1.18272259,128,6.478397426,89826,390.625,12800,128
16383,1.181568644,46584,3.359713955,16480,1.188564442,128,6.459285195,89561,410.15625,13440,128
16352,1.179332874,46630,3.36303155,16391,1.182145617,128,6.457265789,89533,429.6875,14080,128
16259,1.172625562,46494,3.353223008,16394,1.182361982,128,6.454453046,89494,449.21875,14720,128
22,0.001586676,46554,3.357550306,8191,0.590748261,128,6.452145154,89462,468.75,15360,128
16128,1.163177629,46716,3.36923401,16583,1.19599297,128,6.449043924,89419,488.28125,16000,128
16368,1.18048682,46678,3.366493388,16432,1.185102604,128,6.437071733,89253,507.8125,16640,128
963,0.069453129,46524,3.355386657,16536,1.192603253,128,6.424883178,89084,527.34375,17280,128
16383,1.181568644,46535,3.356179995,16391,1.182145617,128,6.433105044,89198,546.875,17920,128
16320,1.177024982,46466,3.351203603,16416,1.183948658,128,6.415651609,88956,566.40625,18560,128
16131,1.163393994,46580,3.359425468,16639,1.200031781,128,6.418680718,88998,585.9375,19200,128
16124,1.162889142,46721,3.369594618,16509,1.190655969,128,6.432455949,89189,605.46875,19840,128
227,0.01637161,46723,3.369738861,16639,1.200031781,128,6.420195272,89019,625,20480,128
9,6.49E-04,46438,3.349184197,16391,1.182145617,128,6.398342418,88716,644.53125,21120,128
16320,1.177024982,46641,3.363824888,16416,1.183948658,128,6.414209177,88936,664.0625,21760,128
16379,1.181280158,46483,3.35242967,16509,1.190655969,128,6.399640608,88734,683.59375,22400,128
124,0.008943082,46734,3.370532199,16387,1.181857131,128,6.403463054,88787,703.125,23040,128
15361,1.10786034,46628,3.362887307,16577,1.19556024,128,6.388894485,88585,722.65625,23680,128
15998,1.153801817,46711,3.368873402,16414,1.183804415,128,6.423368624,89063,742.1875,24320,128
95,0.006851555,46786,3.374282524,16521,1.191521429,128,6.446014815,89377,761.71875,24960,128
2,1.44E-04,47227,3.406088162,16834,1.214095499,128,6.461448844,89591,781.25,25600,128
3,2.16E-04,47195,3.40378027,16392,1.182217739,128,6.414209177,88936,800.78125,26240,128
63,0.004543663,46681,3.366709753,8128,0.586204599,128,6.342303913,87939,820.3125,26880,128
15943,1.149835128,46494,3.353223008,16447,1.186184428,128,6.312373437,87524,839.84375,27520,128
16252,1.172120711,46490,3.352934522,16480,1.188564442,128,6.31518618,87563,859.375,28160,128
15423,1.112331881,46554,3.357550306,16510,1.190728091,128,6.30011276,87354,878.90625,28800,128
16128,1.163177629,47099,3.396856594,16510,1.190728091,128,6.368556186,88303,898.4375,29440,128
8110,0.584906409,53064,3.827062109,24591,1.773542973,128,6.790684079,94156,917.96875,30080,128
18176,1.310882725,51009,3.678852162,15233,1.098628771,128,7.007409573,97161,937.5,30720,128
1599,0.115322484,45541,3.284491096,7951,0.57343907,128,6.308550991,87471,957.03125,31360,128
483,0.034834747,46029,3.319686451,16476,1.188275956,128,6.285688434,87154,976.5625,32000,128
16351,1.179260752,46119,3.326177398,16387,1.181857131,128,6.284822975,87142,996.09375,32640,128
13375,0.964626785,46027,3.319542208,16395,1.182434104,128,6.273716244,86988,1015.625,33280,128
