Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW
No Units,mV,mV,No Units,mV,No Units,No Units,mV,No Units,mSecs,No Units,No Units
-10047,-0.724606004,6.400794554,88750,0.001803041,25,128,-16.37658612,-227069,58.59375,1920,128
-1276,-0.092027198,7.212667729,100007,0.455880815,6321,128,-15.46258872,-214396,78.125,2560,128
-3264,-0.235404996,6.117789283,84826,0.13061227,1811,128,-15.75742194,-218484,97.65625,3200,128
18207,1.313118495,6.122332945,84889,0.366954847,5088,128,-16.17096736,-224218,117.1875,3840,128
-60304,-4.349222702,6.322831073,87669,1.038479333,14399,128,-15.9006555,-220470,136.71875,4480,128
-59647,-4.301838792,6.340140264,87909,1.10786034,15361,128,-15.85262249,-219804,156.25,5120,128
-65526,-4.725841847,6.360190077,88187,1.145796316,15887,128,-15.8246393,-219416,175.78125,5760,128
-46855,-3.379258916,6.360045834,88185,1.172481319,16257,128,-15.79600701,-219019,195.3125,6400,128
-41345,-2.981868742,6.383052633,88504,1.047855144,14529,128,-15.7802845,-218801,214.84375,7040,128
-34752,-2.506370843,6.390769647,88611,1.036315684,14369,128,-15.75900862,-218506,234.375,7680,128
98288,7.088690649,6.159908314,85410,1.038407211,14398,128,-15.74206003,-218271,253.90625,8320,128
65031,4.690141641,4.709758724,65303,1.126539841,15620,128,-15.69712826,-217648,273.4375,8960,128
-8,-5.77E-04,4.717403617,65409,1.173491022,16271,128,-15.65616317,-217080,292.96875,9600,128
-32520,-2.345395368,4.744016498,65778,1.037613873,14387,128,-15.61736174,-216542,312.5,10240,128
-32257,-2.326427379,4.741564362,65744,0.95553946,13249,128,-15.60163922,-216324,332.03125,10880,128
114690,8.271629604,4.703412021,65215,0.952870959,13212,128,-15.63185819,-216743,351.5625,11520,128
64382,4.643334704,4.61261089,63956,1.16058125,16092,128,-15.71321138,-217871,371.09375,12160,128
63559,4.583978603,4.575973103,63448,1.18048682,16368,128,-15.74566612,-218321,390.625,12800,128
-388,-0.027983192,4.548206275,63063,1.180991671,16375,128,-15.76275894,-218558,410.15625,13440,128
65410,4.717475738,4.562702723,63264,1.050090915,14560,128,-15.76052317,-218527,429.6875,14080,128
-770,-0.055533654,4.555346317,63162,1.045691496,14499,128,-15.75424859,-218440,449.21875,14720,128
65410,4.717475738,4.561476655,63247,1.034224157,14340,128,-15.75085887,-218393,468.75,15360,128
263,0.018967988,4.563784547,63279,1.03393567,14336,128,-15.74299762,-218284,488.28125,16000,128
65283,4.708316291,4.577992508,63476,1.052398807,14592,128,-15.72777995,-218073,507.8125,16640,128
1792,0.129241959,4.568183967,63340,1.03393567,14336,128,-15.74674794,-218336,527.34375,17280,128
65327,4.711489643,4.576261589,63452,1.0343684,14342,128,-15.74501702,-218312,546.875,17920,128
2047,0.147632974,4.561332412,63245,1.040859346,14432,128,-15.75215706,-218411,566.40625,18560,128
1551,0.111860646,4.552605695,63124,1.047566658,14525,128,-15.75590739,-218463,585.9375,19200,128
1987,0.143305676,4.55635602,63176,1.048864847,14543,128,-15.75590739,-218463,605.46875,19840,128
-19,-0.001370311,4.561332412,63245,1.036027197,14365,128,-15.75446495,-218443,625,20480,128
124,0.008943082,4.551379627,63107,1.034945373,14350,128,-15.75922498,-218509,644.53125,21120,128
1022,0.073708305,4.559385128,63218,1.040787225,14431,128,-15.75648436,-218471,664.0625,21760,128
1536,0.110778822,4.558303304,63203,1.035161738,14353,128,-15.74869522,-218363,683.59375,22400,128
31,0.00223577,4.563207574,63271,1.036171441,14367,128,-15.75302252,-218423,703.125,23040,128
62,0.004471541,4.558808155,63210,1.061774619,14722,128,-15.74970493,-218377,722.65625,23680,128
2047,0.147632974,4.548999613,63074,1.108004583,15363,128,-15.72150537,-217986,742.1875,24320,128
1935,0.139555352,4.578857968,63488,1.144714492,15872,128,-15.68263181,-217447,761.71875,24960,128
6204,0.447442585,4.617010309,64017,1.172409197,16256,128,-15.63784428,-216826,781.25,25600,128
3192,0.230212239,4.605038119,63851,1.172337076,16255,128,-15.68472334,-217476,800.78125,26240,128
1968,0.141935365,4.551668114,63111,1.047855144,14529,128,-15.75244555,-218415,820.3125,26880,128
126,0.009087325,4.55549056,63164,1.05030728,14563,128,-15.75763831,-218487,839.84375,27520,128
1984,0.143089311,4.553326911,63134,1.070934066,14849,128,-15.76232621,-218552,859.375,28160,128
520,0.037503247,4.503202379,62439,1.052326685,14591,128,-15.80559919,-219152,878.90625,28800,128
8179,0.589882802,5.208984638,72225,0,0,128,-15.26331666,-211633,898.4375,29440,128
14368,1.036243562,5.378758952,74579,1.177024982,16320,128,-14.80512796,-205280,917.96875,30080,128
126,0.009087325,4.198632741,58216,1.043022995,14462,128,-15.79535792,-219010,937.5,30720,128
56,0.004038811,4.517266097,62634,1.180631063,16370,128,-15.7956464,-219014,957.03125,31360,128
65408,4.717331495,4.548711127,63070,1.099566352,15246,128,-15.74898371,-218367,976.5625,32000,128
2015,0.145325082,4.588233779,63618,1.10346092,15300,128,-15.72301992,-218007,996.09375,32640,128
-997,-0.071905264,4.597465348,63746,1.163249751,16129,128,-15.71321138,-217871,1015.625,33280,128
2048,0.147705096,4.608499957,63899,1.15877821,16067,128,-15.7176108,-217932,1035.15625,33920,128
-530,-0.038224463,4.620327904,64063,1.16368248,16135,128,-15.70087858,-217700,1054.6875,34560,128
2674,0.192853235,4.641964393,64363,1.16721644,16184,128,-15.68948337,-217542,1074.21875,35200,128
65520,4.725409117,4.674491247,64814,1.145868438,15888,128,-15.66027411,-217137,1093.75,35840,128
4045,0.291731988,4.700959885,65181,1.109519137,15384,128,-15.62017448,-216581,1113.28125,36480,128
0,0,4.733126132,65627,1.107211245,15352,128,-15.57264633,-215922,1132.8125,37120,128
252,0.01817465,4.766590567,66091,1.181568644,16383,128,-15.53261882,-215367,1152.34375,37760,128
207,0.014929177,4.710263575,65310,1.163393994,16131,128,-15.54906256,-215595,1171.875,38400,128
0,0,4.668000301,64724,1.107788218,15360,128,-15.60337014,-216348,1191.40625,39040,128
783,0.056471235,4.597609591,63748,1.165413399,16159,128,-15.67166932,-217295,1210.9375,39680,128
112,0.008077622,4.570708224,63375,1.149546641,15939,128,-15.70152768,-217709,1230.46875,40320,128
12,8.65E-04,4.581814954,63529,1.144786614,15873,128,-15.68984398,-217547,1250,40960,128
2020,0.14568569,4.587584685,63609,1.179332874,16352,128,-15.69251248,-217584,1269.53125,41600,128
504,0.036349301,4.577127049,63464,1.178323171,16338,128,-15.69236823,-217582,1289.0625,42240,128
1920,0.138473527,4.586647104,63596,1.175871036,16304,128,-15.68010756,-217412,1308.59375,42880,128
3741,0.269807013,4.589892577,63641,1.170101305,16224,128,-15.66986628,-217270,1328.125,43520,128
2288,0.165014287,4.584916185,63572,1.165485521,16160,128,-15.6662602,-217220,1347.65625,44160,128
3161,0.227976469,4.596599888,63734,1.181208036,16378,128,-15.6695778,-217266,1367.1875,44800,128
2053,0.148065704,4.584988306,63573,1.177024982,16320,128,-15.66972204,-217268,1386.71875,45440,128
2063,0.14878692,4.592849564,63682,1.179693482,16357,128,-15.67289539,-217312,1406.25,46080,128
211,0.015217664,4.589459847,63635,1.181568644,16383,128,-15.66835173,-217249,1425.78125,46720,128
3326,0.239876537,4.586574982,63595,1.172841927,16262,128,-15.68522819,-217483,1445.3125,47360,128
6144,0.443115287,4.59400351,63698,1.172409197,16256,128,-15.67830451,-217387,1464.84375,48000,128
2056,0.148282069,4.587224077,63604,1.181568644,16383,128,-15.68349727,-217459,1484.375,48640,128
7399,0.533627931,4.599701118,63777,1.145724195,15886,128,-15.67174145,-217296,1503.90625,49280,128
6144,0.443115287,4.583617995,63554,1.180558941,16369,128,-15.67347237,-217320,1523.4375,49920,128
6198,0.447009855,4.599556875,63775,1.107788218,15360,128,-15.63863762,-216837,1542.96875,50560,128
7168,0.516967835,4.61174543,63944,1.164836426,16151,128,-15.6112314,-216457,1562.5,51200,128
7680,0.553894109,4.63871892,64318,1.107788218,15360,128,-15.57718999,-215985,1582.03125,51840,128
8189,0.590604018,4.64758988,64441,1.105985177,15335,128,-15.5888737,-216147,1601.5625,52480,128
7814,0.563558407,4.59270532,63680,1.165341278,16158,128,-15.67376085,-217324,1621.09375,53120,128
7809,0.563197799,4.586647104,63596,1.179549239,16355,128,-15.67902573,-217397,1640.625,53760,128
7168,0.516967835,4.59003682,63643,1.146950262,15903,128,-15.68840154,-217527,1660.15625,54400,128
8079,0.582670639,4.565587588,63304,1.181568644,16383,128,-15.71991869,-217964,1679.6875,55040,128
7175,0.517472686,4.654152948,64532,0.214561846,2975,128,-15.74739704,-218345,1699.21875,55680,128
310,0.022357705,5.592599582,77544,1.460895712,20256,128,-14.67458781,-203470,1718.75,56320,128
79,0.005697609,4.289145385,59471,1.111827029,15416,128,-15.63409396,-216774,1738.28125,56960,128
1827,0.131766216,4.52714676,62771,1.181568644,16383,128,-15.77768812,-218765,1757.8125,57600,128
6232,0.449461991,4.603595686,63831,1.177024982,16320,128,-15.67945846,-217403,1777.34375,58240,128
7041,0.507808388,4.624510959,64121,1.17471709,16288,128,-15.66835173,-217249,1796.875,58880,128
7161,0.516462984,4.644128042,64393,1.113341583,15437,128,-15.64866253,-216976,1816.40625,59520,128
8064,0.581588814,4.664177855,64671,1.18048682,16368,128,-15.63849338,-216835,1835.9375,60160,128
8185,0.590315532,4.664177855,64671,1.067327984,14799,128,-15.63870974,-216838,1855.46875,60800,128
