Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,RAW,CAL,CAL,RAW,RAW,RAW,CAL,CAL,RAW,RAW
mV,No Units,No Units,mV,mV,No Units,No Units,No Units,mV,mSecs,No Units,No Units
-0.554903812,-7694,-169623,-12.23348704,0.005697609,79,128,-145752,-10.51187164,58.59375,1920,128
-0.572645732,-7940,-167171,-12.0566448,0.290794407,4032,128,-144027,-10.38746183,78.125,2560,128
-0.182395599,-2529,-165975,-11.97038734,0.462660249,6415,128,-142994,-10.31296019,97.65625,3200,128
-0.002452135,-34,-165294,-11.92127251,0.514732065,7137,128,-142321,-10.26442233,117.1875,3840,128
-0.031949882,-443,-164312,-11.85044907,0.586493085,8132,128,-140934,-10.16438963,136.71875,4480,128
-0.036493544,-506,-163509,-11.7925354,0.59024341,8184,128,-139781,-10.08123339,156.25,5120,128
-2.362271829,-32754,-163904,-11.82102344,0.554110474,7683,128,-140367,-10.12349667,175.78125,5760,128
-0.002091527,-29,-163892,-11.82015798,0.465545114,6455,128,-141241,-10.18653097,195.3125,6400,128
-0.009231568,-128,-164238,-11.84511207,0.556129879,7711,128,-141792,-10.22626999,214.84375,7040,128
-0.036060814,-500,-164189,-11.84157811,0.586132477,8127,128,-141924,-10.23579004,234.375,7680,128
-0.03721476,-516,-164142,-11.83818839,0.59024341,8184,128,-142186,-10.25468591,253.90625,8320,128
-2.067943462,-28673,-159734,-11.52027625,1.775922987,24624,128,-130410,-9.405381609,273.4375,8960,128
-2.349217814,-32573,-163914,-11.82174466,0.88738452,12304,128,-128697,-9.281837259,292.96875,9600,128
-0.092387806,-1281,-165189,-11.91369974,0.220475819,3057,128,-144447,-10.41775291,312.5,10240,128
-0.009520055,-132,-164280,-11.84814118,0.287044083,3980,128,-142466,-10.27487997,332.03125,10880,128
-0.046157842,-640,-164706,-11.87886499,0.557572312,7731,128,-142301,-10.2629799,351.5625,11520,128
-0.003461838,-48,-164347,-11.85297332,0.580579112,8050,128,-141984,-10.24011734,371.09375,12160,128
-0.02257407,-313,-164362,-11.85405515,0.580434868,8048,128,-141821,-10.22836151,390.625,12800,128
-0.029714111,-412,-164311,-11.85037695,0.586204599,8128,128,-141992,-10.24069431,410.15625,13440,128
-0.003750325,-52,-164085,-11.83407746,0.527569714,7315,128,-141589,-10.2116293,429.6875,14080,128
