Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,RAW,CAL,CAL,RAW,RAW,CAL,RAW,RAW,CAL,RAW
mV,No Units,No Units,mV,mV,No Units,No Units,mV,No Units,No Units,mSecs,No Units
-9.420310786,-130617,-253216,-18.26235035,0.360031171,4992,128,-7.77197096,-107762,3200,6097.65625,128
-8.857762081,-122817,-252591,-18.21727433,0.588873099,8165,128,-7.746007174,-107402,3840,6117.1875,128
-9.452621275,-131065,-251976,-18.17291953,0.589738558,8177,128,-7.733818619,-107233,4480,6136.71875,128
-9.452765519,-131067,-251541,-18.14154662,0.589738558,8177,128,-7.72148582,-107062,5120,6156.25,128
-8.825740078,-122373,-251927,-18.16938557,0.558437772,7743,128,-7.729924051,-107179,5760,6175.78125,128
-9.453126127,-131072,-251634,-18.14825394,0.590387653,8186,128,-7.727616158,-107147,6400,6195.3125,128
-9.44396668,-130945,-251876,-18.16570737,0.574160287,7961,128,-7.73785743,-107289,7040,6214.84375,128
-8.419190457,-116736,-251335,-18.12668957,0.580795477,8053,128,-7.720908847,-107054,7680,6234.375,128
-8.272639307,-114704,-251410,-18.13209869,0.554975933,7695,128,-7.712831225,-106942,8320,6253.90625,128
-9.416271975,-130561,-251319,-18.12553562,0.555480785,7702,128,-7.705402697,-106839,8960,6273.4375,128
-8.854228122,-122768,-251040,-18.10541369,0.588296126,8157,128,-7.67013522,-106350,9600,6292.96875,128
-4.726490942,-65535,-251051,-18.10620703,0.917242875,12718,128,-7.649652678,-106066,10240,6312.5,128
-4.439446859,-61555,-250676,-18.07916142,0.932244174,12926,128,-7.620154932,-105657,10880,6332.03125,128
-4.431224994,-61441,-250527,-18.06841529,0.957847352,13281,128,-7.633497433,-105842,11520,6351.5625,128
-3.563241191,-49406,-250719,-18.08226265,0.888754831,12323,128,-7.673452815,-106396,12160,6371.09375,128
-3.61675544,-50148,-251008,-18.1031058,0.59067614,8190,128,-7.694079601,-106682,12800,6390.625,128
-4.65379234,-64527,-251023,-18.10418762,0.5712033,7920,128,-7.704248751,-106823,13440,6410.15625,128
-4.689708911,-65025,-251342,-18.12719442,0.590748261,8191,128,-7.723000374,-107083,14080,6429.6875,128
-4.578353116,-63481,-250797,-18.08788813,0.517472686,7175,128,-7.706268156,-106851,14720,6449.21875,128
-3.803550458,-52738,-246871,-17.80473862,1.772461149,24576,128,-7.488028108,-103825,15360,6468.75,128
-4.113457097,-57035,-251099,-18.10966886,0.609427763,8450,128,-7.58820505,-105214,16000,6488.28125,128
-4.026766899,-55833,-251652,-18.14955212,0.590748261,8191,128,-7.687083803,-106585,16640,6507.8125,128
-3.970728394,-55056,-251215,-18.11803497,0.887240277,12302,128,-7.705619062,-106842,17280,6527.34375,128
-3.86694537,-53617,-250951,-18.09899486,0.554975933,7695,128,-7.669990977,-106348,17920,6546.875,128
-4.080569635,-56579,-250989,-18.10173548,0.900077927,12480,128,-7.682900749,-106527,18560,6566.40625,128
-3.91389655,-54268,-250707,-18.08139719,0.906568874,12570,128,-7.652753908,-106109,19200,6585.9375,128
-4.107975853,-56959,-250594,-18.07324744,0.920776835,12767,128,-7.664437612,-106271,19840,6605.46875,128
-3.992653369,-55360,-250557,-18.07057894,1.043022995,14462,128,-7.647921759,-106042,20480,6625,128
-3.692338907,-51196,-249594,-18.00112581,1.040859346,14432,128,-7.61034639,-105521,21120,6644.53125,128
-3.581848572,-49664,-249060,-17.96261286,1.112331881,15423,128,-7.588132928,-105213,21760,6664.0625,128
-3.748954385,-51981,-248267,-17.90542041,1.162312169,16116,128,-7.525603476,-104346,22400,6683.59375,128
-3.591368627,-49796,-248552,-17.92597508,1.033863549,14335,128,-7.537070815,-104505,23040,6703.125,128
-3.803766823,-52741,-249742,-18.01179981,1.029319886,14272,128,-7.579189846,-105089,23680,6722.65625,128
-3.988686679,-55305,-250731,-18.0831281,0.964626785,13375,128,-7.647921759,-106042,24320,6742.1875,128
-4.117351665,-57089,-251551,-18.14226784,0.589017342,8167,128,-7.689463817,-106618,24960,6761.71875,128
-4.502769649,-62433,-251971,-18.17255892,0.589666437,8176,128,-7.713119711,-106946,25600,6781.25,128
-4.062106498,-56323,-251923,-18.16909709,0.588728856,8163,128,-7.721413698,-107061,26240,6800.78125,128
-4.597321105,-63744,-252163,-18.18640628,0.586781572,8136,128,-7.732231943,-107211,26880,6820.3125,128
-4.135526316,-57341,-251897,-18.16722192,0.53535885,7423,128,-7.709585751,-106897,27520,6839.84375,128
-4.578785846,-63487,-251816,-18.16138007,0.576035449,7987,128,-7.691915952,-106652,28160,6859.375,128
-4.099970353,-56848,-251656,-18.14984061,1.034079913,14338,128,-7.684703789,-106552,28800,6878.90625,128
-4.431441358,-61444,-251482,-18.13729145,0.588584612,8161,128,-7.706051791,-106848,29440,6898.4375,128
-4.477959809,-62089,-251591,-18.14515271,0.590604018,8189,128,-7.694512331,-106688,30080,6917.96875,128
-4.459568794,-61834,-251658,-18.14998485,0.590315532,8185,128,-7.682323776,-106519,30720,6937.5,128
