Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL+H337,RAW,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,mV,No Units,mSecs,No Units,No Units
-0.073347696,-1017,-19.47291189,-270001,1.125241652,15602,128,-6.38514416,-88533,6058.59375,1920,128
-0.57430453,-7963,-19.36977796,-268571,1.026939872,14239,128,-6.343169372,-87951,6078.125,2560,128
-0.369262739,-5120,-19.24991181,-266909,1.179837725,16359,128,-6.308406747,-87469,6097.65625,3200,128
-0.553966231,-7681,-19.20007577,-266218,1.181063793,16376,128,-6.04328764,-83793,6117.1875,3840,128
-7.21E-05,-1,-19.16790952,-265772,1.021170142,14159,128,-5.207470084,-72204,6136.71875,4480,128
-7.21E-05,-1,-19.14591243,-265467,1.033863549,14335,128,-5.206893111,-72196,6156.25,5120,128
-0.226245549,-3137,-19.12276138,-265146,1.112259759,15422,128,-5.221317437,-72396,6175.78125,5760,128
-0.00887096,-123,-19.07508899,-264485,1.029319886,14272,128,-5.193190002,-72006,6195.3125,6400,128
-0.222134617,-3080,-19.04025424,-264002,1.18048682,16368,128,-5.149989146,-71407,6214.84375,7040,128
-0.064404614,-893,-19.03708089,-263958,1.162600656,16120,128,-5.105778588,-70794,6234.375,7680,128
-0.130395905,-1808,-19.05323613,-264182,1.179332874,16352,128,-5.095320951,-70649,6253.90625,8320,128
-0.032454733,-450,-19.04126394,-264016,1.167721292,16191,128,-5.090633046,-70584,6273.4375,8960,128
-0.138617771,-1922,-19.05951071,-264269,1.145219343,15879,128,-5.086449991,-70526,6292.96875,9600,128
-0.138545649,-1921,-19.04739428,-264101,1.116947665,15487,128,-5.080031166,-70437,6312.5,10240,128
-0.036926274,-512,-19.06333316,-264322,1.172481319,16257,128,-5.081040869,-70451,6332.03125,10880,128
-0.002380014,-33,-19.06693924,-264372,1.163393994,16131,128,-5.074189314,-70356,6351.5625,11520,128
-0.147488731,-2045,-19.04616821,-264084,1.177529833,16327,128,-5.065678962,-70238,6371.09375,12160,128
-0.145469325,-2017,-19.04638458,-264087,1.179404995,16353,128,-5.066832908,-70254,6390.625,12800,128
-0.003606081,-50,-19.05496705,-264206,1.1734189,16270,128,-5.064525016,-70222,6410.15625,13440,128
-6.49E-04,-9,-19.05951071,-264269,1.181568644,16383,128,-5.060341961,-70164,6429.6875,14080,128
-0.222134617,-3080,-19.04631246,-264086,1.179837725,16359,128,-5.06250561,-70194,6449.21875,14720,128
-0.133785621,-1855,-19.03736937,-263962,1.177241347,16323,128,-5.0638038,-70212,6468.75,15360,128
-0.064116128,-889,-19.04003788,-263999,1.181568644,16383,128,-5.063731678,-70211,6488.28125,16000,128
-0.041469937,-575,-19.0234499,-263769,1.179404995,16353,128,-5.035604243,-69821,6507.8125,16640,128
-0.12931408,-1793,-19.03441239,-263921,0.895390021,12415,128,-4.992908239,-69229,6527.34375,17280,128
-0.052793032,-732,-19.02193535,-263748,0.959506149,13304,128,-4.924176326,-68276,6546.875,17920,128
-0.027838949,-386,-18.99099517,-263319,1.116442813,15480,128,-4.912925352,-68120,6566.40625,18560,128
-7.21E-05,-1,-18.9977746,-263413,0.925608984,12834,128,-4.990600346,-69197,6585.9375,19200,128
-0.006995798,-97,-19.04097546,-264012,0.886663304,12294,128,-5.054283745,-70080,6605.46875,19840,128
-0.14525296,-2014,-19.04198516,-264026,1.160941858,16097,128,-5.081329355,-70455,6625,20480,128
-0.146839636,-2036,-19.05215431,-264167,1.17781832,16331,128,-5.093445789,-70623,6644.53125,21120,128
-0.073708305,-1022,-19.05107248,-264152,1.167793413,16192,128,-5.083565126,-70486,6664.0625,21760,128
-0.072770723,-1009,-19.09485031,-264759,1.179332874,16352,128,-5.096547019,-70666,6683.59375,22400,128
-0.01817465,-252,-19.03361905,-263910,1.124808922,15596,128,-5.005601645,-69405,6703.125,23040,128
-2.358737869,-32705,-18.37565343,-254787,2.329240123,32296,128,-4.909607757,-68074,6722.65625,23680,128
-2.081935058,-28867,-18.65692778,-258687,1.112404002,15424,128,-5.275552902,-73148,6742.1875,24320,128
-4.726563063,-65536,-18.95168888,-262774,0.572645732,7940,128,-5.22456291,-72441,6761.71875,24960,128
-0.138473527,-1920,-19.05828465,-264252,1.115793719,15471,128,-5.11385621,-70906,6781.25,25600,128
-0.286683474,-3975,-19.05677009,-264231,1.178755901,16344,128,-5.103903425,-70768,6800.78125,26240,128
-0.004327298,-60,-19.05287553,-264177,1.10966338,15386,128,-5.088469397,-70554,6820.3125,26880,128
-0.073636183,-1021,-19.05785192,-264246,1.112115516,15420,128,-5.085007558,-70506,6839.84375,27520,128
-0.016227366,-225,-19.06867016,-264396,1.110023988,15391,128,-5.08154572,-70458,6859.375,28160,128
-0.024232867,-336,-19.07285322,-264454,1.111322178,15409,128,-5.084358464,-70497,6878.90625,28800,128
-0.001226068,-17,-19.06160224,-264298,1.107788218,15360,128,-5.070799598,-70309,6898.4375,29440,128
-0.011611582,-161,-19.082806,-264592,1.181568644,16383,128,-5.07224203,-70329,6917.96875,30080,128
-0.295410191,-4096,-19.06600166,-264359,1.145796316,15887,128,-5.056663758,-70113,6937.5,30720,128
-0.002091527,-29,-19.08424843,-264612,1.167721292,16191,128,-5.067842611,-70268,6957.03125,31360,128
-0.14878692,-2063,-19.06535257,-264350,1.034152035,14339,128,-5.119121089,-70979,6976.5625,32000,128
-0.021420124,-297,-19.05568827,-264216,1.034007792,14337,128,-5.117462291,-70956,6996.09375,32640,128
-0.059428222,-824,-19.01825714,-263697,1.070789822,14847,128,-5.127631441,-71097,7015.625,33280,128
-0.147705096,-2048,-18.98226845,-263198,1.144209641,15865,128,-5.058034069,-70132,7035.15625,33920,128
-0.033392314,-463,-18.97483992,-263095,1.165701886,16163,128,-5.022261741,-69636,7054.6875,34560,128
-0.074429521,-1032,-18.98573029,-263246,0.887312399,12303,128,-5.019376876,-69596,7074.21875,35200,128
-0.005337001,-74,-18.98479271,-263233,1.17695286,16319,128,-5.027670864,-69711,7093.75,35840,128
-0.147200244,-2041,-18.98594665,-263249,1.051461226,14579,128,-5.004447699,-69389,7113.28125,36480,128
-7.21E-05,-1,-19.00181341,-263469,1.043167239,14464,128,-5.008198024,-69441,7132.8125,37120,128
-0.017453434,-242,-18.9881103,-263279,1.177097103,16321,128,-5.01865566,-69586,7152.34375,37760,128
-0.032382611,-449,-19.00318372,-263488,1.041075711,14435,128,-5.016924741,-69562,7171.875,38400,128
-0.001803041,-25,-18.98681211,-263261,1.042950874,14461,128,-5.001923442,-69354,7191.40625,39040,128
-0.132487432,-1837,-18.99128365,-263323,1.03746963,14385,128,-5.004303456,-69387,7210.9375,39680,128
-0.065125831,-903,-18.97296476,-263069,1.070717701,14846,128,-5.014905335,-69534,7230.46875,40320,128
-0.073636183,-1021,-18.97498417,-263097,1.181352279,16380,128,-5.024569634,-69668,7250,40960,128
-0.071833142,-996,-18.97383022,-263081,1.177024982,16320,128,-5.040436392,-69888,7269.53125,41600,128
-0.06952525,-964,-18.95933377,-262880,1.180631063,16370,128,-5.046061879,-69966,7289.0625,42240,128
-0.069813737,-968,-18.97137808,-263047,1.156037588,16029,128,-5.028608445,-69724,7308.59375,42880,128
-0.057625181,-799,-18.94144761,-262632,1.038479333,14399,128,-5.01598716,-69549,7328.125,43520,128
-0.030002598,-416,-18.92118143,-262351,1.051461226,14579,128,-4.943721288,-68547,7347.65625,44160,128
-1.44E-04,-2,-18.88800548,-261891,1.15214302,15975,128,-4.958722586,-68755,7367.1875,44800,128
-2.362271829,-32754,-18.90026616,-262061,1.181568644,16383,128,-5.044691568,-69947,7386.71875,45440,128
-0.020698907,-287,-18.94368338,-262663,1.116947665,15487,128,-5.120707765,-71001,7406.25,46080,128
-0.017958286,-249,-18.95882892,-262873,1.070357093,14841,128,-5.141911524,-71295,7425.78125,46720,128
-0.028848652,-400,-18.95493435,-262819,1.181568644,16383,128,-5.181001446,-71837,7445.3125,47360,128
-0.073419818,-1018,-18.96863746,-263009,1.16368248,16135,128,-5.181289933,-71841,7464.84375,48000,128
-0.063539155,-881,-18.97383022,-263081,1.173491022,16271,128,-5.202926422,-72141,7484.375,48640,128
-0.124698296,-1729,-18.96589684,-262971,1.179549239,16355,128,-5.136358158,-71218,7503.90625,49280,128
-1.998923063,-27716,-18.2971851,-253699,2.251276642,31215,128,-5.03993154,-69881,7523.4375,49920,128
-2.215720679,-30722,-18.59490318,-257827,0.978257773,13564,128,-5.420445254,-75157,7542.96875,50560,128
-2.352968139,-32625,-18.82100449,-260962,0.331471006,4596,128,-5.540888374,-76827,7562.5,51200,128
-0.011250974,-156,-18.95515072,-262822,0.572357246,7936,128,-5.304113067,-73544,7582.03125,51840,128
-0.055389411,-768,-18.95789134,-262860,1.070717701,14846,128,-5.289544498,-73342,7601.5625,52480,128
-7.21E-05,-1,-18.96380531,-262942,1.039416914,14412,128,-5.297982728,-73459,7621.09375,53120,128
-0.072987088,-1012,-18.95630466,-262838,1.051533348,14580,128,-5.302526391,-73522,7640.625,53760,128
-7.21E-05,-1,-18.95334768,-262797,0.590748261,8191,128,-5.335630218,-73981,7660.15625,54400,128
-0.007140041,-99,-18.95464587,-262815,0.590531896,8188,128,-5.327408353,-73867,7679.6875,55040,128
-0.019617083,-272,-18.96697867,-262986,0.590531896,8188,128,-5.340750854,-74052,7699.21875,55680,128
-0.001153946,-16,-18.95305919,-262793,0.59024341,8184,128,-5.367003127,-74416,7718.75,56320,128
-0.071616777,-993,-18.94858765,-262731,0.586204599,8128,128,-5.363541289,-74368,7738.28125,56960,128
-0.048537856,-673,-18.96431016,-262949,0.590604018,8189,128,-5.399169373,-74862,7757.8125,57600,128
-0.073852548,-1024,-18.97621023,-263114,0.461794789,6403,128,-5.444101148,-75485,7777.34375,58240,128
-0.037359004,-518,-18.93748092,-262577,0.586204599,8128,128,-5.460761244,-75716,7796.875,58880,128
-5.77E-04,-8,-18.92615782,-262420,0.461434181,6398,128,-5.448572689,-75547,7816.40625,59520,128
-7.21E-05,-1,-18.89781402,-262027,0.503336847,6979,128,-5.41272824,-75050,7835.9375,60160,128
-4.722019401,-65473,-18.89867948,-262039,0.516679349,7164,128,-5.395851778,-74816,7855.46875,60800,128
-0.002380014,-33,-18.91411351,-262253,0.512352051,7104,128,-5.393904495,-74789,7875,61440,128
-0.001947284,-27,-18.92897057,-262459,0.511775078,7096,128,-5.397726941,-74842,7894.53125,62080,128
-0.055677897,-772,-18.94426035,-262671,0.511198105,7088,128,-5.40609305,-74958,7914.0625,62720,128
-0.004687906,-65,-18.93712031,-262572,0.488984643,6780,128,-5.404434252,-74935,7933.59375,63360,128
-7.21E-05,-1,-18.94606339,-262696,0.512352051,7104,128,-5.405876685,-74955,7953.125,64000,128
-0.041542058,-576,-18.95082342,-262762,0.516462984,7161,128,-5.40652578,-74964,7972.65625,64640,128
-0.055677897,-772,-18.94606339,-262696,0.498504698,6912,128,-5.411357929,-75031,7992.1875,65280,128
-0.03584445,-497,-18.94014942,-262614,0.498504698,6912,128,-5.408833672,-74996,8011.71875,384,128
-0.073852548,-1024,-18.94613551,-262697,0.516895713,7167,128,-5.405443955,-74949,8031.25,1024,128
-0.018535259,-257,-18.96344471,-262937,0.507736267,7040,128,-5.407391239,-74976,8050.78125,1664,128
-0.037286882,-517,-18.95226585,-262782,0.507808388,7041,128,-5.407751847,-74981,8070.3125,2304,128
-0.055173046,-765,-18.95745861,-262854,0.499586523,6927,128,-5.409050037,-74999,8089.84375,2944,128
-0.004615784,-64,-18.95363616,-262801,0.502038658,6961,128,-5.388279007,-74711,8109.375,3584,128
-0.018391015,-255,-18.94555854,-262689,0.579280922,8032,128,-5.337000529,-74000,8128.90625,4224,128
