Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp,ECG LA-RA,ECG LA-RA
CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW
mV,No Units,mV,No Units,mSecs,No Units,mV,No Units
9.656514176,1046,2.363353374,256,1.953125,64,3.249610889,352
4.172795801,452,-4.726706748,-512,5.859375,192,-3.489638966,-378
4.191259499,454,-4.662083804,-505,9.765625,320,-3.360393078,-364
4.200491348,455,-4.468214972,-484,13.671875,448,-3.286538285,-356
4.209723197,456,-4.431287576,-480,17.578125,576,-3.194219794,-346
4.117404706,446,-3.545030061,-384,21.484375,704,-3.249610889,-352
0.009231849,1,0.009231849,1,25.390625,832,-184.3600269,-19970
-3.12959685,-339,-4.726706748,-512,37.109375,1216,-302.5092318,-32768
4.126636555,447,-0.5262154,-57,41.015625,1344,-3.157292398,-342
4.062013611,440,-1.117053743,-121,44.921875,1472,-3.231147191,-350
4.080477309,442,-0.83086642,-90,48.828125,1600,-3.175756096,-344
4.098941008,444,-0.757011628,-82,52.734375,1728,-3.12959685,-339
4.135868404,448,-0.009231849,-1,56.640625,1856,-3.037278359,-329
4.062013611,440,-0.009231849,-1,60.546875,1984,-3.1388287,-340
4.089709159,443,-0.073854793,-8,64.453125,2112,-3.101901303,-336
4.034318064,437,-0.009231849,-1,68.359375,2240,-3.175756096,-344
4.07124546,441,-1.181676687,-128,72.265625,2368,-6.730018006,-729
4.062013611,440,-1.790978729,-194,76.171875,2496,-6.656163213,-721
4.089709159,443,-1.181676687,-128,80.078125,2624,-6.646931364,-720
4.052781762,439,-1.04319895,-113,83.984375,2752,-6.702322459,-726
4.025086215,436,-1.181676687,-128,87.890625,2880,-6.748481704,-731
4.043549913,438,-1.181676687,-128,91.796875,3008,-6.730018006,-729
4.080477309,442,-0.821634571,-89,95.703125,3136,-6.573076571,-712
3.988158818,432,-0.747779778,-81,99.609375,3264,-6.711554308,-727
4.089709159,443,-0.673924986,-73,103.515625,3392,-6.591540269,-714
3.960463271,429,-0.683156835,-74,107.421875,3520,-6.776177252,-734
4.006622517,434,-0.166173284,-18,111.328125,3648,-6.68385876,-724
5.926847133,642,-0.138477737,-15,115.234375,3776,-6.600772118,-715
6.259193701,678,-0.147709586,-16,119.140625,3904,-6.637699515,-719
6.26842555,679,-0.120014039,-13,123.046875,4032,-6.619235817,-717
6.176107059,669,-0.276955473,-30,126.953125,4160,-6.757713553,-732
6.240730003,676,-0.230796228,-25,130.859375,4288,-6.665395062,-722
6.314584796,684,-0.083086642,-9,134.765625,4416,-6.526917325,-707
6.305352947,683,-9.453413495,-1024,138.671875,4544,-6.591540269,-714
6.259193701,678,-9.425717948,-1021,142.578125,4672,-6.628467666,-718
6.203802606,672,-8.871807001,-961,146.484375,4800,-6.711554308,-727
6.249961852,677,0.064622944,7,150.390625,4928,-6.646931364,-720
6.249961852,677,-8.936429945,-968,154.296875,5056,-6.573076571,-712
6.259193701,678,-9.444181646,-1023,158.203125,5184,-6.600772118,-715
6.240730003,676,0.147709586,16,162.109375,5312,-6.619235817,-717
6.203802606,672,0.443128758,48,166.015625,5440,-6.693090609,-725
6.240730003,676,0.581606494,63,169.921875,5568,-6.610003967,-716
6.222266305,674,-9.305703909,-1008,173.828125,5696,-6.619235817,-717
6.26842555,679,0.553910947,60,177.734375,5824,-6.573076571,-712
6.222266305,674,0.553910947,60,181.640625,5952,-6.610003967,-716
6.148411512,666,2.391048921,259,185.546875,6080,-6.739249855,-730
6.240730003,676,-6.942350536,-752,189.453125,6208,-6.591540269,-714
6.213034455,673,2.501831111,271,193.359375,6336,-6.628467666,-718
6.249961852,677,2.935728019,318,197.265625,6464,-6.554612873,-710
6.296121097,682,-6.58230842,-713,201.171875,6592,-6.58230842,-713
6.249961852,677,-6.914654988,-749,205.078125,6720,-6.656163213,-721
6.305352947,683,2.834177679,307,208.984375,6848,-6.58230842,-713
6.286889248,681,3.692739647,400,212.890625,6976,-6.573076571,-712
6.342280343,687,-5.32677694,-577,216.796875,7104,-6.508453627,-705
6.333048494,686,4.689779351,508,220.703125,7232,-6.536149174,-708
6.314584796,684,4.689779351,508,224.609375,7360,-6.610003967,-716
6.333048494,686,0,0,228.515625,7488,-6.610003967,-716
6.360744041,689,0.572374645,62,232.421875,7616,-6.536149174,-708
6.388439589,692,-2.335657826,-253,236.328125,7744,-6.462294382,-700
6.305352947,683,-1.781746879,-193,240.234375,7872,-6.536149174,-708
6.259193701,678,-2.29873043,-249,244.140625,8000,-6.637699515,-719
6.249961852,677,-2.317194128,-251,248.046875,8128,-6.600772118,-715
6.286889248,681,-2.151020844,-233,251.953125,8256,-6.563844722,-711
6.314584796,684,-1.329386273,-144,255.859375,8384,-6.462294382,-700
6.26842555,679,-1.855601672,-201,259.765625,8512,-6.58230842,-713
6.240730003,676,-1.15398114,-125,263.671875,8640,-6.545381024,-709
6.240730003,676,-1.15398114,-125,267.578125,8768,-6.610003967,-716
6.203802606,672,-1.172444838,-127,271.484375,8896,-6.610003967,-716
6.277657399,680,-0.904721213,-98,275.390625,9024,-6.499221778,-704
6.231498154,675,-0.923184912,-100,279.296875,9152,-6.545381024,-709
6.16687521,668,0.286187323,31,283.203125,9280,-6.637699515,-719
6.176107059,669,-0.738547929,-80,287.109375,9408,-6.619235817,-717
6.176107059,669,0.581606494,63,291.015625,9536,-6.628467666,-718
6.249961852,677,-0.655461287,-71,294.921875,9664,-6.545381024,-709
6.16687521,668,-0.609302042,-66,298.828125,9792,-6.591540269,-714
6.194570757,671,0.507751701,55,302.734375,9920,-6.58230842,-713
