Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,mV,No Units,mSecs,No Units,No Units
9.192478561,127458,7.959126587,110357,1.024127129,14200,128,4.158460994,57659,6058.59375,1920,128
0.130323783,1807,7.791371678,108031,0.59024341,8184,128,4.081435094,56591,6078.125,2560,128
1.181640766,16384,6.111658944,84741,0.582742761,8080,128,4.085041175,56641,6097.65625,3200,128
0.018391015,255,6.094854605,84508,0.555625028,7704,128,4.456828172,61796,6117.1875,3840,128
1.998273968,27707,6.092402469,84474,0.441312246,6119,128,6.343025129,87949,6136.71875,4480,128
5.926522723,82174,6.084613333,84366,0.442971044,6142,128,6.357088847,88144,6156.25,5120,128
8.894976842,123333,6.094421875,84502,0.443187409,6145,128,6.390192674,88603,6175.78125,5760,128
9.414973785,130543,6.097811591,84549,0.44765895,6207,128,6.393942999,88655,6195.3125,6400,128
0.221557644,3072,6.065573223,84102,0.590604018,8189,128,6.357737941,88153,6214.84375,7040,128
1.193035983,16542,6.075453886,84239,0.440807395,6112,128,6.358459158,88163,6234.375,7680,128
1.774192068,24600,6.095143091,84512,0.590748261,8191,128,6.355790657,88126,6253.90625,8320,128
2.354194206,32642,6.10394193,84634,0.452274734,6271,128,6.351823968,88071,6273.4375,8960,128
0.009159447,127,6.073939332,84218,0.574593016,7967,128,6.313311018,87537,6292.96875,9600,128
0.147777217,2049,6.067808994,84133,0.519275727,7200,128,6.302925504,87393,6312.5,10240,128
0.166096111,2303,6.068169602,84138,0.521295133,7228,128,6.293333327,87260,6332.03125,10880,128
0.057697303,800,6.108269228,84694,0.552812285,7665,128,6.329538385,87762,6351.5625,11520,128
0.258483918,3584,6.123342648,84903,0.543508594,7536,128,6.323552289,87679,6371.09375,12160,128
0.070895561,983,6.112885012,84758,0.553894109,7680,128,6.322109857,87659,6390.625,12800,128
0,0,6.131348149,85014,0.445351058,6175,128,6.413632204,88928,6410.15625,13440,128
0.00223577,31,6.154066462,85329,0.551441974,7646,128,6.476594386,89801,6429.6875,14080,128
0.12974681,1799,6.239097862,86508,0.589666437,8176,128,6.500755131,90136,6449.21875,14720,128
