Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,RAW,CAL,CAL,RAW,RAW,CAL,RAW,RAW,CAL,RAW
mV,No Units,No Units,mV,mV,No Units,No Units,mV,No Units,No Units,mSecs,No Units
-4.73615524,-65669,-224341,-16.17983832,0.589882802,8179,128,8.808863617,122139,1920,16058.59375,128
-2.040104513,-28287,-222748,-16.06494857,1.149113911,15933,128,10.56531376,146493,2560,16078.125,128
-1.188780807,-16483,-218713,-15.77393779,0.572285124,7935,128,11.03201282,152964,3200,16097.65625,128
-0.313296355,-4344,-217132,-15.6599135,0.448812896,6223,128,11.06966031,153486,3840,16117.1875,128
-1.44E-04,-2,-215286,-15.52677697,0.589594315,8175,128,11.11942424,154176,4480,16136.71875,128
-0.011539461,-160,-216811,-15.63676246,0.331182519,4592,128,10.96284818,152005,5120,16156.25,128
-2.084603558,-28904,-218113,-15.73066482,0.071544656,992,128,10.78405866,149526,5760,16175.78125,128
-1.699978912,-23571,-219671,-15.84303031,0.035267476,489,128,10.70696064,148457,6400,16195.3125,128
-1.188636564,-16481,-218866,-15.7849724,7.21E-05,1,128,10.6854684,148159,7040,16214.84375,128
-0.307238139,-4260,-217842,-15.71111986,0.055317289,767,128,10.69520482,148294,7680,16234.375,128
-0.555048055,-7696,-218859,-15.78446755,1.177024982,16320,128,10.6384451,147507,8320,16253.90625,128
-0.147705096,-2048,-218954,-15.79131911,1.108653678,15372,128,10.58875329,146818,8960,16273.4375,128
0.005697609,79,-217943,-15.71840414,1.165197035,16156,128,10.6014467,146994,9600,16292.96875,128
-18.86947022,-261634,-218116,-15.73088118,1.181280158,16379,128,10.59401817,146891,10240,16312.5,128
-18.46299272,-255998,-218430,-15.75352737,0.018967988,263,128,10.51966077,145860,10880,16332.03125,128
-18.2971851,-253699,-217338,-15.67477055,1.181568644,16383,128,10.56855924,146538,11520,16351.5625,128
1.035017495,14351,-216237,-15.59536464,1.18048682,16368,128,10.58485873,146764,12160,16371.09375,128
-16.24784902,-225284,-217078,-15.65601893,1.051749712,14583,128,10.54497546,146211,12800,16390.625,128
-15.42494123,-213874,-216982,-15.64909526,1.172914049,16263,128,10.51901168,145851,13440,16410.15625,128
-15.37698035,-213209,-216331,-15.60214407,1.17695286,16319,128,10.54497546,146211,14080,16429.6875,128
4.431369237,61443,-216298,-15.59976406,1.037397508,14384,128,10.53430146,146063,14720,16449.21875,128
-14.47459453,-200697,-216677,-15.62709816,1.043095117,14463,128,10.47948903,145303,15360,16468.75,128
4.541354721,62968,-216027,-15.5802191,1.0397054,14416,128,10.48965818,145444,16000,16488.28125,128
-14.29111711,-198153,-214209,-15.44910198,1.149258155,15935,128,10.63765176,147496,16640,16507.8125,128
4.592633199,63679,-215282,-15.52648849,1.108653678,15372,128,10.51216012,145756,17280,16527.34375,128
4.722019401,65473,-213445,-15.39400105,1.181063793,16376,128,10.5881042,146809,17920,16546.875,128
-14.25303689,-197625,-214226,-15.45032805,1.043095117,14463,128,10.52297837,145906,18560,16566.40625,128
-14.32739429,-198656,-215119,-15.51473266,1.114784016,15457,128,10.42532568,144552,19200,16585.9375,128
4.721947279,65472,-215331,-15.53002245,1.121635571,15552,128,10.3576756,143614,19840,16605.46875,128
4.718413319,65423,-214353,-15.45948749,1.147599357,15912,128,10.45316463,144938,20480,16625,128
-14.47307998,-200676,-215479,-15.54069645,1.17695286,16319,128,10.40267949,144238,21120,16644.53125,128
4.722019401,65473,-204069,-14.71778866,0.553317136,7672,128,11.00475085,152586,21760,16664.0625,128
4.690790736,65040,-205704,-14.83570753,1.145291465,15880,128,10.75910458,149180,22400,16683.59375,128
3.729265181,51708,-210841,-15.20619633,1.172409197,16256,128,10.42633539,144566,23040,16703.125,128
4.717403617,65409,-212787,-15.34654502,1.050090915,14560,128,10.3896976,144058,23680,16722.65625,128
3.616539075,50145,-212656,-15.33709709,1.069707998,14832,128,10.42164748,144501,24320,16742.1875,128
3.54946596,49215,-212452,-15.32238428,1.089757811,15110,128,10.40246313,144235,24960,16761.71875,128
3.54946596,49215,-212461,-15.32303337,1.172409197,16256,128,10.34447734,143431,25600,16781.25,128
-15.22862616,-211152,-211419,-15.24788263,5.05E-04,7,128,10.46095377,145046,26240,16800.78125,128
3.69248315,51198,-210167,-15.15758635,1.18048682,16368,128,10.47501749,145241,26880,16820.3125,128
-14.91778194,-206842,-208496,-15.03707111,1.154018182,16001,128,10.60505278,147044,27520,16839.84375,128
3.83153365,53126,-208416,-15.03130138,1.144570249,15870,128,10.59690304,146931,28160,16859.375,128
-14.78089509,-204944,-207557,-14.9693489,0.01507342,209,128,10.68128534,148101,28800,16878.90625,128
4.576405832,63454,-206987,-14.92823958,0.078468332,1088,128,10.71756252,148604,29440,16898.4375,128
4.062971957,56335,-209087,-15.079695,0.028560165,396,128,10.57894475,146682,30080,16917.96875,128
3.70178684,51327,-210689,-15.19523385,1.173563143,16272,128,10.46975261,145168,30720,16937.5,128
-15.23201588,-211199,-212118,-15.29829565,1.04280663,14459,128,10.28555397,142614,31360,16957.03125,128
