Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW
No Units,mV,mV,No Units,No Units,mV,No Units,mV,No Units,No Units,mSecs,No Units
-8388608,-605.0000721,-15.78518877,-218869,14176,1.02239621,128,-7.080685148,-98177,1920,58.59375,128
-8388608,-605.0000721,-15.79744945,-219039,14131,1.019150736,128,-7.093883406,-98360,2560,78.125,128
-8388608,-605.0000721,-15.78771303,-218904,14311,1.032132629,128,-7.069362053,-98020,3200,97.65625,128
-8388608,-605.0000721,-15.77934692,-218788,14271,1.029247764,128,-7.080613027,-98176,3840,117.1875,128
-8388608,-605.0000721,-15.75381586,-218434,14502,1.045907861,128,-7.064962633,-97959,4480,136.71875,128
-8388608,-605.0000721,-15.74552187,-218319,14345,1.034584765,128,-7.060635336,-97899,5120,156.25,128
-8388608,-605.0000721,-15.75439283,-218442,14098,1.016770722,128,-7.094316136,-98366,5760,175.78125,128
-8388608,-605.0000721,-15.7519407,-218408,14244,1.02730048,128,-7.08609427,-98252,6400,195.3125,128
-8388608,-605.0000721,-15.75799891,-218492,14036,1.012299181,128,-7.101239813,-98462,7040,214.84375,128
-8388608,-605.0000721,-15.73124179,-218121,14158,1.02109802,128,-7.048951632,-97737,7680,234.375,128
-8388608,-605.0000721,-15.68703123,-217508,14440,1.04143632,128,-7.02587271,-97417,8320,253.90625,128
-8388608,-605.0000721,-15.68753608,-217515,14199,1.024055007,128,-7.083930622,-98222,8960,273.4375,128
-8388608,-605.0000721,-15.73015997,-218106,13873,1.000543356,128,-7.120856896,-98734,9600,292.96875,128
-8388608,-605.0000721,-15.77545235,-218734,14093,1.016410114,128,-7.152229804,-99169,10240,312.5,128
-8388608,-605.0000721,-15.82052837,-219359,13767,0.992898463,128,-7.157638926,-99244,10880,332.03125,128
-8388608,-605.0000721,-15.87772082,-220152,13764,0.992682098,128,-7.166005035,-99360,11520,351.5625,128
-8388608,-605.0000721,-15.87086926,-220057,14346,1.034656886,128,-7.180140874,-99556,12160,371.09375,128
-8388608,-605.0000721,-15.73419878,-218162,15276,1.101730001,128,-7.133838789,-98914,12800,390.625,128
-8388608,-605.0000721,-15.09823025,-209344,16324,1.177313468,128,-6.17260172,-85586,13440,410.15625,128
-8388608,-605.0000721,-15.9273405,-220840,9204,0.663807471,128,-6.686107717,-92706,14080,429.6875,128
-8388608,-605.0000721,-15.72929451,-218094,14559,1.050018793,128,-7.193555497,-99742,14720,449.21875,128
-8388608,-605.0000721,-15.77307233,-218701,14124,1.018645885,128,-7.172568103,-99451,15360,468.75,128
-8388608,-605.0000721,-15.81439803,-219274,14005,1.010063411,128,-7.152518291,-99173,16000,488.28125,128
-8388608,-605.0000721,-15.81273923,-219251,14340,1.034224157,128,-7.14761402,-99105,16640,507.8125,128
-8388608,-605.0000721,-15.80047855,-219081,14506,1.046196347,128,-7.118476882,-98701,17280,527.34375,128
-8388608,-605.0000721,-15.79326639,-218981,14531,1.047999388,128,-7.110327138,-98588,17920,546.875,128
-8388608,-605.0000721,-15.77624569,-218745,14600,1.05297578,128,-7.082055459,-98196,18560,566.40625,128
