Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,RAW
No Units,mV,No Units,mV,No Units,mV,No Units,mV,No Units,mSecs,No Units,No Units
-8388608,-605.0000721,-210788,-15.20237389,14493,1.045258766,128,-8.7461178,-121269,6039.0625,1280,128
-8388608,-605.0000721,-207232,-14.94590937,14692,1.05961097,128,-8.665846427,-120156,6058.59375,1920,128
-8388608,-605.0000721,-203066,-14.64545067,15951,1.150412101,128,-8.268312009,-114644,6078.125,2560,128
-8388608,-605.0000721,-205226,-14.80123339,12526,0.903395522,128,-7.976003048,-110591,6097.65625,3200,128
-8388608,-605.0000721,-203918,-14.7068983,13961,1.006890059,128,-8.367046519,-116013,6117.1875,3840,128
-8388608,-605.0000721,-204057,-14.7169232,14046,1.013020398,128,-8.424743822,-116813,6136.71875,4480,128
-8388608,-605.0000721,-203696,-14.6908873,14221,1.025641683,128,-8.418685605,-116729,6156.25,5120,128
-8388608,-605.0000721,-203559,-14.68100663,14181,1.022756818,128,-8.403900671,-116524,6175.78125,5760,128
-8388608,-605.0000721,-203174,-14.6532398,14297,1.031122927,128,-8.376422331,-116143,6195.3125,6400,128
-8388608,-605.0000721,-203841,-14.70134493,13706,0.988499044,128,-8.392144846,-116361,6214.84375,7040,128
-8388608,-605.0000721,-203293,-14.66182228,14064,1.014318587,128,-8.362574978,-115951,6234.375,7680,128
-8388608,-605.0000721,-203378,-14.66795262,13971,1.007611276,128,-8.334375421,-115560,6253.90625,8320,128
-8388608,-605.0000721,-203019,-14.64206095,14206,1.024559858,128,-8.274658713,-114732,6273.4375,8960,128
-8388608,-605.0000721,-203007,-14.64119549,14044,1.012876155,128,-8.238165169,-114226,6292.96875,9600,128
-8388608,-605.0000721,-202943,-14.63657971,14401,1.038623576,128,-8.202464962,-113731,6312.5,10240,128
-8388608,-605.0000721,-201880,-14.55991442,14555,1.049730307,128,-8.159913201,-113141,6332.03125,10880,128
-8388608,-605.0000721,-202151,-14.57945938,14244,1.02730048,128,-8.160129566,-113144,6351.5625,11520,128
-8388608,-605.0000721,-203012,-14.6415561,13925,1.004293681,128,-8.232395438,-114146,6371.09375,12160,128
-8388608,-605.0000721,-204268,-14.73214087,13545,0.976887462,128,-8.324711123,-115426,6390.625,12800,128
-8388608,-605.0000721,-205009,-14.78558299,13914,1.003500343,128,-8.375556871,-116131,6410.15625,13440,128
-8388608,-605.0000721,-205016,-14.78608785,14148,1.020376804,128,-8.388466643,-116310,6429.6875,14080,128
-8388608,-605.0000721,-205076,-14.79041514,14522,1.047350293,128,-8.384572075,-116256,6449.21875,14720,128
-8388608,-605.0000721,-205715,-14.83650086,14129,1.019006493,128,-8.401809144,-116495,6468.75,15360,128
-8388608,-605.0000721,-205409,-14.81443165,14368,1.036243562,128,-8.395823049,-116412,6488.28125,16000,128
-8388608,-605.0000721,-205544,-14.82416807,14258,1.028310183,128,-8.396976995,-116428,6507.8125,16640,128
-8388608,-605.0000721,-205414,-14.81479225,14274,1.029464129,128,-8.373537466,-116103,6527.34375,17280,128
-8388608,-605.0000721,-205699,-14.83534692,14054,1.013597371,128,-8.379667804,-116188,6546.875,17920,128
-8388608,-605.0000721,-205201,-14.79943035,14498,1.045619374,128,-8.36221437,-115946,6566.40625,18560,128
-8388608,-605.0000721,-205142,-14.79517517,14322,1.032925967,128,-8.369065925,-116041,6585.9375,19200,128
-8388608,-605.0000721,-205068,-14.78983817,14505,1.046124225,128,-8.3679841,-116026,6605.46875,19840,128
-8388608,-605.0000721,-205412,-14.81464801,14195,1.02376652,128,-8.386014508,-116276,6625,20480,128
-8388608,-605.0000721,-205657,-14.83231781,14218,1.025425318,128,-8.386952089,-116289,6644.53125,21120,128
-8388608,-605.0000721,-205531,-14.82323048,14444,1.041724806,128,-8.391639995,-116354,6664.0625,21760,128
-8388608,-605.0000721,-205361,-14.81096981,14379,1.0370369,128,-8.407074023,-116568,6683.59375,22400,128
-8388608,-605.0000721,-205384,-14.8126286,14388,1.037685995,128,-8.418180754,-116722,6703.125,23040,128
-8388608,-605.0000721,-205543,-14.82409594,14366,1.036099319,128,-8.403972793,-116525,6722.65625,23680,128
-8388608,-605.0000721,-205876,-14.84811245,14155,1.020881655,128,-8.446308189,-117112,6742.1875,24320,128
-8388608,-605.0000721,-205279,-14.80505583,14320,1.032781724,128,-8.422147444,-116777,6761.71875,24960,128
-8388608,-605.0000721,-205492,-14.82041774,14134,1.019367101,128,-8.418252876,-116723,6781.25,25600,128
-8388608,-605.0000721,-205137,-14.79481456,13896,1.002202153,128,-8.395390319,-116406,6800.78125,26240,128
-8388608,-605.0000721,-205958,-14.85402642,14010,1.010424019,128,-8.436571769,-116977,6820.3125,26880,128
-8388608,-605.0000721,-205151,-14.79582426,14669,1.057952173,128,-8.417387416,-116711,6839.84375,27520,128
-8388608,-605.0000721,-205233,-14.80173824,14450,1.042157536,128,-8.420344403,-116752,6859.375,28160,128
