Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW,CAL,CAL,RAW,RAW
mV,No Units,No Units,mV,No Units,mV,No Units,No Units,mV,mSecs,No Units,No Units
-10.62726624,-147352,-145414,-10.48749453,960,0.069236764,128,-276398,-19.93427395,6058.59375,1920,128
-9.4537031,-131080,-144776,-10.44148093,799,0.057625181,128,-274883,-19.82500968,6078.125,2560,128
-4.428917101,-61409,-193462,-13.95279455,4959,0.357651157,128,-273269,-19.70860537,6097.65625,3200,128
-4.50413996,-62452,-193242,-13.93692779,6032,0.435037665,128,-272541,-19.65610083,6117.1875,3840,128
-4.440456562,-61569,-192634,-13.89307784,8191,0.590748261,128,-271747,-19.59883625,6136.71875,4480,128
-4.281428371,-59364,-192334,-13.87144135,8188,0.590531896,128,-271539,-19.58383496,6156.25,5120,128
-4.711922373,-65333,-192255,-13.86574374,8175,0.589594315,128,-271198,-19.55924148,6175.78125,5760,128
-2.358737869,-32705,-192121,-13.85607944,8079,0.582670639,128,-271042,-19.54799051,6195.3125,6400,128
-2.035560851,-28224,-192005,-13.84771333,8191,0.590748261,128,-271161,-19.55657298,6214.84375,7040,128
-1.908410419,-26461,-191839,-13.83574114,8176,0.589666437,128,-270941,-19.54070622,6234.375,7680,128
-2.307964242,-32001,-191771,-13.83083687,8191,0.590748261,128,-270782,-19.52923888,6253.90625,8320,128
-2.331548015,-32328,-191772,-13.83090899,8188,0.590531896,128,-270724,-19.52505583,6273.4375,8960,128
-2.34727053,-32546,-191737,-13.82838474,8124,0.585916112,128,-270897,-19.53753287,6292.96875,9600,128
-2.290078079,-31753,-191769,-13.83069263,8176,0.589666437,128,-270859,-19.53479225,6312.5,10240,128
-2.358737869,-32705,-191760,-13.83004353,8158,0.588368248,128,-270619,-19.51748306,6332.03125,10880,128
-2.294189011,-31810,-191694,-13.82528351,8188,0.590531896,128,-270729,-19.52541644,6351.5625,11520,128
-2.291520511,-31773,-191647,-13.82189379,7949,0.573294827,128,-270692,-19.52274794,6371.09375,12160,128
-2.356357855,-32672,-191764,-13.83033202,8191,0.590748261,128,-270933,-19.54012925,6390.625,12800,128
-2.291736876,-31776,-191710,-13.82643745,7945,0.573006341,128,-270871,-19.53565771,6410.15625,13440,128
-2.293539917,-31801,-191612,-13.81936953,8078,0.582598517,128,-270627,-19.51806003,6429.6875,14080,128
-2.363281532,-32768,-191282,-13.7955694,12559,0.905775536,128,-269868,-19.46331971,6449.21875,14720,128
-2.215648558,-30721,-191009,-13.77588019,13311,0.960011001,128,-269002,-19.40086238,6468.75,15360,128
-2.354626936,-32648,-190982,-13.77393291,14332,1.033647184,128,-268973,-19.39877086,6488.28125,16000,128
-2.273417982,-31522,-191245,-13.7929009,12687,0.915007104,128,-270168,-19.4849562,6507.8125,16640,128
-1.77253327,-24577,-191500,-13.81129191,8059,0.581228206,128,-270382,-19.50039023,6527.34375,17280,128
-1.790996407,-24833,-191669,-13.82348047,8095,0.583824585,128,-270696,-19.52303642,6546.875,17920,128
-1.790347313,-24824,-192646,-13.8939433,8073,0.582237909,128,-271490,-19.580301,6566.40625,18560,128
-1.466737564,-20337,-186166,-13.42659514,127,0.009159447,128,-253314,-18.26941827,6585.9375,19200,128
-1.472507295,-20417,-191227,-13.79160271,1855,0.133785621,128,-264264,-19.05915011,6605.46875,19840,128
-2.356862707,-32679,-192173,-13.85982977,14534,1.048215753,128,-270114,-19.48106164,6625,20480,128
-2.280269537,-31617,-191396,-13.80379126,14351,1.035017495,128,-270112,-19.48091739,6644.53125,21120,128
-1.843068223,-25555,-191129,-13.78453479,14447,1.041941171,128,-269909,-19.4662767,6664.0625,21760,128
-1.786380623,-24769,-190804,-13.76109526,14366,1.036099319,128,-269379,-19.42805224,6683.59375,22400,128
-2.359242721,-32712,-191074,-13.7805681,13053,0.94140362,128,-269507,-19.43728381,6703.125,23040,128
-1.773615095,-24592,-190654,-13.75027701,14239,1.026939872,128,-268771,-19.38420229,6722.65625,23680,128
-1.773615095,-24592,-190366,-13.72950598,15874,1.144858735,128,-268391,-19.35679607,6742.1875,24320,128
-1.772893879,-24582,-190066,-13.70786949,16236,1.170966765,128,-267892,-19.32080738,6761.71875,24960,128
-2.359026356,-32709,-189554,-13.67094322,14460,1.042878752,128,-266924,-19.25099364,6781.25,25600,128
-2.344746273,-32511,-189171,-13.64332064,14588,1.052110321,128,-265804,-19.17021742,6800.78125,26240,128
-2.086334477,-28928,-188729,-13.61144288,14279,1.029824737,128,-264192,-19.05395735,6820.3125,26880,128
-1.769071432,-24529,-188519,-13.59629734,16382,1.181496523,128,-263724,-19.02020443,6839.84375,27520,128
-2.098378789,-29095,-189141,-13.64115699,14335,1.033863549,128,-265514,-19.14930214,6859.375,28160,128
-2.344241422,-32504,-189827,-13.69063243,15935,1.149258155,128,-267644,-19.30292121,6878.90625,28800,128
-1.77339873,-24589,-190404,-13.73224661,14302,1.031483535,128,-269161,-19.41232972,6898.4375,29440,128
-1.846169453,-25598,-190614,-13.74739215,13296,0.958929176,128,-269658,-19.44817417,6917.96875,30080,128
-1.777004811,-24639,-190497,-13.73895392,14336,1.03393567,128,-269499,-19.43670683,6937.5,30720,128
-1.774841163,-24609,-190794,-13.76037404,13287,0.958280082,128,-269731,-19.45343905,6957.03125,31360,128
-2.349434179,-32576,-190512,-13.74003574,14584,1.051821834,128,-269439,-19.43237954,6976.5625,32000,128
-2.344962638,-32514,-190531,-13.74140605,14389,1.037758116,128,-269443,-19.43266802,6996.09375,32640,128
-1.777076933,-24640,-190650,-13.74998853,14367,1.036171441,128,-269653,-19.44781356,7015.625,33280,128
-2.353833598,-32637,-190314,-13.72575566,15385,1.109591259,128,-269191,-19.41449337,7035.15625,33920,128
-1.780610893,-24689,-190554,-13.74306485,14847,1.070789822,128,-269404,-19.42985528,7054.6875,34560,128
-1.788616394,-24800,-190719,-13.75496492,14364,1.035955076,128,-269720,-19.45264571,7074.21875,35200,128
-1.781187866,-24697,-190267,-13.72236594,14689,1.059394605,128,-269264,-19.41975825,7093.75,35840,128
