Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,RAW,CAL,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,No Units,mV,mSecs,No Units,No Units
-605.0000721,-8388608,-31.98356235,-443467,0.986696003,13681,128,-480723,-34.67052575,6195.3125,6400,128
-605.0000721,-8388608,-31.98024475,-443421,0.990590571,13735,128,-484281,-34.92713451,6214.84375,7040,128
-605.0000721,-8388608,-31.95694947,-443098,0.988931774,13712,128,-488098,-35.20242276,6234.375,7680,128
-605.0000721,-8388608,-31.9273796,-442688,1.022107723,14172,128,-490850,-35.40090148,6253.90625,8320,128
-605.0000721,-8388608,-31.91684984,-442542,1.031195048,14298,128,-494698,-35.67842551,6273.4375,8960,128
-605.0000721,-8388608,-31.91360437,-442497,1.030545954,14289,128,-495649,-35.74701318,6292.96875,9600,128
-605.0000721,-8388608,-31.90711342,-442407,1.04453755,14483,128,-495747,-35.7540811,6312.5,10240,128
-605.0000721,-8388608,-31.92874991,-442707,1.004654289,13930,128,-496168,-35.78444431,6332.03125,10880,128
-605.0000721,-8388608,-31.97433078,-443339,1.009414316,13996,128,-497044,-35.84762285,6351.5625,11520,128
-605.0000721,-8388608,-31.97916293,-443406,1.02549744,14219,128,-497102,-35.85180591,6371.09375,12160,128
-605.0000721,-8388608,-31.99625575,-443643,1.009342195,13995,128,-497199,-35.85880171,6390.625,12800,128
-605.0000721,-8388608,-31.99849153,-443674,1.024127129,14200,128,-497339,-35.86889873,6410.15625,13440,128
-605.0000721,-8388608,-31.98111021,-443433,1.027949575,14253,128,-497276,-35.86435507,6429.6875,14080,128
-605.0000721,-8388608,-31.98637509,-443506,1.014102222,14061,128,-496546,-35.81170628,6449.21875,14720,128
-605.0000721,-8388608,-31.93689965,-442820,1.04987455,14557,128,-496450,-35.80478261,6468.75,15360,128
-605.0000721,-8388608,-31.91843652,-442564,1.027949575,14253,128,-495900,-35.76511571,6488.28125,16000,128
-605.0000721,-8388608,-31.94649183,-442953,1.00955856,13998,128,-496950,-35.84084342,6507.8125,16640,128
