Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,mV,No Units,mSecs,No Units,No Units
4.498009622,62367,31.24424353,433216,0.585122774,8113,128,13.54061944,187747,6058.59375,1920,128
10.03096462,139084,31.08788384,431048,0.521006646,7224,128,13.48234516,186939,6078.125,2560,128
16.67437633,231198,30.97054195,429421,0.445567423,6178,128,13.40986292,185934,6097.65625,3200,128
18.43075436,255551,30.89870881,428425,0.581228206,8059,128,13.38887553,185643,6117.1875,3840,128
17.98410511,249358,30.87065349,428036,0.572285124,7935,128,13.36651783,185333,6136.71875,4480,128
18.90394436,262112,30.83877573,427594,0.459270532,6368,128,13.33132247,184845,6156.25,5120,128
28.48840397,395005,30.82983265,427470,0.460352356,6383,128,13.32331697,184734,6175.78125,5760,128
28.39854043,393759,30.86315285,427932,0.445351058,6175,128,13.33860676,184946,6195.3125,6400,128
28.58093602,396288,30.78901181,426904,0.361040874,5006,128,13.30110351,184426,6214.84375,7040,128
30.74545035,426300,30.78410754,426836,0.450543815,6247,128,13.29410771,184329,6234.375,7680,128
30.7893003,426908,30.85464249,427814,0.485522805,6732,128,13.3300964,184828,6253.90625,8320,128
30.86344133,427936,30.80401311,427112,0.537234013,7449,128,13.41635387,186024,6273.4375,8960,128
30.73073753,426096,30.89394878,428359,0.517328443,7173,128,13.42695575,186171,6292.96875,9600,128
30.73412725,426143,30.84461759,427675,0.299953854,4159,128,13.29627136,184359,6312.5,10240,128
30.81028769,427199,30.76319227,426546,0.229635266,3184,128,13.22696247,183398,6332.03125,10880,128
30.7406182,426233,30.78966091,426913,0.20367148,2824,128,13.21838,183279,6351.5625,11520,128
30.79644034,427007,30.8196635,427329,0.294761097,4087,128,13.22241881,183335,6371.09375,12160,128
30.75605223,426447,30.74472913,426290,0.182323478,2528,128,13.2140527,183219,6390.625,12800,128
30.72265991,425984,31.16974189,432183,1.329057375,18428,128,13.48234516,186939,6410.15625,13440,128
31.37831764,435075,30.97544622,429489,0.450038964,6240,128,13.14979233,182328,6429.6875,14080,128
28.65385099,397299,30.47513848,422552,1.03393567,14336,128,12.60390372,174759,6449.21875,14720,128
