Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,RAW,CAL,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,No Units,mV,mSecs,No Units,No Units
-0.110850943,-1537,-4.429638318,-61419,0.572285124,7935,128,-285780,-20.61091907,4058.59375,1920,128
-4.7086769,-65288,-4.410165478,-61149,1.033863549,14335,128,-284139,-20.49256748,4078.125,2560,128
-4.138122694,-57377,-4.132352964,-57297,0.00223577,31,128,-281491,-20.30158941,4097.65625,3200,128
-3.563962408,-49416,-3.189506911,-44224,1.182866834,16401,128,-275657,-19.88083182,4117.1875,3840,128
-4.135886924,-57346,-4.319436469,-59891,1.033863549,14335,128,-281696,-20.31637434,4136.71875,4480,128
-2.271326455,-31493,-4.378720448,-60713,0.948543662,13152,128,-281531,-20.30447427,4156.25,5120,128
-2.362055464,-32751,-4.378071353,-60704,1.031050805,14296,128,-280959,-20.2632207,4175.78125,5760,128
-1.113341583,-15437,-4.354126972,-60372,1.033863549,14335,128,-280774,-20.2498782,4195.3125,6400,128
-0.595508289,-8257,-4.37706165,-60690,1.029608372,14276,128,-280509,-20.23076597,4214.84375,7040,128
-0.186795019,-2590,-4.362348838,-60486,1.14817633,15920,128,-280590,-20.23660782,4234.375,7680,128
-4.717403617,-65409,-4.361771865,-60478,1.145219343,15879,128,-280639,-20.24014178,4253.90625,8320,128
-4.689564668,-65023,-7.892991053,-109440,1.178106806,16335,128,-280201,-20.2085525,4273.4375,8960,128
-4.715239968,-65379,-7.854478103,-108906,1.181424401,16381,128,-279980,-20.19261362,4292.96875,9600,128
-7.091142784,-98322,-7.850727779,-108854,1.163177629,16128,128,-280020,-20.19549849,4312.5,10240,128
-7.091070663,-98321,-7.837818007,-108675,1.179549239,16355,128,-279709,-20.17306866,4332.03125,10880,128
-7.237549691,-100352,-7.786034678,-107957,1.121635571,15552,128,-278996,-20.12164594,4351.5625,11520,128
-7.167952319,-99387,-7.773269149,-107780,1.173491022,16271,128,-278776,-20.10577918,4371.09375,12160,128
