Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW
mV,No Units,mV,No Units,mV,No Units,No Units,mV,No Units,mSecs,No Units,No Units
-4.786351894,-66365,-24.19745555,-335509,1.172914049,16263,128,14.93076383,207022,156078.125,2560,128
-5.243891507,-72709,-24.05660201,-333556,0.95864069,13292,128,14.78991029,205069,156097.6563,3200,128
-0.517256322,-7172,-24.02385879,-333102,0.572357246,7936,128,14.74461791,204441,156117.1875,3840,128
-0.53535885,-7423,-23.93608677,-331885,0.450111085,6241,128,14.67978056,203542,156136.7188,4480,128
-0.46626633,-6465,-23.93276917,-331839,0.586781572,8136,128,14.62561722,202791,156156.25,5120,128
-0.138473527,-1920,-23.95245838,-332112,0.424724272,5889,128,14.54873556,201725,156175.7813,5760,128
-0.037142639,-515,-23.90875267,-331506,0.334067384,4632,128,14.50409228,201106,156195.3125,6400,128
-0.285096799,-3953,-23.93291341,-331841,0.296275651,4108,128,14.44012039,200219,156214.8438,7040,128
-9.148484367,-126848,-23.89144348,-331266,0.140204446,1944,128,14.40867536,199783,156234.375,7680,128
-8.345337909,-115712,-23.88177918,-331132,0.138473527,1920,128,14.39071708,199534,156253.9063,8320,128
-7.171846887,-99441,-23.88192342,-331134,1.16454794,16147,128,16.55436594,229534,156273.4375,8960,128
-7.312556185,-101392,-23.89115499,-331262,0.003678203,51,128,16.52205545,229086,156292.9688,9600,128
-4.894606458,-67866,-23.83778499,-330522,1.172337076,16255,128,16.5312149,229213,156312.5,10240,128
-5.021973255,-69632,-23.8514881,-330712,0.009808542,136,128,16.5225603,229093,156332.0313,10880,128
-4.888115512,-67776,-23.83468376,-330479,1.147022384,15904,128,16.52212757,229087,156351.5625,11520,128
-4.762984486,-66041,-23.80893633,-330122,1.149979371,15945,128,16.48794192,228613,156371.0938,12160,128
-0.072914967,-1011,-23.80208478,-330027,1.180631063,16370,128,16.39476077,227321,156390.625,12800,128
-0.036565666,-507,-23.83735226,-330516,1.029175643,14270,128,16.31686942,226241,156410.1563,13440,128
-0.240020781,-3328,-23.83872257,-330535,0.959938879,13310,128,16.26234546,225485,156429.6875,14080,128
-0.18463137,-2560,-23.79718051,-329959,1.046845442,14515,128,16.27604857,225675,156449.2188,14720,128
