Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,CAL,RAW,RAW,CAL,RAW,CAL,RAW,CAL,RAW,RAW
No Units,mV,mV,No Units,No Units,mV,No Units,mV,No Units,mSecs,No Units,No Units
-24625,-1.775995109,-11.29619435,-156627,14724,1.061918862,128,0.835673313,11587,14214.84375,7040,128
-8193,-0.590892505,-11.29698769,-156638,16335,1.178106806,128,0.87144564,12083,14234.375,7680,128
-8309,-0.599258613,-11.27830819,-156379,16191,1.167721292,128,0.897770035,12448,14253.90625,8320,128
-913,-0.065847047,-11.27080754,-156275,14342,1.0343684,128,0.968809839,13433,14273.4375,8960,128
-5,-3.61E-04,-11.22169271,-155594,16128,1.163177629,128,1.017491939,14108,14292.96875,9600,128
4038,0.291227137,-11.23914614,-155836,15864,1.144137519,128,0.994124531,13784,14312.5,10240,128
-254976,-18.38928442,-11.29323736,-156586,16065,1.158633966,128,0.844904881,11715,14332.03125,10880,128
8107,0.584690044,-11.28790036,-156512,15416,1.111827029,128,0.832211474,11539,14351.5625,11520,128
-254338,-18.34327082,-11.27852455,-156382,14881,1.073241958,128,0.820816257,11381,14371.09375,12160,128
-254916,-18.38495712,-11.31530658,-156892,14399,1.038479333,128,0.80011735,11094,14390.625,12800,128
14348,1.03480113,-10.92758071,-151516,318,0.022934678,128,1.006890059,13961,14410.15625,13440,128
-227361,-16.39764564,-11.11913575,-154172,961,0.069308885,128,1.259171517,17459,14429.6875,14080,128
33267,2.399270224,-11.33268789,-157133,14534,1.048215753,128,0.614187791,8516,14449.21875,14720,128
-227077,-16.3771631,-11.28537611,-156477,14447,1.041941171,128,0.730519978,10129,14468.75,15360,128
-221426,-15.96960377,-11.26655236,-156216,15615,1.126179233,128,0.851972801,11813,14488.28125,16000,128
-229376,-16.54297072,-11.19024768,-155158,16383,1.181568644,128,0.896616089,12432,14507.8125,16640,128
-228985,-16.51477117,-11.23085215,-155721,14467,1.043383603,128,0.897409427,12443,14527.34375,17280,128
32871,2.370710059,-11.17402031,-154933,15104,1.089325081,128,0.951861257,13198,14546.875,17920,128
34315,2.474853691,-11.15584566,-154681,16002,1.154090304,128,0.987272976,13689,14566.40625,18560,128
-229329,-16.53958101,-11.0866089,-153721,15391,1.110023988,128,1.087449919,15078,14585.9375,19200,128
-229312,-16.53835494,-11.05177415,-153238,15355,1.10742761,128,1.140892046,15819,14605.46875,19840,128
36863,2.658619602,-11.04174924,-153099,0,0,128,1.218783405,16899,14625,20480,128
-226241,-16.31686942,-11.02155519,-152819,255,0.018391015,128,1.282394681,17781,14644.53125,21120,128
-225296,-16.24871448,-11.09346045,-153816,2047,0.147632974,128,1.220009472,16916,14664.0625,21760,128
32828,2.367608829,-11.14610924,-154546,16374,1.18091955,128,1.045691496,14499,14683.59375,22400,128
33664,2.427902511,-11.19724348,-155255,15360,1.107788218,128,0.943206661,13078,14703.125,23040,128
-221216,-15.95445823,-11.23691037,-155805,16383,1.181568644,128,0.864810451,11991,14722.65625,23680,128
-221191,-15.95265519,-11.2560226,-156070,16383,1.181568644,128,0.85327099,11831,14742.1875,24320,128
-221432,-15.9700365,-11.20294108,-155334,16367,1.180414698,128,0.885220872,12274,14761.71875,24960,128
32880,2.371359154,-11.24390617,-155902,16288,1.17471709,128,0.869354113,12054,14781.25,25600,128
-221312,-15.96138191,-11.23121276,-155726,16095,1.160797615,128,0.864449843,11986,14800.78125,26240,128
-228869,-16.50640506,-11.21577873,-155512,14361,1.035738711,128,0.865892275,12006,14820.3125,26880,128
-229373,-16.54275436,-11.19983985,-155291,16335,1.178106806,128,0.865892275,12006,14839.84375,27520,128
33264,2.39905386,-11.210009,-155432,15900,1.146733898,128,0.864738329,11990,14859.375,28160,128
-229361,-16.5418889,-11.21426418,-155491,16001,1.154018182,128,0.854352814,11846,14878.90625,28800,128
-229360,-16.54181678,-11.20149865,-155314,16353,1.179404995,128,0.885509358,12278,14898.4375,29440,128
33854,2.441605621,-11.18354037,-155065,14716,1.061341889,128,0.931955687,12922,14917.96875,30080,128
33786,2.43670135,-11.16370692,-154790,16312,1.176448009,128,1.009197951,13993,14937.5,30720,128
34607,2.495913207,-11.17466941,-154942,16312,1.176448009,128,0.963256474,13356,14957.03125,31360,128
-229362,-16.54196102,-11.18909373,-155142,14527,1.047710901,128,0.860843761,11936,14976.5625,32000,128
-228729,-16.49630803,-11.2096484,-155427,16175,1.166567345,128,0.819013216,11356,14996.09375,32640,128
32864,2.370205208,-11.22190907,-155597,15328,1.105480326,128,0.808844067,11215,15015.625,33280,128
-228929,-16.51073235,-11.19515195,-155226,15599,1.125025287,128,0.808267094,11207,15035.15625,33920,128
-228097,-16.45072716,-11.03280616,-152975,91,0.006563068,128,0.847717625,11754,15054.6875,34560,128
-217031,-15.65262921,-11.27297119,-156305,3847,0.277451906,128,1.177746198,16330,15074.21875,35200,128
36878,2.659701426,-11.38807731,-157901,15376,1.108942164,128,0.760883184,10550,15093.75,35840,128
-229248,-16.53373915,-11.17827549,-154992,15363,1.108004583,128,0.66863962,9271,15113.28125,36480,128
33728,2.432518295,-11.14416196,-154519,16380,1.181352279,128,0.898779738,12462,15132.8125,37120,128
-229362,-16.54196102,-11.11711635,-154144,15365,1.108148826,128,0.927412024,12859,15152.34375,37760,128
33790,2.436989836,-11.11661149,-154137,15872,1.144714492,128,0.944721215,13099,15171.875,38400,128
-221153,-15.94991457,-11.05112506,-153229,16271,1.173491022,128,1.002274275,13897,15191.40625,39040,128
36832,2.656383831,-11.05804873,-153325,16382,1.181496523,128,1.032637481,14318,15210.9375,39680,128
36079,2.602076245,-10.99811566,-152494,16380,1.181352279,128,1.096104514,15198,15230.46875,40320,128
44064,3.17796745,-10.96883428,-152088,15888,1.145868438,128,1.146084803,15891,15250,40960,128
-217085,-15.65652378,-10.91048788,-151279,231,0.016660096,128,1.255493314,17408,15269.53125,41600,128
-213956,-15.43085521,-10.92693161,-151507,1551,0.111860646,128,1.294583237,17950,15289.0625,42240,128
42944,3.097191226,-10.95412146,-151884,504,0.036349301,128,1.254050881,17388,15308.59375,42880,128
40990,2.956265564,-11.02141094,-152817,120,0.008654595,128,1.123222247,15574,15328.125,43520,128
-227833,-16.43168705,-11.12865581,-154304,16195,1.168009778,128,0.975805637,13530,15347.65625,44160,128
33220,2.395880508,-11.12050606,-154191,16376,1.181063793,128,0.936571471,12986,15367.1875,44800,128
32771,2.363497897,-11.13139643,-154342,15872,1.144714492,128,0.909886469,12616,15386.71875,45440,128
40962,2.954246158,-11.11978485,-154181,16260,1.172697684,128,0.936643593,12987,15406.25,46080,128
-221081,-15.94472181,-11.14437832,-154522,15871,1.14464237,128,0.908588279,12598,15425.78125,46720,128
-221181,-15.95193397,-11.12375154,-154236,15631,1.127333179,128,0.911401023,12637,15445.3125,47360,128
-227389,-16.39966505,-11.12706913,-154282,15619,1.12646772,128,0.906280387,12566,15464.84375,48000,128
41095,2.963838335,-11.0709585,-153504,16350,1.17918863,128,0.940610282,13042,15484.375,48640,128
34688,2.501755059,-11.12656428,-154275,15422,1.112259759,128,0.904477346,12541,15503.90625,49280,128
40960,2.954101915,-11.11242844,-154079,15384,1.109519137,128,0.908804644,12601,15523.4375,49920,128
-228233,-16.4605357,-11.12591518,-154266,15361,1.10786034,128,0.90642463,12568,15542.96875,50560,128
-220416,-15.89676093,-11.09576834,-153848,16319,1.17695286,128,0.946091526,13118,15562.5,51200,128
-227380,-16.39901595,-11.06987668,-153489,16127,1.163105507,128,1.042229657,14451,15582.03125,51840,128
-227384,-16.39930444,-11.09115256,-153784,15613,1.12603499,128,1.046412712,14509,15601.5625,52480,128
-227392,-16.39988141,-11.08848406,-153747,15871,1.14464237,128,0.905270684,12552,15621.09375,53120,128
-220260,-15.88550995,-11.11927999,-154174,15379,1.109158529,128,0.848366719,11763,15640.625,53760,128
40967,2.954606766,-11.11012055,-154047,15798,1.139377491,128,0.85593949,11868,15660.15625,54400,128
40967,2.954606766,-11.12699701,-154281,16070,1.158994574,128,0.828244785,11484,15679.6875,55040,128
-221183,-15.95207822,-10.91575276,-151352,55,0.00396669,128,0.900294292,12483,15699.21875,55680,128
-214016,-15.4351825,-10.69318541,-148266,1543,0.111283673,128,1.428296736,19804,15718.75,56320,128
-222093,-16.0177089,-11.41115623,-158221,14419,1.039921765,128,0.892144548,12370,15738.28125,56960,128
41731,3.00970769,-11.07067002,-153500,240,0.017309191,128,0.735856978,10203,15757.8125,57600,128
40975,2.955183739,-11.08632041,-153717,15928,1.148753303,128,0.857958896,11896,15777.34375,58240,128
41080,2.96275651,-11.02653158,-152888,15422,1.112259759,128,0.906785239,12573,15796.875,58880,128
43196,3.115365877,-11.03035403,-152941,15872,1.144714492,128,0.920199862,12759,15816.40625,59520,128
41912,3.022761705,-10.98520589,-152315,16322,1.177169225,128,0.979411719,13580,15835.9375,60160,128
42995,3.100869429,-10.98347497,-152291,15360,1.107788218,128,0.999317288,13856,15855.46875,60800,128
44641,3.21958163,-10.95260691,-151863,16376,1.181063793,128,1.033430819,14329,15875,61440,128
45464,3.278937731,-10.89418839,-151053,16376,1.181063793,128,1.137935059,15778,15894.53125,62080,128
-216641,-15.62450178,-10.86223851,-150610,287,0.020698907,128,1.206955458,16735,15914.0625,62720,128
-215097,-15.51314598,-10.80187271,-149773,1787,0.128881351,128,1.293501412,17935,15933.59375,63360,128
48383,3.489460765,-10.84593902,-150384,1536,0.110778822,128,1.267898234,17580,15953.125,64000,128
47585,3.431907705,-10.95217418,-151857,16318,1.176880738,128,1.071871647,14862,15972.65625,64640,128
45032,3.247781187,-11.0239352,-152852,16256,1.172409197,128,0.941547864,13055,15992.1875,65280,128
-218881,-15.78605423,-11.04102803,-153089,16383,1.181568644,128,0.875340208,12137,16011.71875,384,128
41265,2.976099011,-11.08076705,-153640,16138,1.163898845,128,0.83156238,11530,16031.25,1024,128
43084,3.107288254,-11.06316937,-153396,16152,1.164908548,128,0.855795247,11866,16050.78125,1664,128
-219057,-15.79874763,-11.04737473,-153177,16263,1.172914049,128,0.842236381,11678,16070.3125,2304,128
-220721,-15.91875803,-11.04348016,-153123,15429,1.11276461,128,0.826585987,11461,16089.84375,2944,128
43012,3.102095497,-11.06764091,-153458,16322,1.177169225,128,0.826585987,11461,16109.375,3584,128
43008,3.10180701,-11.05898631,-153338,15748,1.13577141,128,0.836250286,11595,16128.90625,4224,128
41817,3.015910151,-11.06807364,-153464,15392,1.11009611,128,0.814469554,11293,16148.4375,4864,128
41458,2.990018486,-11.03972984,-153071,16140,1.164043088,128,0.825504163,11446,16167.96875,5504,128
43070,3.106278551,-11.03186858,-152962,15374,1.108797921,128,0.813387729,11278,16187.5,6144,128
43015,3.102311862,-11.04571593,-153154,15872,1.144714492,128,0.848871571,11770,16207.03125,6784,128
-218124,-15.73145816,-11.00720298,-152620,15903,1.146950262,128,0.936355106,12983,16226.5625,7424,128
-217092,-15.65702863,-11.00922239,-152648,15857,1.143632667,128,0.958712811,13293,16246.09375,8064,128
45055,3.249439984,-10.97640705,-152193,16184,1.16721644,128,0.87187837,12089,16265.625,8704,128
44016,3.174505612,-11.01203513,-152687,16128,1.163177629,128,0.791534876,10975,16285.15625,9344,128
36863,2.658619602,-11.04210985,-153104,16260,1.172697684,128,0.755978913,10482,16304.6875,9984,128
41856,3.018722894,-11.02941645,-152928,16142,1.164187332,128,0.759873481,10536,16324.21875,10624,128
41857,3.018795016,-11.0159297,-152741,16318,1.176880738,128,0.731024829,10136,16343.75,11264,128
48639,3.507923902,-10.67501076,-148014,1010,0.072842845,128,0.955900068,13254,16363.28125,11904,128
47246,3.407458473,-11.3080223,-156791,2,1.44E-04,128,0.880388722,12207,16382.8125,12544,128
-220224,-15.88291358,-11.08516646,-153701,255,0.018391015,128,0.516823592,7166,16402.34375,13184,128
-217883,-15.71407684,-11.00907815,-152646,16151,1.164836426,128,0.771196576,10693,16421.875,13824,128
-220031,-15.8689941,-10.97539735,-152179,16189,1.167577048,128,0.809781648,11228,16441.40625,14464,128
42977,3.09957124,-10.9495778,-151821,16316,1.176736495,128,0.852333409,11818,16460.9375,15104,128
44670,3.221673157,-10.92145037,-151431,16064,1.158561845,128,0.879595385,12196,16480.46875,15744,128
-216963,-15.64772494,-10.92260431,-151447,15999,1.153873939,128,0.894236075,12399,16500,16384,128
48638,3.50785178,-10.8538724,-150494,16352,1.179332874,128,0.963617082,13361,16519.53125,17024,128
-216959,-15.64743646,-10.82610557,-150109,125,0.009015204,128,1.021891358,14169,16539.0625,17664,128
48896,3.526459161,-10.7538397,-149107,16382,1.181496523,128,1.135266559,15741,16558.59375,18304,128
48120,3.470492777,-10.73963174,-148910,206,0.014857056,128,1.197651767,16606,16578.125,18944,128
-213057,-15.36601786,-10.74309358,-148958,9,6.49E-04,128,1.19202628,16528,16597.65625,19584,128
-213028,-15.36392633,-10.795526,-149685,15935,1.149258155,128,1.103749407,15304,16617.1875,20224,128
48061,3.466237601,-10.86144517,-150599,16352,1.179332874,128,0.965059515,13381,16636.71875,20864,128
-217185,-15.66373595,-10.94799113,-151799,15393,1.110168232,128,0.81915746,11358,16656.25,21504,128
