Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp,ECG LA-RA,ECG LA-RA
CAL,RAW,CAL,RAW,RAW,CAL,CAL,RAW
mV,No Units,mV,No Units,No Units,mSecs,mV,No Units
-13.40464492,-1452,-3.55426191,-385,64,1.953125,-22.54417554,-2442
24.28899503,2631,-302.5092318,-32768,192,5.859375,-8.733329264,-946
24.22437208,2624,-302.5092318,-32768,320,9.765625,-8.548692282,-926
23.93818476,2593,-302.5092318,-32768,448,13.671875,-8.56715598,-928
23.77201147,2575,-302.5092318,-32768,576,17.578125,-8.557924131,-927
23.5319834,2549,-302.5092318,-32768,704,21.484375,-8.604083377,-932
23.4765923,2543,-302.5092318,-32768,832,25.390625,-8.484069338,-919
23.4765923,2543,-302.5092318,-32768,960,29.296875,-8.419446394,-912
23.44889676,2540,-302.5092318,-32768,1088,33.203125,-8.271736808,-896
23.33811457,2528,-302.5092318,-32768,1216,37.109375,-8.280968657,-897
23.12578204,2505,-302.5092318,-32768,1344,41.015625,-8.3640553,-906
23.14424574,2507,-302.5092318,-32768,1472,44.921875,-8.225577563,-891
23.03346355,2495,-302.5092318,-32768,1600,48.828125,-8.179418317,-886
22.97807245,2489,-302.5092318,-32768,1728,52.734375,-8.170186468,-885
22.94114505,2485,-302.5092318,-32768,1856,56.640625,-8.160954619,-884
22.83959471,2474,-302.5092318,-32768,1984,60.546875,-8.244041261,-893
22.89498581,2480,-302.5092318,-32768,2112,64.453125,-8.096331675,-877
22.87652211,2478,-302.5092318,-32768,2240,68.359375,-8.068636128,-874
22.88575396,2479,-302.5092318,-32768,2368,72.265625,-7.967085788,-863
22.81189917,2471,-302.5092318,-32768,2496,76.171875,-8.022476882,-869
22.64572588,2453,-302.5092318,-32768,2624,80.078125,-8.133259072,-881
22.70111698,2459,-302.5092318,-32768,2752,83.984375,-8.059404279,-873
22.81189917,2471,-302.5092318,-32768,2880,87.890625,-7.93939024,-860
22.80266732,2470,-302.5092318,-32768,3008,91.796875,-7.847071749,-850
22.71958068,2461,-302.5092318,-32768,3136,95.703125,-7.957853938,-862
22.65495773,2454,-302.5092318,-32768,3264,99.609375,-7.994781335,-866
22.71958068,2461,-302.5092318,-32768,3392,103.515625,-7.911694693,-857
22.70111698,2459,-302.5092318,-32768,3520,107.421875,-7.93939024,-860
22.79343547,2469,-302.5092318,-32768,3648,111.328125,-7.791680654,-844
22.68265328,2457,-302.5092318,-32768,3776,115.234375,-7.930158391,-859
22.61803034,2450,-302.5092318,-32768,3904,119.140625,-7.967085788,-863
22.60879849,2449,-302.5092318,-32768,4032,123.046875,-7.967085788,-863
22.56263924,2444,-302.5092318,-32768,4160,126.953125,-7.967085788,-863
22.64572588,2453,-302.5092318,-32768,4288,130.859375,-7.883999145,-854
22.55340739,2443,-302.5092318,-32768,4416,134.765625,-7.967085788,-863
22.47032075,2434,-302.5092318,-32768,4544,138.671875,-8.077867977,-875
22.4610889,2433,-302.5092318,-32768,4672,142.578125,-8.087099826,-876
22.4980163,2437,-302.5092318,-32768,4800,146.484375,-7.994781335,-866
22.55340739,2443,-302.5092318,-32768,4928,150.390625,-7.911694693,-857
22.4795526,2435,-302.5092318,-32768,5056,154.296875,-7.985549486,-865
22.39646596,2426,-302.5092318,-32768,5184,158.203125,-8.004013184,-867
22.36877041,2423,-302.5092318,-32768,5312,162.109375,-8.142490921,-882
22.32261116,2418,-302.5092318,-32768,5440,166.015625,-8.124027223,-880
22.35030671,2421,-302.5092318,-32768,5568,169.921875,-8.013245033,-868
22.37800226,2424,-302.5092318,-32768,5696,173.828125,-8.013245033,-868
