Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp,ECG LA-RA,ECG LA-RA
RAW,CAL,CAL,RAW,CAL,RAW,RAW,CAL
No Units,mV,mV,No Units,mSecs,No Units,No Units,mV
-1,-0.009231849,-302.5092318,-32768,1.953125,64,0,0
-1728,-15.95263527,-302.5092318,-32768,5.859375,192,-1177,-10.86588641
-1700,-15.6941435,-1.209372234,-131,9.765625,320,-1175,-10.84742271
-1662,-15.34333323,-1.338618122,-145,13.671875,448,-1171,-10.81049532
-1600,-14.77095859,-0.147709586,-16,17.578125,576,-1151,-10.62585833
-1383,-12.76764733,-4.726706748,-512,37.109375,1216,-1150,-10.61662648
-1480,-13.66313669,-1.117053743,-121,44.921875,1472,-1148,-10.59816279
-1565,-14.44784387,-1.172444838,-127,48.828125,1600,-1149,-10.60739463
-1601,-14.78019044,-1.181676687,-128,52.734375,1728,-1141,-10.53353984
-1608,-14.84481338,-0.895489364,-97,56.640625,1856,-1129,-10.42275765
-1602,-14.78942228,-1.117053743,-121,60.546875,1984,-1108,-10.22888882
-1606,-14.82634968,-1.04319895,-113,64.453125,2112,-1112,-10.26581622
-1599,-14.76172674,-0.849330119,-92,68.359375,2240,-1105,-10.20119327
-1598,-14.75249489,-1.181676687,-128,72.265625,2368,-1119,-10.33043916
-1587,-14.65094455,-1.033967101,-112,76.171875,2496,-1100,-10.15503403
-1581,-14.59555345,-1.024735252,-111,80.078125,2624,-1094,-10.09964293
-1590,-14.6786401,-0.960112308,-104,83.984375,2752,-1101,-10.16426588
-1583,-14.61401715,-1.033967101,-112,87.890625,2880,-1104,-10.19196142
-1583,-14.61401715,-1.024735252,-111,91.796875,3008,-1098,-10.13657033
-1580,-14.5863216,-1.04319895,-113,95.703125,3136,-1098,-10.13657033
-1569,-14.48477126,-0.895489364,-97,99.609375,3264,-1083,-9.998092593
-1576,-14.54939421,-0.636997589,-69,103.515625,3392,-1091,-10.07194739
-1586,-14.6417127,-1.033967101,-112,107.421875,3520,-1103,-10.18272958
-1585,-14.63248085,-0.009231849,-1,111.328125,3648,-1107,-10.21965697
-1574,-14.53093051,-1.181676687,-128,115.234375,3776,-1096,-10.11810663
-1575,-14.54016236,-0.960112308,-104,119.140625,3904,-1090,-10.06271554
-1576,-14.54939421,-0.590838343,-64,123.046875,4032,-1096,-10.11810663
-1580,-14.5863216,-0.895489364,-97,126.953125,4160,-1091,-10.07194739
-1575,-14.54016236,-1.04319895,-113,130.859375,4288,-1095,-10.10887478
-1570,-14.49400311,-0.563142796,-61,134.765625,4416,-1082,-9.988860744
-1566,-14.45707572,-0.267723624,-29,138.671875,4544,-1079,-9.961165197
-1568,-14.47553941,-0.230796228,-25,142.578125,4672,-1082,-9.988860744
-1568,-14.47553941,-0.895489364,-97,146.484375,4800,-1089,-10.05348369
-1576,-14.54939421,-0.895489364,-97,150.390625,4928,-1098,-10.13657033
-1556,-14.36475723,-0.452360607,-49,154.296875,5056,-1078,-9.951933348
-1564,-14.43861202,-0.286187323,-31,158.203125,5184,-1075,-9.9242378
-1558,-14.38322092,-0.046159246,-5,162.109375,5312,-1068,-9.859614856
-1559,-14.39245277,-0.009231849,-1,166.015625,5440,-1076,-9.933469649
-1572,-14.51246681,-0.581606494,-63,169.921875,5568,-1094,-10.09964293
-1556,-14.36475723,-0.369273965,-40,173.828125,5696,-1067,-9.850383007
-1548,-14.29090243,-0.249259926,-27,177.734375,5824,-1072,-9.896542253
-1529,-14.1154973,-0.036927396,-4,181.640625,5952,-1051,-9.702673421
-1547,-14.28167058,-0.073854793,-8,185.546875,6080,-1071,-9.887310404
-1545,-14.26320688,-0.009231849,-1,189.453125,6208,-1067,-9.850383007
-1542,-14.23551134,-0.083086642,-9,193.359375,6336,-1063,-9.813455611
-1545,-14.26320688,-0.295419172,-32,197.265625,6464,-1058,-9.767296365
-1521,-14.04164251,-0.221564379,-24,201.171875,6592,-1041,-9.61035493
-1536,-14.18012024,-0.590838343,-64,205.078125,6720,-1066,-9.841151158
-1537,-14.18935209,-0.295419172,-32,208.984375,6848,-1062,-9.804223762
-1530,-14.12472915,-0.147709586,-16,212.890625,6976,-1052,-9.711905271
-1531,-14.133961,-0.009231849,-1,216.796875,7104,-1052,-9.711905271
-1515,-13.98625141,-0.018463698,-2,220.703125,7232,-1046,-9.656514176
-1527,-14.0970336,-0.295419172,-32,224.609375,7360,-1056,-9.748832667
-1533,-14.1524247,-0.581606494,-63,228.515625,7488,-1065,-9.831919309
-1526,-14.08780175,-0.046159246,-5,232.421875,7616,-1056,-9.748832667
-1524,-14.06933805,-0.286187323,-31,236.328125,7744,-1055,-9.739600818
-1517,-14.00471511,-0.156941435,-17,240.234375,7872,-1040,-9.601123081
-1523,-14.0601062,-0.120014039,-13,244.140625,8000,-1053,-9.72113712
-1526,-14.08780175,-0.295419172,-32,248.046875,8128,-1058,-9.767296365
-1521,-14.04164251,-0.073854793,-8,251.953125,8256,-1055,-9.739600818
-1519,-14.02317881,-0.156941435,-17,255.859375,8384,-1051,-9.702673421
-1520,-14.03241066,-0.175405133,-19,259.765625,8512,-1043,-9.628818628
-1531,-14.133961,-0.31388287,-34,263.671875,8640,-1058,-9.767296365
-1543,-14.24474319,-0.563142796,-61,267.578125,8768,-1066,-9.841151158
-1552,-14.32782983,-0.147709586,-16,271.484375,8896,-1077,-9.942701498
-1547,-14.28167058,-0.590838343,-64,275.390625,9024,-1069,-9.868846706
-1545,-14.26320688,-0.480056154,-52,279.296875,9152,-1059,-9.776528214
-1548,-14.29090243,-0.5262154,-57,283.203125,9280,-1069,-9.868846706
-1545,-14.26320688,-0.009231849,-1,287.109375,9408,-1061,-9.794991913
-1561,-14.41091647,-0.018463698,-2,291.015625,9536,-1073,-9.905774102
-1557,-14.37398907,-0.064622944,-7,294.921875,9664,-1066,-9.841151158
-1564,-14.43861202,-0.009231849,-1,298.828125,9792,-1065,-9.831919309
-1568,-14.47553941,-0.563142796,-61,302.734375,9920,-1069,-9.868846706
-1564,-14.43861202,-0.009231849,-1,306.640625,10048,-1066,-9.841151158
-1573,-14.52169866,-0.286187323,-31,310.546875,10176,-1077,-9.942701498
-1565,-14.44784387,-0.036927396,-4,314.453125,10304,-1070,-9.878078555
-1563,-14.42938017,-0.009231849,-1,318.359375,10432,-1067,-9.850383007
-1567,-14.46630757,-0.073854793,-8,322.265625,10560,-1069,-9.868846706
-1571,-14.50323496,-0.027695547,-3,326.171875,10688,-1073,-9.905774102
-1573,-14.52169866,-0.221564379,-24,330.078125,10816,-1082,-9.988860744
-1562,-14.42014832,-0.452360607,-49,333.984375,10944,-1083,-9.998092593
-1565,-14.44784387,-0.064622944,-7,337.890625,11072,-1079,-9.961165197
-1575,-14.54016236,-0.609302042,-66,341.796875,11200,-1090,-10.06271554
-1560,-14.40168462,-0.258491775,-28,345.703125,11328,-1083,-9.998092593
-1579,-14.57708975,-0.775475326,-84,349.609375,11456,-1107,-10.21965697
-1567,-14.46630757,-0.923184912,-100,353.515625,11584,-1095,-10.10887478
-1572,-14.51246681,-0.664693136,-72,357.421875,11712,-1093,-10.09041108
-1570,-14.49400311,-0.036927396,-4,361.328125,11840,-1091,-10.07194739
