Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp,ECG LA-RA,ECG LA-RA
CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW
mV,No Units,mV,No Units,mSecs,No Units,mV,No Units
225.6910154,24447,-194.201178,-21036,1.953125,64,-14.34629353,-1554
225.6910154,24447,0,0,5.859375,192,-14.34629353,-1554
-0.009231849,-1,-302.5092318,-32768,9.765625,320,0,0
-0.009231849,-1,-302.5092318,-32768,13.671875,448,0,0
-0.009231849,-1,-302.5092318,-32768,17.578125,576,0,0
-0.009231849,-1,0,0,33.203125,1088,0.009231849,1
-0.009231849,-1,-302.5092318,-32768,37.109375,1216,0,0
-0.009231849,-1,-302.5092318,-32768,41.015625,1344,0,0
-0.009231849,-1,-302.5092318,-32768,44.921875,1472,0,0
-0.009231849,-1,-302.5092318,-32768,48.828125,1600,0,0
-0.009231849,-1,-302.5092318,-32768,52.734375,1728,0,0
-0.009231849,-1,-302.5092318,-32768,56.640625,1856,0,0
-0.009231849,-1,-302.5092318,-32768,60.546875,1984,0,0
-0.009231849,-1,-302.5092318,-32768,64.453125,2112,0,0
-0.009231849,-1,-302.5092318,-32768,68.359375,2240,0,0
-0.009231849,-1,-302.5092318,-32768,72.265625,2368,0,0
-0.009231849,-1,-302.5092318,-32768,76.171875,2496,0,0
-0.009231849,-1,-302.5092318,-32768,80.078125,2624,0,0
-0.009231849,-1,-302.5092318,-32768,83.984375,2752,0,0
-0.009231849,-1,-302.5092318,-32768,87.890625,2880,0,0
-0.009231849,-1,-302.5092318,-32768,91.796875,3008,0,0
-0.009231849,-1,-302.5092318,-32768,95.703125,3136,0,0
-0.009231849,-1,-302.5092318,-32768,99.609375,3264,0,0
-0.009231849,-1,-302.5092318,-32768,103.515625,3392,0,0
-0.009231849,-1,-302.5092318,-32768,107.421875,3520,0,0
-0.009231849,-1,-302.5092318,-32768,111.328125,3648,0,0
-0.009231849,-1,-302.5092318,-32768,115.234375,3776,0,0
-0.009231849,-1,-302.5092318,-32768,119.140625,3904,0,0
-0.009231849,-1,-302.5092318,-32768,123.046875,4032,0,0
-0.009231849,-1,-302.5092318,-32768,126.953125,4160,0,0
-0.009231849,-1,-302.5092318,-32768,130.859375,4288,0,0
-0.009231849,-1,-302.5092318,-32768,134.765625,4416,0,0
-0.009231849,-1,-302.5092318,-32768,138.671875,4544,0,0
-0.009231849,-1,-302.5092318,-32768,142.578125,4672,0,0
-0.009231849,-1,-302.5092318,-32768,146.484375,4800,0,0
-0.009231849,-1,-302.5092318,-32768,150.390625,4928,0,0
-0.009231849,-1,-302.5092318,-32768,154.296875,5056,0,0
-0.009231849,-1,-302.5092318,-32768,158.203125,5184,0,0
-0.009231849,-1,-302.5092318,-32768,162.109375,5312,0,0
-0.009231849,-1,-302.5092318,-32768,166.015625,5440,0,0
-0.009231849,-1,-302.5092318,-32768,169.921875,5568,0,0
-0.009231849,-1,-302.5092318,-32768,173.828125,5696,0,0
-0.009231849,-1,-302.5092318,-32768,177.734375,5824,0,0
-0.009231849,-1,-302.5092318,-32768,181.640625,5952,0,0
-0.009231849,-1,-302.5092318,-32768,185.546875,6080,0,0
-0.009231849,-1,-302.5092318,-32768,189.453125,6208,0,0
-0.009231849,-1,-302.5092318,-32768,193.359375,6336,0,0
-0.009231849,-1,-302.5092318,-32768,197.265625,6464,0,0
-0.009231849,-1,-302.5092318,-32768,201.171875,6592,0,0
-0.009231849,-1,-302.5092318,-32768,205.078125,6720,0,0
-0.009231849,-1,-302.5092318,-32768,208.984375,6848,0,0
-0.009231849,-1,-302.5092318,-32768,212.890625,6976,0,0
-0.009231849,-1,-302.5092318,-32768,216.796875,7104,0,0
-0.009231849,-1,-302.5092318,-32768,220.703125,7232,0,0
-0.009231849,-1,-302.5092318,-32768,224.609375,7360,0,0
-0.009231849,-1,-302.5092318,-32768,228.515625,7488,0,0
-0.009231849,-1,-302.5092318,-32768,232.421875,7616,0,0
-0.009231849,-1,-302.5092318,-32768,236.328125,7744,0,0
-0.009231849,-1,-302.5092318,-32768,240.234375,7872,0,0
-0.009231849,-1,-302.5092318,-32768,244.140625,8000,0,0
-0.009231849,-1,-302.5092318,-32768,248.046875,8128,0,0
-0.009231849,-1,-302.5092318,-32768,251.953125,8256,0,0
-0.009231849,-1,-302.5092318,-32768,255.859375,8384,0,0
-0.009231849,-1,-302.5092318,-32768,259.765625,8512,0,0
-0.009231849,-1,-302.5092318,-32768,263.671875,8640,0,0
-0.009231849,-1,-302.5092318,-32768,267.578125,8768,0,0
-0.009231849,-1,-302.5092318,-32768,271.484375,8896,0,0
-0.009231849,-1,-302.5092318,-32768,275.390625,9024,0,0
-0.009231849,-1,-302.5092318,-32768,279.296875,9152,0,0
-0.009231849,-1,-302.5092318,-32768,283.203125,9280,0,0
-0.009231849,-1,-302.5092318,-32768,287.109375,9408,0,0
-0.009231849,-1,-302.5092318,-32768,291.015625,9536,0,0
-0.009231849,-1,-302.5092318,-32768,294.921875,9664,0,0
-0.009231849,-1,-302.5092318,-32768,298.828125,9792,0,0
-0.009231849,-1,-302.5092318,-32768,302.734375,9920,0,0
-0.009231849,-1,-302.5092318,-32768,306.640625,10048,0,0
-0.009231849,-1,-302.5092318,-32768,310.546875,10176,0,0
-0.009231849,-1,-302.5092318,-32768,314.453125,10304,0,0
-0.009231849,-1,-302.5092318,-32768,318.359375,10432,0,0
-0.009231849,-1,-302.5092318,-32768,322.265625,10560,0,0
-0.009231849,-1,-302.5092318,-32768,326.171875,10688,0,0
