Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG LA-RA,ECG LA-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp
CAL,RAW,CAL,RAW,RAW,CAL,CAL,RAW
mV,No Units,mV,No Units,No Units,mV,mSecs,No Units
-3.631540374,-50353,-455.5821598,-6316859,-44585,-3.215542819,1.953125,64
-181.6219505,-2518273,-313.1762008,-4342334,-3236173,-233.3980678,3.90625,128
-3.631540374,-50353,-455.5821598,-6316859,0,0,5.859375,192
-181.6219505,-2518273,-313.1762008,-4342334,0,0,7.8125,256
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,9.765625,320
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,11.71875,384
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,13.671875,448
2.36320941,32767,-2.363281532,-32768,-32768,-2.363281532,15.625,512
2.36320941,32767,-2.363281532,-32768,-32768,-2.363281532,17.578125,576
2.36320941,32767,-2.363281532,-32768,-128,-0.009231568,19.53125,640
2.36320941,32767,-2.363281532,-32768,65535,4.726490942,21.484375,704
3.544922298,49152,2.36320941,32767,2047,0.147632974,23.4375,768
0.013847353,192,0.009159447,127,63,0.004543663,25.390625,832
-605.0000721,-8388608,-302.5000361,-4194304,0,0,27.34375,896
-605.0000721,-8388608,-302.5000361,-4194304,0,0,29.296875,960
-605.0000721,-8388608,-302.5000361,-4194304,49152,3.544922298,31.25,1024
-605.0000721,-8388608,-302.5000361,-4194304,240,0.017309191,33.203125,1088
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,35.15625,1152
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,37.109375,1216
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,39.0625,1280
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,41.015625,1344
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,42.96875,1408
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,44.921875,1472
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,46.875,1536
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,48.828125,1600
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,50.78125,1664
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,52.734375,1728
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,54.6875,1792
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,56.640625,1856
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,58.59375,1920
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,60.546875,1984
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,62.5,2048
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,64.453125,2112
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,66.40625,2176
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,68.359375,2240
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,70.3125,2304
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,72.265625,2368
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,74.21875,2432
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,76.171875,2496
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,78.125,2560
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,80.078125,2624
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,82.03125,2688
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,83.984375,2752
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,85.9375,2816
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,87.890625,2880
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,89.84375,2944
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,91.796875,3008
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,93.75,3072
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,95.703125,3136
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,97.65625,3200
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,99.609375,3264
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,101.5625,3328
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,103.515625,3392
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,105.46875,3456
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,107.421875,3520
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,109.375,3584
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,111.328125,3648
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,113.28125,3712
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,115.234375,3776
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,117.1875,3840
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,119.140625,3904
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,121.09375,3968
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,123.046875,4032
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,125,4096
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,126.953125,4160
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,128.90625,4224
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,130.859375,4288
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,132.8125,4352
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,134.765625,4416
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,136.71875,4480
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,138.671875,4544
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,140.625,4608
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,142.578125,4672
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,144.53125,4736
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,146.484375,4800
605,8388607,-605.0000721,-8388608,-8388608,-605.0000721,148.4375,4864
