Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,CAL,RAW,CAL,RAW,RAW,CAL,RAW,RAW,CAL,RAW
No Units,mV,mV,No Units,mV,No Units,No Units,mV,No Units,No Units,mSecs,No Units
58112,4.191132091,-196.1523671,-2719744,-1.052398807,-14592,0,-37.0001986,-513025,64,36001.95313,47
64763,4.670813044,-248.1445608,-3440640,-1.163249751,-16129,0,-37.20329311,-515841,128,36003.90625,32
-65787,-4.744665592,-4.791977381,-66443,0.222639468,3087,128,-28.11827578,-389873,192,36005.85938,128
-65787,-4.744665592,-4.763705702,-66051,0.222639468,3087,128,-28.03072012,-388659,256,36007.8125,128
-31880,-2.299237525,-4.683722816,-64942,0.517400565,7174,128,-27.89736723,-386810,320,36009.76563,128
-15112,-1.089902054,-4.64052196,-64343,0.551586217,7648,128,-27.81010006,-385600,384,36011.71875,128
-7687,-0.55439896,-4.620183661,-64061,1.145219343,15879,128,-27.72896322,-384475,448,36013.67188,128
-6892,-0.497062266,-4.62588127,-64140,1.181568644,16383,128,-27.67732414,-383759,512,36015.625,128
-3321,-0.239515929,-4.589892577,-63641,1.145652073,15885,128,-27.5775078,-382375,576,36017.57813,128
-128,-0.009231568,-4.624943689,-64127,1.037397508,14384,128,-27.56755502,-382237,640,36019.53125,128
-65056,-4.691944682,-4.668577274,-64732,1.159066696,16071,128,-27.5314942,-381737,704,36021.48438,128
-65025,-4.689708911,-4.546475356,-63039,1.181496523,16382,128,-27.38054363,-379644,768,36023.4375,128
-49649,-3.580766747,-27.35703198,-379318,0,0,158,-302.5000361,-4194304,832,36025.39063,128
8388360,604.982186,-155.9944673,-2162936,1.037974481,14392,133,4.61967881,64054,896,36027.34375,0
8161,0.588584612,-155.9944673,-2162936,0.443115287,6144,133,4.61967881,64054,960,36029.29688,159
-63556,-4.583762238,-27.18285825,-376903,0,0,158,-302.5000361,-4194304,1024,36031.25,0
-262144,-18.90625225,-27.18285825,-376903,0,0,158,-302.5000361,-4194304,1088,36033.20313,158
30720,2.215576436,-289.5019876,-4014080,1.03393567,14336,1,-401.7756023,-5570806,1152,36035.15625,0
63,0.004543663,0.018030407,250,0.013847353,192,137,58.43121272,810176,1216,36037.10938,128
-65533,-4.726346699,0.018030407,250,0.018391015,255,137,58.43121272,810176,1280,36039.0625,0
-262144,-18.90625225,-4.571934291,-63392,0.523530903,7259,128,-27.07885886,-375461,1344,36041.01563,128
24576,1.772461149,-530.5567039,-7356416,1.164259453,16143,1,510.4509968,7077641,1408,36042.96875,0
-262080,-18.90163647,-4.499019325,-62381,0.148209947,2055,128,-26.98697591,-374187,1472,36044.92188,128
-32768,-2.363281532,-4.489715635,-62252,0.166023989,2302,128,-26.92581677,-373339,1536,36046.875,128
-62464,-4.50500542,-4.502120555,-62424,0.138545649,1921,128,-26.91600822,-373203,1600,36048.82813,128
-32705,-2.358737869,-4.416944911,-61243,0.443980747,6156,128,-26.84431933,-372209,1664,36050.78125,128
-32377,-2.335081975,-4.444206887,-61621,0.461289938,6396,128,-26.82751499,-371976,1728,36052.73438,128
-28676,-2.068159827,-4.459929402,-61839,0.452274734,6271,128,-26.81561492,-371811,1792,36054.6875,128
-28721,-2.0714053,-4.471468862,-61999,0.425661853,5902,128,-26.80068574,-371604,1856,36056.64063,128
-30976,-2.234039573,-4.483873783,-62171,0.410227824,5688,128,-26.78359291,-371367,1920,36058.59375,128
-31741,-2.289212619,-4.51741034,-62636,0.369551226,5124,128,-26.79707966,-371554,1984,36060.54688,128
-28800,-2.077102909,-4.474209484,-62037,0.435831003,6043,128,-26.74767634,-370869,2048,36062.5,128
-32768,-2.363281532,-4.453726942,-61753,0.443115287,6144,128,-26.71197614,-370374,2112,36064.45313,128
-32272,-2.327509204,-4.425887993,-61367,0.452058369,6268,128,-26.67577108,-369872,2176,36066.40625,128
-32761,-2.36277668,-4.439302616,-61553,0.590748261,8191,128,-26.6758432,-369873,2240,36068.35938,128
-28672,-2.06787134,-4.372590109,-60628,0.569905111,7902,128,-26.60718341,-368921,2304,36070.3125,128
-28660,-2.067005881,-4.417305519,-61248,0.586204599,8128,128,-26.62153561,-369120,2368,36072.26563,128
-31777,-2.291808998,-4.437499575,-61528,0.582670639,8079,128,-26.62593503,-369181,2432,36074.21875,128
-26624,-1.920166245,-4.434326224,-61484,0.55569715,7705,128,-26.61389072,-369014,2496,36076.17188,128
-16321,-1.177097103,-4.427041939,-61383,0.588945221,8166,128,-26.60263975,-368858,2560,36078.125,128
-16153,-1.16498067,-4.435408048,-61499,0.900294292,12483,128,-26.57169957,-368429,2624,36080.07813,128
-16353,-1.179404995,-4.386870192,-60826,1.038551454,14400,128,-26.51205498,-367602,2688,36082.03125,128
-15361,-1.10786034,-4.379730151,-60727,1.108293069,15367,128,-26.47599417,-367102,2752,36083.98438,128
-16384,-1.181640766,-4.372806474,-60631,1.115649476,15469,128,-26.49222153,-367327,2816,36085.9375,128
-15440,-1.113557948,-4.365738555,-60533,1.108004583,15363,128,-26.45666557,-366834,2880,36087.89063,128
-11215,-0.808844067,-4.300468481,-59628,1.043095117,14463,128,-26.39327066,-365955,2944,36089.84375,128
-10233,-0.738020627,-4.302920616,-59662,1.107499731,15356,128,-26.37646632,-365722,3008,36091.79688,128
-4093,-0.295193827,-4.3358802,-60119,1.180631063,16370,128,-26.37098508,-365646,3072,36093.75,128
-8448,-0.60928352,-4.310853995,-59772,1.108004583,15363,128,-26.34631948,-365304,3136,36095.70313,128
-2241,-0.16162457,-4.298737562,-59604,1.152647871,15982,128,-26.31364838,-364851,3200,36097.65625,128
-2161,-0.15585484,-4.329028646,-60024,1.180703185,16371,128,-26.33824186,-365192,3264,36099.60938,128
-3204,-0.231077699,-4.349511188,-60308,1.181568644,16383,128,-26.37877421,-365754,3328,36101.5625,128
-578,-0.041686301,-4.316984334,-59857,1.172409197,16256,128,-26.32648603,-365029,3392,36103.51563,128
-2497,-0.180087707,-4.31063763,-59769,1.172409197,16256,128,-26.28782884,-364493,3456,36105.46875,128
-1,-7.21E-05,-4.270105275,-59207,1.042013293,14448,128,-26.21325507,-363459,3520,36107.42188,128
-513,-0.036998396,-4.247603327,-58895,1.144281762,15866,128,-26.1903204,-363141,3584,36109.375,128
-1987,-0.143305676,-4.240030556,-58790,1.181063793,16376,128,-26.16038992,-362726,3648,36111.32813,128
-1800,-0.129818932,-4.293977534,-59538,0.997514248,13831,128,-26.190681,-363146,3712,36113.28125,128
-496,-0.035772328,-4.241256623,-58807,1.144858735,15874,128,-26.16334691,-362767,3776,36115.23438,128
-545,-0.039306288,-4.249045759,-58915,1.026795629,14237,128,-26.18786826,-363107,3840,36117.1875,128
-64737,-4.668937882,-4.300684846,-59631,0.894957291,12409,128,-26.24585405,-363911,3904,36119.14063,128
-64001,-4.615856363,-4.355930013,-60397,0.905198563,12551,128,-26.28660277,-364476,3968,36121.09375,128
-65297,-4.709325994,-4.284818087,-59411,0.886807547,12296,128,-26.22782364,-363661,4032,36123.04688,128
-63329,-4.567390629,-4.249045759,-58915,1.108365191,15368,128,-26.18815675,-363111,4096,36125,128
-62216,-4.487119256,-4.247963935,-58900,1.108148826,15365,128,-26.19746044,-363240,4160,36126.95313,128
-61448,-4.431729845,-4.22827473,-58627,1.117452516,15494,128,-26.19810953,-363249,4224,36128.90625,128
-61885,-4.463246997,-4.188247226,-58072,1.180703185,16371,128,-26.18462279,-363062,4288,36130.85938,128
-57581,-4.152835507,-4.227048663,-58610,1.025208953,14215,128,-26.20863929,-363395,4352,36132.8125,128
-58369,-4.20966735,-4.258205206,-59042,0.964121933,13368,128,-26.23265579,-363728,4416,36134.76563,128
-58817,-4.24197784,-4.222721365,-58550,0.957414622,13275,128,-26.21484175,-363481,4480,36136.71875,128
-59201,-4.269672545,-4.277678046,-59312,0.911617388,12640,128,-26.26359597,-364157,4544,36138.67188,128
-57794,-4.168197413,-4.297295129,-59584,1.181352279,16380,128,-26.2886943,-364505,4608,36140.625,128
-58322,-4.206277633,-4.241761475,-58814,0.92056047,12764,128,-26.22327998,-363598,4672,36142.57813,128
-57477,-4.145334857,-4.265056761,-59137,0.997081518,13825,128,-26.23114124,-363707,4736,36144.53125,128
-57359,-4.136824505,-4.270610126,-59214,0.923084727,12799,128,-26.24123827,-363847,4800,36146.48438,128
-65281,-4.708172048,-4.256546409,-59019,0.997225761,13827,128,-26.20856717,-363394,4864,36148.4375,128
-65009,-4.688554965,-4.24197784,-58817,1.020016196,14143,128,-26.20359077,-363325,4928,36150.39063,128
-63495,-4.579362819,-4.302704251,-59659,0.886446939,12291,128,-26.23994008,-363829,4992,36152.34375,128
-65530,-4.726130334,-4.301622427,-59644,0.90462159,12543,128,-26.24325767,-363875,5056,36154.29688,128
-64573,-4.657109935,-4.292174493,-59513,0.886735426,12295,128,-26.2260206,-363636,5120,36156.25,128
-63549,-4.583257387,-4.306021846,-59705,0.886230574,12288,128,-26.24289706,-363870,5184,36158.20313,128
