Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
RAW,CAL,RAW,CAL,CAL,RAW,RAW,RAW,CAL,RAW,CAL,RAW
No Units,mV,No Units,mV,mV,No Units,No Units,No Units,mV,No Units,mSecs,No Units
32718,2.35967545,60366,4.353694243,0.075871953,1052,0,115728,8.346491855,64,18001.95313,0
31982,2.306593932,61672,4.44788509,1.183876536,16415,0,115994,8.365676208,128,18003.90625,0
-203840,-14.70127281,124757,8.997678041,1.04323936,14465,128,92329,6.658917863,192,18005.85938,128
51320,3.701281989,120955,8.723471609,0.682991825,9470,128,91372,6.589897465,256,18007.8125,128
-198265,-14.29919473,123181,8.884014354,1.108004583,15363,128,91275,6.582901667,320,18009.76563,128
62215,4.487047134,123687,8.920507898,1.181352279,16380,128,91741,6.616510346,384,18011.71875,128
-208901,-15.06628037,122835,8.859060271,1.036459927,14371,128,90731,6.5436675,448,18013.67188,128
56945,4.106966151,122453,8.831509808,1.061630376,14720,128,91043,6.566169449,512,18015.625,128
-196614,-14.18012192,122874,8.861873014,1.176664373,16315,128,91443,6.5950181,576,18017.57813,128
64512,4.652710516,123974,8.941206806,1.774769041,24608,128,92263,6.654157836,640,18019.53125,128
67568,4.873114213,91888,6.627112225,0,0,3,-4194304,-302.5000361,704,18021.48438,128
-65535,-4.726490942,5702109,411.2453885,0,0,17,356,0.0256753,768,18023.4375,0
8248832,594.9191993,6413825,462.5755057,0,0,149,1,7.21E-05,832,18025.39063,128
0,0,6413825,462.5755057,0.017886164,248,149,1,7.21E-05,896,18027.34375,128
354,0.025531057,354,0.025531057,0,0,20,6864896,495.1074809,960,18029.29688,0
0,0,353,0.025458935,0.143089311,1984,128,-1851392,-133.5254065,1024,18031.25,128
-261889,-18.88786124,-2762048,-199.2034005,0.016083123,223,0,6172417,445.1647675,1088,18033.20313,0
-262144,-18.90625225,-4194304,-302.5000361,0,0,2,120232,8.671327671,1152,18035.15625,0
16384,1.181640766,3457024,249.3262016,1.070573458,14844,0,262618,18.94043791,1216,18037.10938,128
8372224,603.8184314,121252,8.744891732,0.036349301,504,128,90163,6.502702415,1280,18039.0625,0
-16,-0.001153946,122510,8.835620741,0,0,128,90566,6.531767432,1344,18041.01563,0
65536,4.726563063,122108,8.806627847,1.181496523,16382,128,91044,6.56624157,1408,18042.96875,128
129472,9.337731521,120357,8.680342875,0.922868362,12796,128,89664,6.466713723,1472,18044.92188,128
-134815,-9.723077383,120709,8.705729688,0.467997249,6489,128,89588,6.461232479,1536,18046.875,128
129280,9.323884168,121128,8.73594865,1.052398807,14592,128,90542,6.530036513,1600,18048.82813,128
-145410,-10.48720604,119177,8.595239353,0.890774237,12351,128,89230,6.435412936,1664,18050.78125,128
116190,8.379812047,118760,8.565164633,0.514659943,7136,128,88920,6.413055231,1728,18052.73438,128
119767,8.637791114,120050,8.658201535,0.518987241,7196,128,89570,6.459934289,1792,18054.6875,128
122878,8.862161501,119858,8.644354182,0.559519596,7758,128,89575,6.460294898,1856,18056.64063,128
127169,9.17163541,118814,8.569059201,0.549278325,7616,128,89403,6.447889977,1920,18058.59375,128
127519,9.19687798,120946,8.722822514,0.552740163,7664,128,90314,6.513592781,1984,18060.54688,128
129150,9.314508356,120369,8.681208334,1.059033997,14684,128,89859,6.48077744,2048,18062.5,128
130072,9.381004498,119695,8.632598356,0.518698754,7192,128,89640,6.464982803,2112,18064.45313,128
-147201,-10.61637588,119666,8.630506829,0.590748261,8191,128,90084,6.497004807,2176,18066.40625,128
120632,8.700176322,120436,8.686040483,0.590531896,8188,128,90481,6.525637093,2240,18068.35938,128
122661,8.846511107,120179,8.667505225,1.03393567,14336,128,90204,6.505659402,2304,18070.3125,128
126977,9.157788057,120387,8.682506523,1.052254564,14590,128,90415,6.520877066,2368,18072.26563,128
130684,9.425142935,119391,8.610673381,0.890702115,12350,128,89761,6.473709521,2432,18074.21875,128
-131073,-9.453198249,118350,8.535594766,0.590171288,8183,128,90344,6.51575643,2496,18076.17188,128
130751,9.429975084,119549,8.622068599,0.58937795,8172,128,89862,6.480993805,2560,18078.125,128
-15985,-1.152864236,120761,8.709480013,1.156470317,16035,128,90286,6.511573376,2624,18080.07813,128
-14336,-1.03393567,121368,8.753257841,1.172625562,16259,128,90866,6.55340392,2688,18082.03125,128
7168,0.516967835,120246,8.672337374,1.145724195,15886,128,91333,6.587084721,2752,18083.98438,128
-8200,-0.591397356,120049,8.658129413,1.117524638,15495,128,91019,6.56443853,2816,18085.9375,128
-2817,-0.203166628,120379,8.68192955,1.034440522,14343,128,90701,6.541503852,2880,18087.89063,128
911,0.065702804,119577,8.624088004,0.95777523,13280,128,90785,6.547562068,2944,18089.84375,128
-1,-7.21E-05,119911,8.648176628,1.034729008,14347,128,91889,6.627184347,3008,18091.79688,128
-371,-0.026757124,120752,8.708830918,1.17695286,16319,128,91736,6.616149737,3072,18093.75,128
-14216,-1.025281075,121727,8.779149506,1.180991671,16375,128,92807,6.693392002,3136,18095.70313,128
-15875,-1.144930857,119433,8.61370249,0.968809839,13433,128,90203,6.50558728,3200,18097.65625,128
-12128,-0.874691114,120740,8.707965458,1.090406905,15119,128,92039,6.638002591,3264,18099.60938,128
24544,1.770153257,120451,8.687122308,1.0343684,14342,128,91973,6.633242563,3328,18101.5625,128
30268,2.18297746,120780,8.710850324,1.1424066,15840,128,91778,6.619178846,3392,18103.51563,128
32767,2.36320941,120421,8.684958659,1.144714492,15872,128,91288,6.583839248,3456,18105.46875,128
28804,2.077391395,119985,8.653513629,1.01532829,14078,128,91462,6.596388411,3520,18107.42188,128
-228,-0.016443731,120956,8.72354373,1.153873939,15999,128,92591,6.67781373,3584,18109.375,128
-14400,-1.038551454,118929,8.577353189,1.107571853,15357,128,91686,6.612543656,3648,18111.32813,128
-14402,-1.038695698,119977,8.652936656,0.946740621,13127,128,91448,6.595378708,3712,18113.28125,128
51072,3.683395825,120436,8.686040483,1.036099319,14366,128,92099,6.642329889,3776,18115.23438,128
57216,4.126511112,120474,8.688781105,1.153513331,15994,128,92258,6.653797228,3840,18117.1875,128
-8193,-0.590892505,119399,8.611250354,1.109879745,15389,128,91225,6.579295585,3904,18119.14063,128
61927,4.466276105,119239,8.599710894,1.777076933,24640,128,93388,6.735294668,3968,18121.09375,128
57859,4.172885319,114696,8.272062334,1.172409197,16256,128,92194,6.649181443,4032,18123.04688,128
48156,3.473089155,112891,8.141882794,0.912482847,12652,128,90193,6.504866064,4096,18125,128
48191,3.475613412,113758,8.204412246,0.950851554,13184,128,91247,6.580882261,4160,18126.95313,128
63503,4.579939792,112211,8.092840087,0.95777523,13280,128,90479,6.52549285,4224,18128.90625,128
-7808,-0.563125677,105882,7.636382298,0.904477346,12541,128,90858,6.552826947,4288,18130.85938,128
32651,2.354843301,94334,6.803521729,0.952726716,13210,128,91060,6.567395516,4352,18132.8125,128
-4043,-0.291587745,94521,6.817008474,1.033863549,14335,128,91019,6.56443853,4416,18134.76563,128
-4082,-0.294400489,94176,6.792126512,0.925392619,12831,128,90379,6.518280687,4480,18136.71875,128
-19,-0.001370311,94236,6.796453809,0.901015508,12493,128,90908,6.556433029,4544,18138.67188,128
28924,2.086045991,95587,6.89389013,1.108653678,15372,128,91307,6.585209559,4608,18140.625,128
32272,2.327509204,95317,6.87441729,1.153801817,15998,128,90915,6.55693788,4672,18142.57813,128
29688,2.141146915,94396,6.80799327,0.948543662,13152,128,90301,6.5126552,4736,18144.53125,128
28687,2.068953165,94444,6.811455108,0.590531896,8188,128,90285,6.511501254,4800,18146.48438,128
29168,2.103643668,94283,6.799843526,0.904405225,12540,128,90135,6.50068301,4864,18148.4375,128
30768,2.219038274,94933,6.846722585,1.070573458,14844,128,90301,6.5126552,4928,18150.39063,128
-57,-0.004110933,93233,6.724115816,0.563197799,7809,128,89768,6.474214372,4992,18152.34375,128
-63504,-4.580011914,92996,6.70702299,0.590027045,8181,128,90124,6.499889672,5056,18154.29688,128
66559,4.80034349,92891,6.699450219,0.581011841,8056,128,89976,6.489215671,5120,18156.25,128
68608,4.948120707,93648,6.754046292,0.589954923,8180,128,89732,6.471617993,5184,18158.20313,128
69120,4.985046981,93778,6.763422103,0.520429673,7216,128,89568,6.459790046,5248,18160.15625,128
-55544,-4.005923749,94488,6.81462846,0.57343907,7951,128,89297,6.440245085,5312,18162.10938,128
-53248,-3.840332489,93497,6.743155926,0.559447474,7757,128,88136,6.356511874,5376,18164.0625,128
-56445,-4.070905336,92879,6.698584759,0.53535885,7423,128,88850,6.408006717,5440,18166.01563,128
77355,5.578968594,93649,6.754118413,0.581733058,8066,128,88927,6.413560082,5504,18167.96875,128
77824,5.612793638,94256,6.797896242,0.555913515,7708,128,89270,6.438297801,5568,18169.92188,128
