Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG Vx-RL,ECG Vx-RL,ECG LA-RA,ECG LA-RA,ExG2 CH1,ExG2 CH1,EXG1 Status,ECG LL-RA,ECG LL-RA,Timestamp,Timestamp,EXG2 Status
CAL,RAW,CAL,RAW,RAW,CAL,RAW,CAL,RAW,RAW,CAL,RAW
mV,No Units,mV,No Units,No Units,mV,No Units,mV,No Units,No Units,mSecs,No Units
0.00973642,135,3.703950489,51357,184,0.01327038,0,5.718451824,79289,64,46001.95313,0
7.21E-05,1,3.650580484,50617,16111,1.161951561,0,5.698978984,79019,128,46003.90625,0
0.00973642,135,6.046677357,83840,184,0.01327038,128,5.684338294,78816,192,46005.85938,0
2.353977842,32639,6.045307046,83821,15134,1.09148873,128,5.651883561,78366,256,46007.8125,128
0.004327298,60,5.985806702,82996,12798,0.923012605,128,5.640199857,78204,320,46009.76563,128
-17.72475573,-245762,5.892769801,81706,12415,0.895390021,128,5.682463131,78790,384,46011.71875,128
0.010313393,143,5.918156614,82058,12350,0.890702115,128,5.61553426,77862,448,46013.67188,128
-18.89687644,-262014,5.991720675,83078,16359,1.179837725,128,5.59252746,77543,512,46015.625,128
1.164475818,16146,5.891038882,81682,16256,1.172409197,128,5.530574981,76684,576,46017.57813,128
-18.90625225,-262144,5.917146911,82044,16127,1.163105507,128,5.591806244,77533,640,46019.53125,128
587.289885,8143048,5.953207726,82544,3072,0.221557644,128,5.626785234,78018,704,46021.48438,0
0.010241271,142,5.953207726,82544,0,0,128,5.626785234,78018,768,46023.4375,0
-14.32732216,-198655,217.2742679,3012609,1,7.21E-05,30,7.21E-05,1,832,46025.39063,128
0,0,217.2742679,3012609,192,0.013847353,30,7.21E-05,1,896,46027.34375,0
0.091738712,1272,-302.5000361,-4194304,0,0,2,5.967776295,82746,960,46029.29688,0
4.431152872,61440,-388.759812,-5390336,14080,1.015472533,0,217.4446914,3014972,1024,46031.25,0
7.21E-05,1,7.21E-05,1,192,0.013847353,19,283.7737994,3934656,1088,46033.20313,128
-14.17867949,-196594,7.21E-05,1,14337,1.034007792,19,283.7737994,3934656,1152,46035.15625,0
4.68963679,65024,-157.1582219,-2179072,14336,1.03393567,0,-179.5864617,-2490050,1216,46037.10938,128
594.3653052,8241152,5.84711681,81073,318,0.022934678,128,5.49069172,76131,1280,46039.0625,0
-18.88894306,-261904,5.84711681,81073,16369,1.180558941,128,5.49069172,76131,1344,46041.01563,128
-14.17968919,-196608,5.834495525,80898,16355,1.179549239,128,5.483263193,76028,1408,46042.96875,128
5.760498734,79872,5.777014587,80101,15628,1.127116815,128,5.490258991,76125,1472,46044.92188,128
5.848487121,81092,5.81437359,80619,16128,1.163177629,128,5.490331112,76126,1536,46046.875,128
5.835144619,80907,5.838606458,80955,14336,1.03393567,128,5.511967601,76426,1600,46048.82813,128
-13.12757887,-182020,5.770379397,80009,15833,1.141901748,128,5.472877678,75884,1664,46050.78125,128
-13.13306011,-182096,5.877263651,81491,14373,1.03660417,128,5.489609896,76116,1728,46052.73438,128
5.926306358,82171,5.87235938,81423,14848,1.070861944,128,5.491773545,76146,1792,46054.6875,128
4.97350752,68960,5.735761015,79529,14720,1.061630376,128,5.481748638,76007,1856,46056.64063,128
5.167370459,71648,5.79309771,80324,16142,1.164187332,128,5.494442045,76183,1920,46058.59375,128
5.309810675,73623,5.802257157,80451,16370,1.180631063,128,5.492494761,76156,1984,46060.54688,128
5.769586059,79998,5.795694088,80360,16366,1.180342577,128,5.455496365,75643,2048,46062.5,128
-12.99812055,-180225,5.741170137,79604,14301,1.031411413,128,5.440783553,75439,2112,46064.45313,128
5.74174711,79612,5.734102217,79506,14236,1.026723507,128,5.468189772,75819,2176,46066.40625,128
-13.03785956,-180776,5.734390704,79510,15879,1.145219343,128,5.471867975,75870,2240,46068.35938,128
-11.81056581,-163759,5.79309771,80324,14847,1.070789822,128,5.491773545,76146,2304,46070.3125,128
7.3849663,102396,5.812642671,80595,14398,1.038407211,128,5.458669717,75687,2368,46072.26563,128
7.385038422,102397,5.871421799,81410,16372,1.180775306,128,5.470497664,75851,2432,46074.21875,128
-11.26251355,-156160,5.831682781,80859,14447,1.041941171,128,5.480522571,75990,2496,46076.17188,128
-10.77374527,-149383,5.823460916,80745,16379,1.181280158,128,5.478575287,75963,2560,46078.125,128
-10.63700266,-147487,5.716720905,79265,15423,1.112331881,128,5.491412937,76141,2624,46080.07813,128
8.259873779,114527,5.747372597,79690,15900,1.146733898,128,5.475906786,75926,2688,46082.03125,128
-10.78247199,-149504,5.746579259,79679,14109,1.01756406,128,5.462924893,75746,2752,46083.98438,128
8.271196875,114684,5.713475432,79220,15612,1.125962868,128,5.486869274,76078,2816,46085.9375,128
9.386197255,130144,5.793458318,80329,14724,1.061918862,128,5.502014816,76288,2880,46087.89063,128
-9.60025425,-133112,5.772543046,80039,14397,1.038335089,128,5.483046828,76025,2944,46089.84375,128
-9.598306966,-133085,5.749824733,79724,16129,1.163249751,128,5.454558784,75630,3008,46091.79688,128
-9.51789135,-131970,5.800598359,80428,16373,1.180847428,128,5.447418743,75531,3072,46093.75,128
9.45283764,131068,5.838822822,80958,14392,1.037974481,128,5.494730532,76187,3136,46095.70313,128
-9.522218647,-132030,5.723644581,79361,15623,1.126756206,128,5.484417139,76044,3200,46097.65625,128
-9.453198249,-131073,5.76165268,79888,16135,1.16368248,128,5.516871872,76494,3264,46099.60938,128
-4.7086769,-65288,5.733092515,79492,15987,1.153008479,128,5.47915226,75971,3328,46101.5625,128
-4.694180452,-65087,5.71737,79274,15475,1.116082205,128,5.449221784,75556,3392,46103.51563,128
-4.412761857,-61185,5.67222186,78648,13295,0.958857055,128,5.463501866,75754,3456,46105.46875,128
0.312791504,4337,5.749175638,79715,16382,1.181496523,128,5.48802322,76094,3520,46107.42188,128
-4.283015046,-59386,5.781341884,80161,14529,1.047855144,128,5.505837262,76341,3584,46109.375,128
0.535286729,7422,5.758262963,79841,14336,1.03393567,128,5.481532273,76004,3648,46111.32813,128
1.047494536,14524,5.836875538,80931,14480,1.044321185,128,5.497903883,76231,3712,46113.28125,128
-3.545138662,-49155,5.887360679,81631,15867,1.144353884,128,5.492062031,76150,3776,46115.23438,128
-3.58884437,-49761,5.864209636,81310,14831,1.069635876,128,5.528194967,76651,3840,46117.1875,128
-3.549538082,-49216,5.751988381,79754,15423,1.112331881,128,5.46898311,75830,3904,46119.14063,128
-4.597248983,-63743,5.744704097,79653,14305,1.0316999,128,5.463285501,75751,3968,46121.09375,128
-4.624150351,-64116,5.705974782,79116,15375,1.108870042,128,5.502519667,76295,4032,46123.04688,128
-4.421704939,-61309,5.685275875,78829,14395,1.038190846,128,5.444101148,75485,4096,46125,128
0.519131484,7198,5.754512638,79789,14324,1.033070211,128,5.492278396,76153,4160,46126.95313,128
0.590748261,8191,5.719461527,79303,16374,1.18091955,128,5.495812356,76202,4224,46128.90625,128
1.16721644,16184,5.836082201,80920,15352,1.107211245,128,5.535984103,76759,4288,46130.85938,128
-3.579540679,-49632,5.83384643,80889,15303,1.103677285,128,5.510453047,76405,4352,46132.8125,128
-3.60745175,-50019,5.83781312,80944,14815,1.06848193,128,5.483623801,76033,4416,46134.76563,128
1.128631369,15649,5.608754827,77768,12224,0.88161479,128,5.466170367,75791,4480,46136.71875,128
-2.321811595,-32193,5.735328285,79523,15961,1.151133317,128,5.500644505,76269,4544,46138.67188,128
-2.139992969,-29672,5.778096411,80116,14723,1.06184674,128,5.542402928,76848,4608,46140.625,128
0.440807395,6112,5.737564056,79554,16030,1.156109709,128,5.48182076,76008,4672,46142.57813,128
-1.310738481,-18174,5.838606458,80955,14783,1.066174038,128,5.519540372,76531,4736,46144.53125,128
-1.781259988,-24698,5.896159517,81753,16191,1.167721292,128,5.522064629,76566,4800,46146.48438,128
