Ax,Ay,Az,Gx,Gy,Gz,Pressure,Temperature,FALL
-1.807228916,9.180722892,1.939759036,-4.458015267,-0.580152672,-117.648855,101.1533976,31.01707865,NO
-1.518072289,9.240963855,1.891566265,16.39694656,-1.832061069,-10.6870229,101.1137218,31.01707865,NO
-1.337349398,9.337349398,1.78313253,15.8778626,-8,-10.94656489,101.1182998,31.01707865,NO
-1.289156627,9.493975904,1.530120482,14.97709924,-9.34351145,-9.511450382,101.1106699,31.01707865,NO
-1,9.337349398,1.518072289,15.55725191,-9.816793893,-6.366412214,101.1030399,31.01707865,NO
-0.578313253,9.409638554,1.626506024,15.14503817,-6.27480916,-3.969465649,101.1091439,31.01707865,NO
-0.072289157,9.21686747,1.686746988,10.90076336,-3.709923664,0.885496183,101.1015139,31.01707865,NO
-0.168674699,9,1.78313253,8.748091603,7.129770992,7.022900763,101.1121958,31.01707865,NO
-0.638554217,8.939759036,1.506024096,9.221374046,14.39694656,10.04580153,101.1091439,31.01707865,NO
-0.891566265,8.831325301,1.722891566,10.48854962,32.1221374,11.38931298,101.0999879,31.01707865,NO
-0.096385542,9.012048193,1.710843373,5.114503817,26.27480916,7.877862595,101.1106699,31.01707865,NO
-0.024096386,9.277108434,1.710843373,0.106870229,21.45038168,5.755725191,101.1045659,31.01707865,NO
-0.240963855,9.096385542,1.518072289,-6.351145038,17.9389313,5.007633588,101.1091439,31.01707865,NO
-0.903614458,8.686746988,1.301204819,-7.526717557,16.24427481,7.022900763,101.1091439,31.01707865,NO
-0.722891566,8.710843373,2.253012048,-0.244274809,12.07633588,8.916030534,101.1015139,31.01707865,NO
-0.481927711,9.759036145,1.915662651,-1.190839695,1.465648855,10.47328244,101.1076179,31.01707865,NO
-0.698795181,10.69879518,2.397590361,-0.045801527,-8.427480916,8.549618321,101.1060919,31.01707865,NO
-1.385542169,11.65060241,2.554216867,6.839694656,-14.41221374,11.95419847,101.1167738,31.01707865,NO
-1.43373494,12.25301205,2.614457831,8.778625954,-12.82442748,17.35877863,101.1030399,31.01707865,NO
-2.060240964,11.78313253,2.686746988,2.687022901,-9.755725191,13.22137405,101.1060919,31.01707865,NO
-1.987951807,10.65060241,2.734939759,-1.236641221,-12.21374046,3.022900763,101.1106699,31.01707865,NO
-1.421686747,9.662650602,2.493975904,-2.564885496,-24.53435115,-7.770992366,101.0999879,31.01707865,NO
-0.831325301,8.855421687,2.759036145,-3.709923664,-28.24427481,-12.10687023,101.1015139,31.01707865,NO
-0.879518072,8.325301205,2.34939759,-6.198473282,-25.66412214,-12.29007634,101.1091439,31.01707865,NO
-1.457831325,8.21686747,2.108433735,-6.106870229,-15.90839695,-10.0610687,101.1076179,31.01707865,NO
